Assemblage_Name	6723149-9966390-1807620	2-4-6356054	2-4-7593124	2380298-4-6356054	8509106-4-0	3-3639936-1	3-8848990-1	2-4-0	3-6575001-2464326	3-2-2464326	0-9966390-4	2-1-2	2-1-3	0-1517240-4	3-5871462-3	0-9966390-4875851	3-2-4611016	3-2-1	3-2-5416716
assemblage-571-457	0	196	0	130	0	0	0	0	0	0	0	49	0	0	0	0	0	63	18
assemblage-885-866	0	132	0	0	0	0	0	30	0	0	138	32	0	6	0	17	126	7	12
assemblage-943-355	0	92	0	0	62	0	0	14	12	0	127	64	24	0	0	0	11	56	18
assemblage-228-644	0	291	0	0	0	0	0	0	0	0	36	43	0	0	0	0	10	98	12
assemblage-262-660	0	138	0	0	0	0	0	3	0	0	19	142	0	0	0	0	7	143	16
assemblage-486-668	0	0	0	0	0	0	0	7	0	0	166	86	6	0	0	0	0	224	11
assemblage-685-298	5	0	0	0	0	0	0	92	90	75	82	0	108	0	19	0	0	10	19
assemblage-746-471	6	0	0	0	0	4	0	210	40	0	64	10	26	0	0	0	0	120	20
assemblage-596-281	0	29	9	0	19	19	18	82	8	0	142	23	21	0	0	50	33	35	12
assemblage-754-638	19	0	0	0	0	14	0	244	23	0	43	64	8	0	0	0	16	58	11
assemblage-818-138	16	0	0	0	0	4	0	251	25	0	57	36	16	0	0	0	16	69	10
assemblage-675-940	0	76	5	0	0	44	0	0	0	0	90	110	0	13	0	43	44	70	5
assemblage-939-363	0	0	0	0	0	59	25	38	0	0	108	10	4	0	0	158	0	82	16
assemblage-387-847	0	84	0	0	0	39	0	0	0	0	102	101	0	12	0	37	40	65	20
assemblage-353-255	0	13	0	0	0	0	0	115	29	0	213	51	47	0	0	0	0	10	11
assemblage-757-478	7	0	0	0	0	8	0	219	45	0	41	12	31	0	0	0	0	124	13
assemblage-341-187	0	292	0	0	0	0	0	0	0	0	48	47	0	0	0	0	7	87	19
assemblage-915-994	25	0	0	0	0	0	0	171	23	0	55	61	87	0	0	0	0	34	13
assemblage-103-910	0	0	0	0	0	0	0	68	19	0	24	74	10	0	0	0	0	253	11
assemblage-825-627	0	0	0	0	0	0	0	64	123	58	2	17	131	0	9	0	0	25	6
assemblage-858-890	14	0	0	0	0	5	0	251	32	0	75	40	8	0	0	0	10	50	15
assemblage-497-751	0	0	0	0	15	22	9	136	36	0	107	34	51	0	0	0	7	44	39
assemblage-685-929	0	192	24	0	0	0	0	0	0	0	118	86	0	0	0	9	0	42	3
assemblage-357-276	0	0	0	0	0	26	0	224	14	0	101	58	41	0	0	0	0	21	2
assemblage-327-693	0	113	0	0	0	0	0	30	0	0	154	43	0	8	0	22	112	0	18
assemblage-362-702	5	0	0	0	0	0	0	106	87	84	79	0	98	0	18	0	0	7	16
assemblage-369-692	0	0	0	0	0	0	0	129	70	35	95	9	116	0	21	0	0	12	13
assemblage-323-684	0	133	0	0	0	0	0	12	0	0	19	45	0	0	0	195	0	62	6
assemblage-564-470	0	139	0	35	0	0	0	50	0	0	0	93	0	0	0	0	0	160	23
assemblage-240-109	0	237	0	50	0	0	0	0	0	0	12	12	0	0	0	0	0	159	5
