Assemblage_Name	4-5515793-4	3123612-0-0	8052477-5515793-4	5121104-9836417-0	4-8805967-4890488	4-1-8887564	6575676-0-0	5121104-0-0	9635968-0-0	5389253-5515793-4	9001735-1-4	4-3-6295604	4-8805967-8566752	5121104-6391506-675677	4-1-8566752	6087608-5515793-4	3848683-5515793-4	1028514-0-0	5121104-731054-0	8052477-910541-4	5121104-7222685-0	1822710-1-4	4-3-8537867	7893438-0-4534443	4-1-4	4412506-7550734-5520171	5121104-6391506-0	3732003-3343113-0	8550126-0-0	4-3-3	5121104-292218-675677	4-3-9701308	4-5416804-3	5121104-0-4534443	9705004-1-4	5121104-0-5423062
assemblage-747-590	0	21	8	0	0	0	0	105	0	0	0	0	29	21	0	0	0	0	38	103	0	0	0	0	0	26	28	0	0	33	0	0	0	0	0	24
assemblage-328-698	0	0	0	0	0	0	0	54	0	0	0	0	0	8	0	0	0	0	0	180	11	0	0	0	0	0	21	0	37	141	0	0	0	0	0	18
assemblage-730-622	0	0	30	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	17	33	0	13	0	54	0	9	0	37	64	17
assemblage-243-323	0	0	0	0	0	0	0	174	21	0	0	0	0	19	0	0	0	0	0	36	0	0	0	0	0	77	0	0	0	7	96	0	0	0	0	33
assemblage-496-749	0	3	0	0	0	0	0	227	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	20	0	16	0	0	0	0	150	7
assemblage-943-355	0	0	0	0	0	0	0	220	0	0	0	0	0	36	0	0	0	0	23	101	0	0	0	0	0	14	0	0	11	20	0	0	0	0	42	19
assemblage-482-665	17	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	224	0	0	0	0	24	0	0	0	0	0	13
assemblage-226-782	0	0	0	18	0	0	0	63	0	0	0	0	0	0	0	0	0	23	0	24	98	0	0	0	0	134	0	0	0	68	0	0	0	0	0	30
assemblage-818-138	0	52	19	0	0	0	0	168	0	0	0	93	0	0	0	0	10	0	0	2	0	0	0	0	0	57	0	0	0	27	0	0	0	0	0	22
assemblage-675-940	0	0	0	0	0	0	0	208	18	0	0	0	0	0	0	0	0	33	0	112	36	0	0	0	0	13	0	0	0	24	23	0	0	0	0	33
assemblage-251-956	0	7	9	0	0	12	0	183	0	0	0	1	20	0	0	0	0	0	0	66	0	0	0	0	0	26	85	8	0	18	0	54	0	0	0	6
assemblage-932-998	0	0	0	0	7	9	0	59	0	35	0	0	18	0	5	0	0	0	0	0	0	37	18	0	44	0	0	0	0	230	0	0	0	0	0	32
assemblage-524-131	0	0	0	16	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	102	15	0	0	64	0	0	0	0	0	32	34	0	13	0	0	20
assemblage-350-720	68	0	8	0	0	0	0	96	0	0	0	0	17	0	58	29	37	0	0	0	0	0	0	0	34	0	0	0	0	99	0	0	0	0	0	6
assemblage-331-183	0	0	0	0	0	0	78	75	0	0	0	0	0	0	0	0	0	53	0	44	20	0	0	0	0	138	0	0	0	10	7	0	0	0	0	25
assemblage-605-286	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	29	82	0	0	0	16	0	0	36	0	20	207	0	4	1	0	26	19
assemblage-96-896	53	0	0	0	0	0	0	65	0	0	15	0	19	0	20	0	70	0	0	0	0	0	0	0	49	33	0	0	0	106	0	0	0	0	0	32
assemblage-759-483	0	0	0	0	0	16	0	46	0	45	0	0	17	0	8	0	0	0	0	0	0	23	21	0	49	0	0	0	0	228	0	0	0	0	6	21
assemblage-262-104	0	0	0	53	0	0	40	10	0	0	0	0	0	0	0	0	0	39	0	10	154	0	0	0	0	97	0	0	0	0	0	0	0	0	0	11
assemblage-103-910	135	0	0	0	0	0	0	41	0	0	0	0	0	0	16	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
assemblage-412-842	0	0	0	0	0	0	0	169	23	0	0	0	0	21	0	0	0	0	0	29	0	0	0	0	0	86	0	0	0	14	100	0	0	0	0	27
assemblage-608-915	13	0	4	0	9	0	0	21	0	0	12	0	179	0	7	0	14	0	0	0	0	0	0	0	17	69	0	0	0	126	0	0	0	0	0	12
assemblage-814-115	0	0	26	0	0	53	0	116	0	0	0	0	42	0	0	0	0	0	0	99	0	0	0	0	7	6	17	0	0	107	0	0	0	0	0	27
assemblage-599-945	75	0	22	0	0	0	0	143	0	16	10	0	7	0	0	49	96	0	0	2	0	0	0	0	41	0	0	0	0	19	0	0	0	0	0	16
assemblage-323-684	0	0	0	13	0	0	0	234	0	0	0	0	0	5	0	0	0	0	0	91	0	0	0	63	0	0	0	0	0	30	40	0	11	0	0	13
assemblage-247-170	0	0	0	19	0	0	6	82	0	0	0	0	0	0	0	0	0	0	0	84	90	0	0	0	0	27	0	0	0	0	0	0	0	0	0	21
assemblage-564-470	0	0	0	0	0	0	57	137	0	0	0	0	0	0	0	0	0	11	0	12	59	0	0	0	0	166	0	0	0	0	0	0	0	0	0	14
assemblage-243-797	0	0	0	0	0	0	0	336	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	25
assemblage-721-988	15	13	10	0	23	0	0	174	0	0	0	0	39	0	0	4	13	0	0	0	0	12	0	0	0	42	0	0	0	39	0	40	0	21	0	15
assemblage-110-339	0	9	0	0	0	0	0	209	0	0	0	0	0	40	0	0	0	0	32	92	0	0	0	8	0	14	0	0	5	27	0	0	0	5	37	19
