Assemblage_Name	2-3-856396	2-3-6964504	7573023-1449733-5807783	714973-7197815-8394178	3-5710161-8394178	4-2505636-903691	3-5710161-5925571	2-8745820-856396	3-5710161-590880	899490-6583233-1549268	714973-5710161-8394178	4-4-3549930	899490-6583233-5145617	2-0-0	2-2941608-0	2-3-0	3-5710161-4229208	1-3-1	2-3-7554870	3-6583233-590880	1183683-4-0	7728070-3-3	137113-5710161-8394178	3-3084969-4229208	3-8099062-4229208	2-3-1761094	4-4-0	3623904-4-0	4-2-903691	2236037-3-0	7572585-6583233-5145617	2-3-452988
assemblage-455-398	0	0	0	0	108	59	5	0	76	0	0	0	0	0	0	65	0	0	0	0	0	40	0	0	0	0	0	0	67	0	59	14
assemblage-344-184	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	43	29	0	261	0	0	0	0	0	39	0	0	0	0	0	0	24
assemblage-617-283	0	0	0	0	0	46	0	25	133	0	42	0	0	0	0	116	94	0	0	0	0	0	4	0	0	0	0	0	0	0	0	24
assemblage-925-970	0	0	0	0	0	0	0	0	7	0	0	0	4	0	0	113	0	30	0	0	0	80	0	0	0	0	0	0	99	0	92	37
assemblage-566-457	0	0	0	0	0	37	0	0	107	0	0	0	0	0	0	9	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-340-180	0	18	0	0	0	0	0	0	90	0	0	0	0	0	0	135	162	0	57	0	0	0	0	15	6	0	0	0	0	0	0	9
assemblage-516-766	0	0	0	33	26	52	0	15	61	0	61	0	0	0	11	139	35	0	0	0	0	0	0	0	0	0	0	0	24	0	28	15
assemblage-212-161	0	0	0	0	0	118	0	0	33	0	0	0	0	0	0	88	0	0	177	0	0	0	0	0	11	0	0	0	0	0	0	6
assemblage-594-508	0	0	0	0	0	0	0	0	0	0	0	0	7	20	0	86	0	74	0	66	0	12	0	0	0	0	75	0	96	0	0	28
assemblage-492-657	0	0	20	0	0	0	0	0	109	0	0	0	0	36	0	0	0	0	0	166	0	0	0	0	0	0	10	2	28	0	0	23
assemblage-685-298	7	0	0	0	0	0	0	0	0	11	0	16	40	8	0	51	0	0	0	21	42	127	0	0	0	0	129	0	12	0	7	23
assemblage-818-138	0	0	0	0	5	0	0	36	143	0	0	0	0	0	0	77	0	11	0	0	0	21	0	0	0	0	0	0	121	0	12	25
assemblage-252-346	0	31	0	0	0	66	0	0	77	0	0	0	0	0	0	55	158	0	60	0	0	0	0	0	9	5	0	0	0	16	0	18
assemblage-942-369	0	0	0	0	0	66	0	20	134	0	54	0	0	0	0	103	87	0	0	0	0	0	7	0	0	0	0	0	0	0	0	19
assemblage-251-956	0	0	0	0	0	12	13	159	156	0	0	0	0	0	17	56	0	0	0	0	0	4	0	0	0	0	0	0	18	0	0	12
assemblage-728-992	25	0	39	0	0	0	0	36	102	0	0	0	0	0	0	112	0	54	0	14	0	14	0	0	0	0	8	0	28	0	46	17
assemblage-121-343	0	13	0	12	0	60	8	90	97	0	0	0	0	0	0	173	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-825-627	0	0	0	0	0	0	0	0	0	18	0	15	0	0	0	22	0	0	0	0	39	103	0	0	0	0	217	15	39	0	14	18
assemblage-359-472	0	28	0	0	0	60	0	0	86	0	0	0	0	0	0	45	157	0	66	0	0	0	0	0	6	7	0	0	0	25	0	20
assemblage-240-941	0	0	0	0	0	8	12	132	190	0	0	0	0	0	19	42	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	29
assemblage-826-115	0	0	23	0	0	0	31	0	113	0	0	0	0	0	0	165	0	23	0	0	0	19	0	0	0	0	0	0	17	0	28	18
assemblage-502-119	0	62	0	9	0	0	0	0	95	0	0	0	0	0	0	166	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-450-743	0	0	0	0	0	39	0	7	40	0	0	0	0	0	0	246	72	0	57	0	0	0	0	0	0	0	0	0	0	12	0	27
assemblage-264-360	0	0	0	0	0	36	0	0	204	0	0	0	0	0	0	30	69	0	0	0	0	0	0	0	72	49	0	0	0	8	0	8
assemblage-732-983	30	0	27	0	0	0	0	18	84	0	0	0	0	0	0	103	0	72	0	16	0	19	0	0	0	0	13	0	30	0	50	38
assemblage-827-631	0	0	0	0	0	0	0	0	0	10	0	26	0	0	0	42	0	0	0	0	40	92	0	0	0	0	218	10	40	0	0	22
assemblage-240-109	0	0	0	0	0	105	0	0	9	0	0	0	0	0	0	4	12	0	292	0	0	0	0	9	0	0	0	0	0	0	0	18
assemblage-519-125	0	0	0	0	0	110	0	13	249	0	0	0	0	0	0	52	48	0	0	0	0	0	9	0	0	0	0	0	0	0	0	19
assemblage-360-710	0	0	0	0	0	0	0	0	0	0	0	0	10	22	0	90	0	61	0	58	0	16	0	0	0	0	59	0	127	0	0	43
assemblage-224-659	0	13	0	0	0	0	0	0	87	0	0	0	0	0	0	144	156	0	61	0	0	0	0	10	9	0	0	0	0	0	0	8
