Assemblage_Name	2-4-2279150	3-3-1991035	3-3-4	8432611-4-4	0-3580097-8423775	4-1-0	0-3579754-1504934	0-3-0	7004598-3-0	4-1147519-0	8432611-6321104-9670275	8432611-4-9670275	3-3-3197701	2-4-4	3-0-2	0-3579754-8423775	1-2-0	0-8270615-8423775	1737068-3-1991035	0-3579754-6899937
assemblage-747-590	4	0	0	0	0	21	0	85	0	168	0	0	0	76	0	105	0	0	15	11
assemblage-224-673	8	0	0	126	0	11	0	0	0	4	13	32	0	172	0	106	0	0	8	9
assemblage-516-766	0	0	0	0	0	0	9	54	0	116	0	0	0	30	60	211	0	0	0	6
assemblage-943-359	0	0	0	13	0	25	0	7	0	29	0	0	0	0	57	259	0	0	0	12
assemblage-217-641	45	0	0	73	0	0	0	0	0	32	16	0	0	0	0	292	0	26	0	9
assemblage-385-320	18	0	0	182	37	0	0	0	0	0	0	0	0	95	0	152	0	0	0	16
assemblage-754-638	0	0	9	0	0	35	0	136	0	85	0	0	0	30	0	194	0	0	0	11
assemblage-101-914	0	44	26	0	0	16	0	295	0	0	0	0	5	0	12	21	0	0	0	4
assemblage-824-118	0	0	0	0	0	48	0	112	0	83	0	0	0	53	0	193	0	0	0	11
assemblage-675-940	73	0	0	85	0	44	0	0	7	44	0	51	0	66	0	79	0	15	3	6
assemblage-600-497	0	24	56	0	0	79	0	33	0	146	0	0	13	102	30	0	0	0	0	6
assemblage-932-998	0	5	31	0	0	92	0	52	0	56	0	0	0	130	60	57	0	0	0	9
assemblage-348-188	65	0	0	97	5	0	0	0	0	26	12	0	0	0	0	267	0	17	0	8
assemblage-733-469	0	10	31	0	0	73	0	25	0	126	0	0	0	11	34	157	0	0	22	11
assemblage-340-683	46	0	0	64	0	0	8	0	66	26	0	0	0	0	0	200	0	25	7	6
assemblage-458-410	0	0	6	0	0	38	0	126	0	83	0	0	0	47	5	188	0	0	0	7
assemblage-421-842	212	0	0	0	0	0	0	0	20	0	0	0	0	0	0	188	0	6	46	12
assemblage-249-737	0	0	201	0	0	0	0	6	0	195	0	0	0	9	0	0	70	0	0	3
assemblage-258-727	0	0	165	0	0	0	0	0	0	203	0	0	0	24	0	0	72	0	0	25
assemblage-726-586	0	0	0	0	0	7	0	55	0	50	0	0	0	13	0	227	0	0	81	11
assemblage-901-855	42	0	0	244	0	0	21	0	0	36	0	0	0	0	0	119	0	21	0	17
assemblage-583-465	5	0	0	153	44	0	0	0	0	0	0	0	0	89	0	193	0	0	0	16
assemblage-515-132	36	0	0	190	0	7	37	0	0	43	0	0	0	0	0	147	0	22	0	18
assemblage-608-503	0	22	23	0	0	78	0	54	0	83	0	0	9	79	85	35	26	0	0	6
assemblage-403-849	0	0	0	125	0	0	21	0	0	24	31	71	0	0	0	144	0	23	34	18
assemblage-385-319	8	0	0	41	0	0	0	0	0	12	0	101	0	99	0	237	0	0	0	2
assemblage-605-283	19	0	0	103	0	0	69	18	71	121	0	0	0	14	0	68	0	0	11	6
assemblage-724-995	0	9	11	0	0	38	0	76	0	104	0	0	0	56	80	102	0	0	8	10
assemblage-609-945	0	65	25	0	0	0	0	119	0	22	0	0	15	88	146	13	0	0	0	7
assemblage-110-333	19	0	0	90	0	0	51	17	63	126	0	0	0	4	0	98	0	10	15	7
