Assemblage_Name	3-3453359-0	1-1297367-4	1-404082-4	4-3-4888263	5216729-2-0	0-2-2	1-3-4	1-3-7030052	2881137-3-8660057	2881137-4023061-2	850867-2-4	1-2-4	9668005-2-4	0-3859808-2	3-2-0	1-5194295-4	1-3-2658722
assemblage-344-184	0	9	134	0	0	0	0	25	0	0	0	248	61	0	0	0	15
assemblage-364-249	97	0	0	0	0	0	83	0	0	0	6	111	94	0	0	42	8
assemblage-412-850	0	0	98	0	0	0	45	0	0	0	0	251	61	0	0	25	5
assemblage-212-161	0	10	110	0	0	0	188	25	0	0	0	60	78	0	0	0	5
assemblage-909-972	139	0	0	39	0	73	124	0	0	0	0	95	21	0	0	0	9
assemblage-746-471	0	0	0	113	0	41	126	0	0	0	0	184	8	0	0	0	8
assemblage-385-320	0	4	118	0	0	0	42	3	0	0	0	156	118	0	0	0	6
assemblage-101-914	0	0	0	8	0	130	7	0	37	288	0	0	0	8	0	0	22
assemblage-104-904	0	0	0	5	0	107	0	0	56	283	0	0	8	12	0	0	29
assemblage-842-915	12	0	52	65	0	42	43	0	0	0	0	239	30	0	0	0	6
assemblage-612-275	24	0	151	68	0	0	100	0	0	0	12	106	16	0	0	5	18
assemblage-524-131	0	0	178	15	0	0	78	0	0	0	0	170	12	0	0	42	5
assemblage-611-922	7	0	0	55	18	93	67	0	0	40	0	157	56	0	0	0	7
assemblage-343-696	0	0	53	60	0	0	113	4	0	0	0	65	141	0	0	48	4
assemblage-387-847	0	0	77	0	0	0	76	0	0	0	0	229	54	0	0	46	18
assemblage-932-368	19	0	167	38	0	0	105	0	0	0	23	119	16	0	0	0	13
assemblage-680-942	0	0	102	0	0	0	79	0	0	0	0	210	48	0	0	50	11
assemblage-336-184	0	0	53	0	0	0	31	0	0	0	0	216	184	0	0	0	4
assemblage-733-469	43	0	0	51	0	84	24	0	0	0	0	192	38	0	39	0	7
assemblage-897-857	0	0	8	34	0	0	106	0	0	0	0	57	141	0	0	110	12
assemblage-367-320	0	0	135	0	0	0	0	9	0	0	0	171	151	0	0	0	12
assemblage-103-910	0	0	0	12	0	104	11	0	38	298	0	0	0	12	0	0	16
assemblage-866-914	10	0	0	128	0	21	158	0	0	0	0	91	49	0	9	0	21
assemblage-370-248	4	0	147	0	0	28	104	0	0	0	0	174	37	0	0	0	6
assemblage-599-945	0	0	0	153	11	48	21	0	0	35	0	206	16	0	0	0	7
assemblage-613-755	0	7	103	0	0	0	0	36	0	0	0	265	59	0	0	0	14
assemblage-936-352	27	0	63	17	0	0	12	0	0	0	0	65	124	0	0	136	11
assemblage-377-697	0	0	0	76	20	89	81	0	0	0	0	75	95	0	23	0	7
assemblage-501-748	4	0	194	34	0	0	104	0	0	0	0	101	48	0	0	0	15
assemblage-453-406	77	0	0	12	0	24	93	0	0	0	0	157	122	0	0	0	15
