Assemblage_Name	0-1-0	1-2-2	1-3-0	0-195350-0	3-3-4	4-1-4	0-3-4	1-2772111-0
assemblage-253-726	0	51	10	0	155	221	57	6
assemblage-455-398	136	0	51	23	101	189	0	0
assemblage-516-766	129	0	85	5	42	143	90	6
assemblage-339-716	31	23	54	0	17	254	121	0
assemblage-236-475	0	0	27	0	80	228	151	6
assemblage-113-897	0	10	0	0	7	269	209	0
assemblage-223-654	0	0	0	0	257	158	71	3
assemblage-597-286	135	0	8	0	150	112	81	6
assemblage-385-320	0	0	0	0	140	68	226	1
assemblage-600-497	37	7	180	0	8	226	42	0
assemblage-585-727	13	0	163	0	69	228	24	3
assemblage-821-647	0	0	205	0	50	130	111	4
assemblage-597-731	93	0	65	0	68	238	33	3
assemblage-336-184	0	0	0	0	200	187	71	4
assemblage-383-267	111	0	21	23	109	226	10	0
assemblage-894-875	0	0	0	0	192	179	122	7
assemblage-347-470	0	0	0	0	211	193	91	5
assemblage-264-339	0	0	0	0	119	194	187	0
assemblage-612-728	86	0	52	0	93	219	46	4
assemblage-358-487	33	0	0	0	147	210	104	0
assemblage-240-941	39	0	48	0	266	108	10	9
assemblage-613-755	0	0	0	0	160	184	150	6
assemblage-936-352	128	0	12	0	140	104	103	2
assemblage-463-409	116	0	96	0	64	140	82	2
assemblage-474-731	5	0	0	0	207	154	128	6
assemblage-385-319	0	0	0	0	245	197	51	7
assemblage-576-485	0	0	0	0	241	187	60	12
assemblage-519-125	0	0	0	0	159	161	178	2
assemblage-360-710	24	6	156	0	23	245	46	0
assemblage-758-647	133	0	30	0	73	259	0	5
