Assemblage_Name	1-0-1	0-5543770-2	0-1-2	7015898-2-3	2-0-0	3-0-4	1-3593481-1	4-2-3	3-7690314-4	7930379-3-4593887	7930379-3-4	2-0-5431172	3-5891867-4
assemblage-467-749	0	0	11	0	0	261	0	104	0	38	78	0	8
assemblage-239-945	0	0	91	0	45	188	17	71	0	0	85	0	3
assemblage-943-359	0	16	19	0	0	146	0	75	0	87	152	0	5
assemblage-212-161	0	110	0	92	0	194	0	52	0	46	0	0	6
assemblage-818-651	0	0	123	0	170	17	0	0	0	0	175	0	9
assemblage-745-570	23	0	155	0	62	0	0	84	0	0	169	0	7
assemblage-725-980	207	0	78	0	41	52	0	44	0	0	60	11	7
assemblage-385-320	0	20	0	43	0	310	0	15	10	78	0	0	8
assemblage-675-940	0	7	0	0	0	100	0	232	0	68	45	0	7
assemblage-585-727	228	0	59	0	28	55	0	53	0	0	56	19	2
assemblage-465-737	0	33	29	0	0	160	0	163	0	49	43	0	5
assemblage-680-942	0	7	0	0	0	95	0	231	0	60	64	0	2
assemblage-234-940	34	0	146	0	62	0	0	91	0	0	158	0	9
assemblage-254-112	0	19	0	53	0	287	0	15	8	92	0	0	8
assemblage-331-183	0	76	0	0	0	167	0	78	0	31	131	0	7
assemblage-234-493	0	8	14	0	0	187	0	66	0	73	144	0	8
assemblage-581-731	223	0	59	0	30	58	0	49	0	0	59	16	6
assemblage-121-343	0	22	95	0	0	96	0	100	0	78	97	0	9
assemblage-110-907	0	0	68	0	13	7	0	374	0	0	28	0	10
assemblage-825-627	0	0	105	0	155	12	0	0	0	0	210	0	6
assemblage-620-507	271	0	40	0	57	4	0	72	0	0	54	0	2
assemblage-461-403	83	0	22	0	129	151	16	3	0	0	93	0	3
assemblage-227-792	0	69	0	0	0	147	0	103	0	36	132	0	3
assemblage-377-697	40	0	14	0	241	0	0	19	0	0	147	0	10
assemblage-734-635	89	0	22	0	122	147	19	8	0	0	86	0	7
assemblage-403-849	0	86	0	0	0	134	0	140	0	126	0	0	8
assemblage-213-781	0	88	0	24	0	148	0	58	4	160	0	0	8
assemblage-347-681	0	0	9	0	0	221	0	140	0	55	70	0	5
assemblage-437-378	83	0	29	0	135	130	16	9	0	0	95	0	3
assemblage-609-945	299	0	42	0	57	19	0	49	0	0	33	0	1
