Assemblage_Name	1-1-1	1-0-0	3-8648691-3	3-3-6345254	2455755-1-2	4-1-2	0-1-0	1-1-2050263	0-4-4	2-7609570-3	1-1-1704371	4-1-2256315	3763183-1-2	2-2-0	9167433-3-3	990696-0-0	4-1-623510	2020126-0-0	4-1-3686080	3-3-4368035	2-4-3	3-9753152-3	0-6906076-0	3-0-4	8029965-1-2	2655142-2-0	2-0-0	1-2-4	3-3667-3	0-5095285-0	3-3-3	1-0-8737485	2240619-3-3	3-3-73085	1274646-0-0
assemblage-425-523	17	14	0	0	9	149	0	0	0	0	0	0	0	0	0	11	0	0	0	0	47	12	0	0	0	5	0	0	9	0	216	0	0	0	11
assemblage-473-507	33	111	0	0	0	35	0	0	0	0	0	0	0	0	0	50	0	24	0	0	13	0	0	0	0	74	2	17	0	53	84	1	0	0	3
assemblage-448-485	20	73	0	0	0	66	0	10	0	0	0	0	0	0	0	18	0	9	0	0	48	0	0	0	0	30	0	0	14	20	185	0	0	0	7
assemblage-566-327	45	129	0	0	0	15	5	0	21	0	0	0	0	29	0	0	0	26	0	0	5	0	0	22	0	39	12	23	0	2	111	14	0	0	2
assemblage-385-572	48	129	0	0	0	7	0	0	13	0	0	0	0	24	0	0	0	33	0	0	0	0	0	11	0	42	8	28	0	6	117	26	0	0	8
assemblage-450-482	49	74	0	0	0	48	0	13	0	0	0	0	0	0	0	57	0	28	0	8	13	0	0	0	0	38	0	9	0	44	107	0	0	0	12
assemblage-519-486	31	67	0	0	0	74	0	12	0	0	0	0	0	0	0	2	0	10	0	0	38	0	0	0	0	21	0	0	14	16	205	0	0	0	10
assemblage-330-439	12	24	0	0	14	89	0	0	0	0	0	0	0	0	0	7	0	0	0	0	52	14	0	0	0	12	0	0	33	22	208	0	0	0	13
assemblage-687-461	39	86	0	0	0	16	0	0	0	0	0	0	0	0	0	35	0	46	0	0	7	0	0	0	0	71	13	15	0	49	106	8	0	0	9
assemblage-478-510	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	9	0	0	0	0	61	33	0	0	0	0	0	0	0	0	262	0	0	12	13
assemblage-410-427	0	0	0	0	0	64	0	0	0	0	0	0	11	0	0	7	0	0	0	0	67	42	0	0	0	0	0	0	0	0	291	0	0	16	2
assemblage-372-614	0	7	0	0	0	122	0	0	0	0	0	0	5	0	0	10	0	0	0	0	65	19	0	0	0	0	0	0	0	0	249	0	0	9	14
assemblage-330-618	0	0	0	0	0	34	0	0	0	0	0	0	10	0	0	0	0	0	0	0	79	77	0	0	0	0	0	0	0	0	241	0	0	43	16
assemblage-611-453	25	102	0	0	0	39	0	0	0	0	0	0	0	0	0	30	0	27	0	0	4	0	0	0	0	72	9	13	0	68	98	8	0	0	5
assemblage-455-462	13	12	0	0	10	126	0	0	0	0	0	0	0	0	0	7	0	0	0	0	49	11	0	0	0	14	0	0	6	0	248	0	0	0	4
assemblage-470-542	23	58	0	0	0	75	0	19	0	0	0	0	0	0	0	15	0	2	0	0	37	12	0	0	0	27	0	0	18	12	193	0	0	0	9
assemblage-494-612	27	42	0	0	19	108	0	0	0	0	0	0	0	0	0	8	3	0	0	0	30	11	0	0	0	20	0	0	19	22	187	0	0	0	4
assemblage-558-490	19	39	0	0	8	98	0	0	0	0	0	0	0	0	0	9	11	0	0	0	48	9	0	0	0	7	0	0	26	24	197	0	0	0	5
assemblage-513-431	48	103	0	0	0	13	8	0	17	0	0	0	0	16	0	0	0	48	0	0	10	0	0	27	0	34	15	39	0	0	109	13	0	0	0
assemblage-607-536	44	114	0	0	0	22	0	0	21	0	0	0	0	23	0	0	0	44	0	0	0	0	0	13	0	38	16	38	0	0	92	15	0	0	20
assemblage-627-483	17	6	0	0	11	131	0	0	0	0	0	0	0	0	0	5	0	0	0	0	43	17	0	0	0	3	0	0	13	0	247	0	0	0	7
assemblage-339-595	20	127	0	0	0	22	0	0	10	0	0	0	0	14	0	5	0	40	0	0	9	0	0	0	0	57	13	25	0	37	95	15	0	0	11
assemblage-326-635	0	0	0	0	0	40	0	0	0	0	0	0	7	0	0	7	0	0	0	0	92	70	0	0	0	0	0	0	0	0	240	0	0	37	7
assemblage-417-583	21	103	0	0	0	67	0	2	0	0	0	0	0	0	0	58	0	36	0	5	11	0	0	0	0	51	0	7	7	37	91	0	0	0	4
assemblage-581-624	29	103	0	0	0	30	0	0	0	0	0	0	0	0	0	22	0	36	0	0	16	0	0	0	0	68	7	19	0	45	100	16	0	0	9
assemblage-641-508	16	120	0	0	0	39	0	0	9	0	0	0	0	3	0	11	0	20	6	0	6	0	0	0	0	53	20	25	0	29	119	15	0	0	9
assemblage-451-444	0	0	0	0	0	59	0	0	0	0	0	0	17	0	0	12	0	0	0	0	68	48	0	0	0	0	0	0	0	0	264	0	0	25	7
assemblage-598-648	10	33	0	0	16	100	0	3	0	0	0	0	0	0	0	10	4	0	0	0	31	20	0	0	0	18	0	0	41	9	195	0	0	0	10
assemblage-433-652	34	101	0	0	0	28	0	0	11	0	10	0	0	3	0	13	0	28	0	0	8	0	0	0	0	39	30	30	0	18	121	21	0	0	5
assemblage-635-480	24	93	0	0	0	36	0	0	0	0	0	0	0	0	0	37	0	40	0	0	17	0	0	0	0	89	9	12	0	39	88	11	0	0	5
