Assemblage_Name	516202-8942039-1	2-293313-1	7961769-3-4	0-6436678-1538345	1687362-2240248-0	4763870-1-3427368	5920263-2-3	516202-2551213-1	0-4415029-1	0-6436678-3	4-1067180-6181430	4-1-6181430	4-3-9452302	7507111-4-1	516202-2-1	0-4-9762168	4-598969-4	2808920-4225134-0	4-1135236-777778	1509570-1-0	8052895-1-3427368	2-2962071-1	4-1-2986985	3-2-5206121	8718266-4-1	0-2-3521180	3-2-1068866	9529512-4-1	8014252-2-3	5396666-2240248-4159281	286822-2240248-0	4-9095303-3427368	3-174920-5206121	5396666-2240248-0	0-2-9150258	4-598969-6841501	4-1-3427368	0-3-1	2-2274767-1	4-1-6876427	4470705-6436678-3	3666484-3-4	901656-3-4	1281690-1-3427368	4-3-4	598220-2996029-6181430	4-3-9202351	2-1674589-1	4-45088-1	4690879-2996029-6181430	7507111-4-5562197	7724736-4-1	2808920-2240248-0	2841744-2-3	9403402-3-4	4593319-5405421-1	7067111-2962071-1	2-4-338462	0-2-3	0-2-1	6621488-4-1	4-6821710-0	9626923-1377649-1	46444-2-3521180	0-4961816-4545445	0-2-5158822	4607668-3-4	0-6436678-1499252	2-1377649-1	4-1135236-4	6633818-2-4826536	4-1-0	4-1-1	2453066-1377649-1	0-4961816-1	3-2-7288747	4470705-1521331-3	598220-1882926-6181430	5800838-1-6181430	3-2-4826536	4-278996-4	4-8986156-6181430	2-4-1	2808920-2240248-3237019	4426437-1-6181430	4836055-1-0	4-2996029-6181430	7017829-9557273-7288747	4-2240248-0	4-1248179-4	9272458-1-0	2750899-3-4	5396666-2240248-1313132
assemblage-540-571	0	0	0	0	0	0	0	0	0	27	0	25	0	0	37	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	13	0	0	62	0	0	0	0	0	0	8	0	0	0	115	0	0	0	0	0	0	14	17	0	0	0	14	0	43	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	6	0	0	0	18	0	0	0	30	0	0	0	0	0	36
assemblage-444-629	0	0	0	0	0	0	0	0	0	0	0	0	0	19	18	17	0	0	0	0	0	0	0	12	0	8	0	0	0	0	0	0	0	0	0	0	40	9	0	0	0	0	0	0	22	0	0	0	0	0	0	0	20	0	0	0	0	0	12	8	0	0	0	0	0	0	0	0	57	27	0	34	0	0	0	41	0	0	0	24	0	0	64	0	0	0	0	0	8	0	0	0	60
assemblage-334-574	12	0	0	5	0	0	0	5	0	35	0	30	0	0	13	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	12	0	0	23	0	0	0	0	0	0	0	0	4	0	141	0	0	0	0	0	0	0	20	0	0	0	0	0	44	0	14	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	28	0	0	0	0	0	39
assemblage-434-460	0	7	0	0	0	0	4	0	0	26	0	38	0	21	10	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	12	0	0	21	0	5	0	0	0	0	0	59	0	0	0	0	0	0	0	45	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	4	90	24	0	0	0	0	0	0	0	0	11	0	0	49	0	0	0	0	0	0	0	0	0	29
assemblage-614-636	0	8	0	0	0	0	0	0	0	13	0	19	0	34	10	3	0	0	18	0	0	0	0	14	0	0	0	0	0	0	0	4	0	15	0	0	21	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	36	0	0	0	0	0	58	0	0	4	0	6	0	0	0	0	26	29	3	11	0	0	0	0	0	0	0	15	0	0	66	0	0	0	0	0	0	0	0	0	28
assemblage-474-606	0	0	0	0	0	0	0	0	0	0	0	0	0	17	8	15	22	0	0	0	0	0	0	29	0	0	16	0	0	0	0	0	0	0	0	0	5	26	0	8	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	50	78	0	0	0	0	7	0	0	0	8	0	0	41	0	0	26	30	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	55
assemblage-340-370	0	0	0	0	0	0	0	0	0	0	0	0	0	16	9	10	16	0	0	0	0	0	0	44	0	0	22	0	0	0	0	0	0	0	0	0	12	30	0	6	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	37	89	0	0	0	0	0	0	0	0	11	4	0	50	0	0	20	26	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	60
assemblage-490-423	0	0	0	0	0	0	0	0	0	0	0	5	0	28	19	14	0	0	0	0	0	0	0	11	0	7	0	0	0	0	0	0	0	0	0	0	34	6	0	0	0	0	0	0	21	0	0	0	0	0	0	0	21	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	72	26	0	16	0	4	0	53	0	0	0	23	0	0	72	0	0	3	0	0	5	0	0	0	46
assemblage-645-408	0	0	0	0	0	0	0	0	0	0	0	0	0	12	10	7	15	0	0	0	0	0	0	25	0	0	21	0	7	0	0	0	0	0	0	0	14	24	0	4	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	36	82	0	0	0	0	0	0	0	0	17	0	0	48	6	0	38	27	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	59
assemblage-340-403	0	0	0	0	0	2	0	0	0	0	0	14	0	20	10	0	0	0	0	0	0	0	0	38	18	10	0	0	0	0	0	9	0	10	0	0	24	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	15	0	0	0	0	0	45	7	0	0	0	5	0	0	0	0	28	25	0	26	0	0	0	30	0	0	0	20	0	0	79	0	0	0	0	0	0	0	0	0	43
assemblage-569-452	0	0	0	0	0	0	0	0	0	15	0	20	0	0	49	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	12	0	0	53	0	0	0	0	0	0	9	0	0	0	90	11	0	0	0	0	0	23	7	0	0	0	8	0	58	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	7	0	0	0	22	0	0	0	46	0	0	0	0	0	35
assemblage-610-516	0	0	0	0	0	0	0	0	0	18	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	8	0	7	32	0	0	48	0	0	0	0	0	0	21	0	0	0	81	7	0	0	0	0	0	40	18	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	47	0	0	0	0	10	42
assemblage-493-366	0	11	0	0	0	0	0	0	0	14	0	14	0	21	18	5	0	0	8	0	0	0	0	17	0	0	0	0	0	0	0	2	0	6	0	0	14	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	47	0	0	0	0	0	75	0	0	6	0	3	0	0	0	0	24	38	0	5	0	0	0	0	0	0	0	14	0	0	77	0	0	0	0	0	0	0	0	0	34
assemblage-546-587	7	10	0	0	7	0	0	0	0	56	0	16	5	2	26	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	28	0	0	0	0	0	61	0	10	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	7	0	0	0	0	0	44
assemblage-432-660	8	7	0	0	0	0	0	0	0	47	0	14	7	15	30	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	29	0	0	8	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	44	0	0	0	0	0	57	0	4	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	3	0	0	0	49	0	0	0	10	0	0	0	0	0	41
assemblage-497-346	0	0	0	0	0	0	0	0	0	0	0	0	0	10	33	7	9	0	0	11	0	0	0	7	0	10	6	0	0	0	0	0	0	0	0	11	30	4	0	0	0	0	0	0	38	0	0	0	0	0	0	0	15	0	0	0	0	0	14	40	0	0	0	0	0	5	0	0	39	21	0	37	0	0	25	31	0	0	0	14	0	0	25	0	0	0	0	0	18	0	0	0	40
assemblage-460-451	0	0	0	0	0	0	0	0	0	0	0	10	0	22	29	14	0	0	0	0	0	0	0	7	0	10	0	0	0	0	0	0	0	0	0	0	31	13	0	0	0	0	0	0	17	0	0	0	0	0	0	0	22	0	0	0	0	0	21	16	0	0	0	0	0	0	0	0	69	24	0	25	0	0	0	25	0	0	0	28	0	0	62	0	0	3	0	0	6	0	0	0	46
assemblage-557-617	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	9	24	0	0	0	0	0	0	28	0	0	28	0	0	0	0	0	0	0	0	0	7	25	0	12	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	36	59	0	0	0	0	0	0	0	0	18	0	0	35	0	0	36	39	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	68
assemblage-520-525	4	18	0	0	5	0	0	0	0	38	0	19	19	9	36	0	0	0	0	0	0	8	7	0	0	0	0	0	0	0	0	0	0	24	0	0	9	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	46	0	0	0	0	0	52	0	13	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	8	0	0	0	0	0	24
assemblage-415-593	0	0	0	0	0	0	0	0	0	8	0	33	9	0	37	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	17	0	0	67	0	0	0	0	0	0	5	0	0	0	92	6	0	0	0	0	0	20	16	0	4	0	16	0	43	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	46	0	0	0	0	3	27
assemblage-665-426	0	0	0	0	0	0	0	0	0	0	0	0	0	7	26	10	8	0	0	14	0	0	0	10	0	6	9	0	0	0	0	0	0	0	0	6	22	3	0	0	0	0	0	0	45	0	0	0	0	0	0	0	18	0	0	0	0	0	20	38	0	0	0	0	0	0	0	0	28	18	0	36	0	0	13	37	0	0	0	14	0	0	34	0	0	0	0	7	25	0	0	0	46
assemblage-500-422	0	11	0	0	0	0	0	0	0	22	0	11	0	27	9	0	0	0	12	0	0	0	0	7	0	0	0	0	0	0	0	0	0	13	0	0	18	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	62	0	0	0	0	0	54	0	0	0	0	12	0	0	0	0	24	38	0	5	0	0	0	0	0	0	0	15	0	0	69	0	0	0	0	0	0	0	0	0	50
assemblage-477-558	5	0	0	0	0	0	0	6	0	34	0	27	0	0	2	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	4	0	0	51	0	0	8	0	0	0	0	0	12	0	138	7	0	0	0	0	0	0	13	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	25	0	0	0	0	0	43
