Assemblage_Name	2-1-480275	5773557-2-3	1-0-0	0-3-415814	1643217-1-0	2-1-5837927	1-3-9941389	0-3-3188427	1805105-561802-4	0-9542247-6447573	1-3-4326321	1-1770338-9941389	0-8401169-6733690	1-3-3412849	1805105-3-4	4-2-6083459	0-3-6733690	5055523-1-0	1-3-89308	4-2-4285661	1-3-4	4-7546888-3	2030087-1-0	0-918101-2	0-9262744-2	4-2-3	0-3-2	4-2574952-3	2788887-2-3	1-4932987-4	2-1-9444862	2-1-0	4-2-1443958	1435303-3-4	4-2-8858528	1-2547075-4	8143335-3-89308
assemblage-392-520	0	0	0	0	0	0	114	0	0	0	0	0	0	0	29	0	0	0	0	16	58	0	0	0	0	125	128	0	0	0	0	13	0	9	0	0	8
assemblage-529-483	4	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	121	66	14	0	0	0	114	0	0	0	0	16
assemblage-530-503	11	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	97	59	8	0	0	0	133	0	0	0	0	17
assemblage-663-385	2	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	135	52	4	0	0	0	148	0	0	0	0	7
assemblage-548-384	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	166	0	0	4	0	55	36	6	0	0	7	183	0	0	0	0	29
assemblage-499-650	0	0	0	0	0	0	0	0	0	13	0	0	0	0	18	0	0	0	0	0	168	16	0	0	11	47	54	0	0	0	0	160	0	0	0	0	13
assemblage-291-504	9	0	8	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	123	56	12	0	0	0	142	0	0	0	0	4
assemblage-436-466	0	0	0	0	0	0	63	0	0	0	0	0	0	0	6	0	4	0	0	0	88	0	0	0	0	145	152	0	0	0	0	26	0	0	6	0	10
assemblage-502-519	0	0	0	0	0	0	117	0	0	0	0	0	0	0	40	0	0	0	0	23	45	0	0	0	0	114	134	0	0	0	0	3	0	16	0	0	8
assemblage-529-551	0	0	0	0	0	0	141	0	0	0	0	0	0	0	26	0	0	0	0	21	48	0	0	0	0	115	124	0	0	0	0	9	0	10	0	0	6
assemblage-472-658	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	118	0	0	5	0	68	52	21	0	0	9	177	0	0	0	0	25
assemblage-521-552	0	0	0	0	0	0	86	0	0	0	0	0	0	0	13	0	21	0	0	6	74	0	0	0	0	149	123	0	0	0	0	12	0	0	0	0	16
assemblage-507-435	0	0	0	0	0	0	92	0	0	0	0	0	0	0	26	0	20	0	0	9	57	0	0	0	0	134	129	0	0	0	0	20	0	0	0	0	13
assemblage-521-555	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	124	0	0	12	0	77	51	4	0	0	0	186	0	0	0	5	28
assemblage-444-561	0	0	0	0	0	0	0	0	0	10	0	0	0	0	14	0	0	0	0	0	168	7	0	0	24	51	50	0	0	0	0	169	0	0	0	0	7
assemblage-463-336	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	130	0	0	13	0	65	40	6	0	0	0	186	0	0	0	5	31
assemblage-384-352	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	121	0	0	7	0	86	41	6	0	0	0	185	0	0	0	8	32
assemblage-527-523	0	0	0	0	0	0	0	0	0	8	0	0	0	0	25	0	0	0	0	0	188	6	0	0	12	35	71	0	0	0	0	148	0	0	0	0	7
assemblage-432-479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	21	75	94	0	0	0	0	146	0	0	0	0	18
assemblage-544-611	0	0	0	0	0	0	149	0	0	0	6	0	0	0	41	0	0	0	0	24	47	0	0	0	0	112	106	0	0	0	0	3	0	6	0	0	6
assemblage-550-465	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	120	0	0	16	0	88	37	0	0	0	0	187	0	0	0	0	25
assemblage-478-546	0	0	0	0	0	0	0	0	0	25	0	0	0	0	2	0	0	0	0	0	120	17	0	0	6	59	62	0	0	0	0	179	0	0	0	13	17
assemblage-557-394	0	0	0	0	0	0	20	0	0	0	0	0	0	23	0	0	0	0	0	0	115	0	0	0	13	132	92	0	0	0	0	75	0	0	13	0	17
assemblage-371-326	0	0	0	0	0	0	39	0	0	0	0	0	0	14	0	0	0	0	0	0	107	0	0	0	14	137	84	0	0	0	0	57	0	0	28	0	20
assemblage-377-570	0	0	0	0	0	0	0	0	0	7	0	0	0	0	14	0	0	0	0	0	194	3	0	0	13	40	72	0	0	0	0	148	0	0	0	0	9
assemblage-390-415	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	136	0	0	12	0	78	25	7	0	0	0	179	0	0	0	0	46
assemblage-394-439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	13	86	92	0	0	0	0	145	0	0	0	0	24
assemblage-649-566	0	0	0	0	0	0	95	0	0	0	0	0	0	0	36	0	19	0	0	7	50	0	0	0	0	127	131	0	0	0	0	20	0	0	0	0	15
assemblage-603-296	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	152	0	0	10	0	74	38	6	0	0	0	163	0	0	0	0	32
assemblage-538-178	0	0	0	0	0	0	108	0	0	0	0	0	0	0	18	0	20	0	0	9	58	0	0	0	0	123	126	0	0	0	0	21	0	0	0	0	17
assemblage-641-489	0	0	0	0	0	0	69	0	0	0	0	0	0	0	31	0	17	0	0	15	55	0	0	0	0	136	150	0	0	0	0	12	0	0	0	0	15
assemblage-616-551	0	0	0	0	0	0	31	0	0	0	0	0	0	21	0	0	0	0	0	0	112	0	0	0	11	149	87	0	0	0	0	65	0	0	12	0	12
assemblage-418-418	0	0	0	0	0	0	44	0	0	0	0	0	0	0	3	0	4	0	0	0	90	0	0	0	0	153	160	0	0	0	0	22	0	0	0	0	24
assemblage-587-430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	10	63	80	0	0	0	0	168	0	0	0	0	31
assemblage-318-446	0	0	0	0	0	0	140	0	0	0	0	0	0	0	46	0	1	0	0	22	45	0	0	0	0	108	113	0	0	0	0	5	0	10	0	0	10
