Assemblage_Name	7673777-4021856-2	4-2-7401087	1-0-4	8502505-2-3	4320245-0-0	1-0-6561132	2684690-2-4	2565316-4963108-4	0-1-0	3-3887878-3	1-0-5852589	3624827-9580629-0	4-3476299-4	3-2-8319713	4-4-8159207	1-9856059-4	3624827-1-0	0-0-0	4-1148212-4914743	4764921-2-4	1878953-0-4	1-0-132707	4-4-2	4-1148212-4	4-2-4	7673777-4-2	4-4-4360279	3433807-0-4	6198638-0-0	3-2-5050435	3-2-4317779	4-4-3659533	2990727-0-4	4-4-1617159	3-2-3	1-0-3958758	2587085-1148212-4914743
assemblage-607-312	0	5	179	0	0	0	0	0	0	0	0	0	0	8	0	0	56	16	0	0	0	0	109	0	41	0	0	0	0	0	0	0	0	0	69	0	17
assemblage-494-373	0	0	137	0	20	0	0	0	16	0	0	0	0	0	0	0	39	9	0	0	0	0	112	8	72	0	0	0	0	0	0	0	5	0	70	0	12
assemblage-491-463	0	0	57	0	0	0	0	0	42	0	0	0	17	0	0	0	45	74	0	6	0	0	60	0	128	0	0	0	0	0	0	0	0	0	57	0	14
assemblage-489-624	0	50	151	0	0	0	0	6	0	0	0	0	0	5	0	0	53	25	0	0	0	0	124	3	19	7	0	0	0	0	0	0	0	0	50	0	7
assemblage-444-552	0	19	218	0	0	0	0	0	0	0	0	0	0	4	0	0	18	28	0	0	0	0	114	15	0	35	0	0	0	4	0	0	0	0	34	0	11
assemblage-684-458	13	0	151	0	0	0	0	16	0	0	0	0	0	0	0	0	6	32	0	0	0	4	148	17	0	26	0	0	0	0	0	0	0	0	73	0	14
assemblage-653-581	0	0	72	0	27	0	10	0	11	0	0	0	0	0	0	6	31	43	11	0	10	0	55	31	65	0	0	0	0	0	7	0	0	0	115	0	6
assemblage-593-417	23	0	164	0	0	0	0	10	0	0	0	0	0	0	0	0	15	32	0	0	0	0	152	16	0	20	0	0	0	0	0	0	0	0	52	0	16
assemblage-561-413	0	10	160	0	0	0	0	0	0	0	0	0	0	7	0	0	62	21	0	0	0	0	115	0	62	0	0	0	0	0	0	0	0	0	54	0	9
assemblage-557-369	14	0	131	0	0	0	0	9	0	0	0	0	0	0	18	0	0	48	0	0	0	0	179	0	0	52	0	0	0	0	0	0	0	0	25	7	17
assemblage-522-513	5	0	169	0	0	0	0	14	0	0	0	0	0	0	0	0	8	45	0	0	0	0	140	10	0	36	0	0	0	3	0	0	0	0	62	0	8
