Assemblage_Name	4596881-0-4	1-4924957-1	4-1290232-2	509099-3-1	4-2101814-766161	1-9555004-1	6668741-1-1177726	1-3-5512019	1-1-0	8810171-8256763-1	3760522-3-1	2534221-3-1	1-8503026-319557	1-8503026-1	8947720-1-3	0-1-3	1-1845331-1	1-2490561-0	9027260-8503026-1	9502432-1-0	4138262-2-5884207	2-0-4	3641890-0-4	9834634-3-1	2-5841824-4	1-4-7519972	3062961-1-766161	4-2-5884207	4-4444700-766161	9324909-1-766161	1-9840125-0	4271432-1-2	1-3-5825611	8810171-3-1	1-3-3641738	1-3-1	4-2-2241329	4-2-4	1340599-1-766161	4-1-4815224	4-5874336-766161	3088406-183624-4	4-1-4	4-1-2	4-1-766161	4-3388538-2	4-1616939-2	1883075-1-2	3088406-0-4	5582050-1-2	1-8503026-6795671	3446547-9555004-1
assemblage-504-504	0	0	0	0	11	0	20	0	15	0	0	0	0	35	0	0	0	0	0	0	0	0	11	0	0	0	0	33	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	71	65	0	15	0	0	0	0	24
assemblage-584-478	0	0	0	0	0	0	10	0	31	7	0	0	17	37	0	0	0	0	0	0	0	0	30	0	0	0	0	35	0	0	0	7	0	6	0	183	0	0	0	0	4	0	0	91	5	0	0	0	0	0	14	23
assemblage-578-596	0	0	0	0	0	0	0	0	50	0	7	0	0	27	0	0	0	0	0	0	0	0	8	0	0	0	0	62	0	0	0	0	0	0	0	181	13	0	0	0	0	0	0	74	46	0	0	0	0	0	0	32
assemblage-548-431	0	0	0	0	0	0	4	0	69	0	0	0	0	17	0	3	0	0	0	0	0	21	0	0	0	0	0	53	0	0	0	0	0	0	0	140	33	0	0	0	0	0	0	88	39	0	0	0	17	0	0	16
assemblage-584-407	0	0	0	0	0	11	2	0	18	6	0	0	26	47	0	0	0	0	0	0	0	0	38	0	0	0	0	16	0	0	0	8	0	6	0	167	0	0	0	0	12	0	0	103	16	0	0	0	0	0	9	15
assemblage-539-470	0	0	0	0	0	0	0	0	28	0	0	0	0	52	0	0	0	0	0	0	0	0	23	0	0	0	0	26	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	78	27	0	14	0	0	8	0	31
assemblage-392-436	0	0	0	0	0	0	10	0	22	0	0	0	0	58	0	0	0	0	0	0	0	0	25	0	0	0	0	24	0	0	0	0	0	7	0	183	0	0	0	0	0	0	0	88	45	0	2	0	0	0	0	36
assemblage-539-478	0	0	0	0	0	4	9	0	22	20	0	0	20	55	0	0	0	0	0	0	0	0	33	0	0	0	0	27	0	0	0	11	0	8	0	153	0	0	0	0	5	0	0	93	9	0	0	0	0	0	12	19
assemblage-735-485	0	0	0	0	0	0	8	0	69	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	187	24	0	0	0	0	0	0	54	35	0	0	0	6	0	0	30
assemblage-414-450	0	0	0	0	0	5	5	0	27	8	0	0	18	51	0	0	0	0	0	0	0	0	54	0	0	0	0	20	0	0	0	14	0	2	0	143	0	0	0	0	12	0	0	99	19	0	0	0	0	0	8	15
assemblage-511-498	0	0	0	0	4	0	12	0	8	0	0	0	0	27	0	0	0	0	0	0	0	0	19	0	0	0	0	38	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	53	60	0	18	0	0	0	0	37
assemblage-708-415	0	0	0	0	0	0	26	0	90	0	0	1	0	0	0	35	0	0	0	0	0	38	0	0	0	9	0	21	0	0	8	0	0	0	0	96	25	0	0	9	0	0	32	46	43	0	0	0	0	0	0	21
assemblage-494-424	0	0	0	0	2	0	9	0	29	0	6	0	0	55	0	0	4	0	0	0	0	0	10	0	0	0	0	57	0	0	0	0	0	0	0	227	11	0	0	0	0	0	0	47	30	0	0	0	0	0	0	13
