Assemblage_Name	4-507655-4	186898-3-0	4-8193804-4	7396649-1253451-0	7396649-2-0	4-6785422-1	7093981-4-0	2-7375302-0	1-4-9241391	7396649-8012974-0	3-2-1	1-1-4	8639112-2-0	2-1-0	2-4-8057440	0-4-2	2-1-7534045	0-1-4	2-4-3822983	2-2743871-2	2-7446405-0	4-667909-4	3563941-1-0	4-4-1	2-3-0	1-4-9644792	4-3251686-4	4-2-6272228	2-2-2	4-2-9509169	6503858-6969799-9241391	0-487118-2	1-6969799-9241391	3422684-1-4	4-2-4	182705-2-4	4149826-3-0	7303375-4-0	4-8580564-4	2-4-746408	7388167-2-4	1-4-67538	2-1338273-0	735356-487118-2	8477710-487118-2	2-4-0	2-1-6332620	4495011-1-6332620	0-2150317-2	2-1218603-0	2-3-4338993	5024116-4-0	2-2-9642672
assemblage-497-346	0	0	0	0	39	0	0	0	86	0	13	0	0	21	0	5	0	4	0	0	0	7	0	22	92	0	0	0	20	0	0	47	0	0	69	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	19
assemblage-460-451	0	0	0	0	11	0	0	0	90	0	12	0	0	46	0	0	0	10	0	0	0	0	0	0	107	0	0	0	18	0	0	25	17	0	89	0	0	0	0	0	0	0	0	0	2	58	0	0	0	0	0	0	15
assemblage-557-617	0	0	0	0	51	0	0	0	88	0	21	12	4	36	11	0	0	6	0	0	0	25	0	23	59	0	0	0	34	0	0	29	0	0	37	0	0	0	0	0	0	0	0	0	0	33	0	0	14	0	0	0	17
assemblage-520-525	4	0	0	0	0	0	0	6	3	0	0	0	0	127	0	0	0	0	0	6	11	0	0	0	126	0	0	0	0	15	0	8	0	0	35	0	0	0	0	0	32	0	0	0	0	83	30	0	0	0	0	0	14
assemblage-415-593	0	0	0	0	20	0	19	39	13	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	104	45	0	0	0	4	17	9
assemblage-665-426	0	0	0	0	20	0	0	0	93	0	23	0	0	25	0	9	0	15	0	0	0	7	0	26	79	0	0	0	28	0	0	29	0	0	76	0	0	0	0	0	0	0	0	0	0	47	0	0	5	0	0	0	18
assemblage-500-422	0	0	0	0	7	0	0	0	38	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	93	0	0	0	12	0	0	40	0	0	137	0	0	0	0	0	9	0	0	0	0	56	7	0	0	0	0	0	24
assemblage-477-558	8	0	0	0	9	0	8	6	14	0	0	0	0	93	0	0	0	0	0	0	6	0	0	0	140	0	0	0	0	28	0	0	0	0	10	0	0	0	0	0	11	0	0	0	0	116	29	0	0	0	0	0	22
assemblage-595-551	8	0	0	0	4	0	0	0	11	0	0	0	0	84	0	0	0	0	0	0	8	0	0	0	147	0	0	0	0	33	0	0	0	0	15	2	0	0	0	0	17	0	0	0	0	116	15	0	0	0	13	0	27
assemblage-489-421	7	0	0	0	0	0	0	0	17	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	104	0	0	0	10	17	0	13	0	0	130	0	0	0	0	0	26	0	0	0	0	52	17	0	0	0	0	0	17
