Assemblage_Name	2-7748413-143682	1-8856005-4496511	5938661-2-2	2-6128381-3	8273525-7621349-3	2-1266365-3	1674078-2-1	1-2220108-1	7011820-3-7078637	5651021-7194410-1270782	2-7885305-1270782	5827985-3-8190683	6396597-2-3	3-2338383-3	2-4-2493388	9413295-5713577-1270782	6248735-6128381-3	9104846-4-143682	4-837673-6423603	4-8592483-1	4-8626599-3	3-2-3	1-2-4335505	3-8185073-3	4-6724181-3	1464827-3-0	4-2-1500939	3231876-4-3	3559313-1-3	6652238-7621349-3	9413295-4-9333619	5100994-4-1270782	7367320-2-3	2-4-143682	2-737407-143682	5827985-3-0	2-4-3	4-2-7353485	4-8990699-1	4-2-9480375	1-2-1	4-2-2765993	4-3-0	1260061-4-143682	7192562-837673-7483800	2-2-1	2-4-6916402	0-787345-2	4-2-8413664	4-6104783-3	2-8340330-3	3849597-1-3	4-2-1064316	6652238-6272890-3	4-837673-3	2-7194410-1270782	0-2-2	2-4-2856861	2-2170712-143682	9413295-4-1270782	5138994-2-1	4-2-3	4-2-1	3559313-1-5258562	2-7882508-143682	2-2-7072932	2-4-1270782	1-2-4496511	6147432-2-3	5827985-3-7078637	9263013-2-3	2-4-8024483	2-4242436-3	2-7868930-3	4960978-3-5653739	2-8927348-143682	4-2-7538358	4-0-4	4960978-3-2	4-2-7776328	2433045-3-8190683	6396597-2-5533167	4-9679683-4	2-4-4968652	4-2-590978	6652238-7621349-441427	4-2-1901796
assemblage-523-494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	7	0	0	0	10	0	0	29	17	0	0	0	4	0	50	45	0	0	0	27	0	77	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	8	0	45	20	0	0	0	60	2	0	0	0	0	0	0	0	0	0	3	28	0	0	0	0	0	0	0	45
assemblage-696-326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	6	0	0	0	0	0	0	37	31	0	0	0	13	0	41	46	0	0	0	17	0	56	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	0	10	0	36	19	0	0	0	86	6	0	0	0	0	0	0	4	0	0	6	18	0	0	0	0	0	0	0	43
assemblage-561-438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	10	0	0	0	5	0	0	27	34	0	0	0	11	0	45	39	0	0	0	26	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	14	0	32	33	0	0	0	59	9	0	0	0	0	0	0	5	0	0	6	21	0	0	0	5	0	0	0	35
assemblage-641-508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	22	0	0	0	39	0	22	47	0	0	0	30	0	19	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	15	0	60	23	0	0	0	58	22	0	8	0	0	0	0	22	0	0	0	15	0	0	0	0	0	0	6	55
assemblage-391-442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	38	0	0	0	23	0	19	44	0	0	0	23	0	46	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	26	0	69	38	0	0	0	37	17	0	6	0	0	0	0	12	0	0	0	18	0	0	0	0	0	0	13	45
assemblage-648-678	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	15	0	0	0	53	0	22	54	0	0	0	31	0	31	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	22	0	67	19	0	0	0	47	19	0	8	0	0	0	0	10	0	0	0	14	0	0	0	0	0	0	5	28
assemblage-487-465	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	26	14	0	0	0	51	0	20	74	0	0	8	22	0	42	0	0	0	8	0	0	0	0	5	0	0	0	13	0	0	0	12	0	81	20	0	0	0	26	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	7	35
assemblage-513-609	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	14	0	0	0	66	0	27	81	0	0	0	37	0	42	0	0	0	4	0	0	0	0	16	0	0	0	13	0	0	0	12	0	79	8	0	0	0	17	0	0	0	0	0	0	0	18	0	0	0	5	0	0	0	0	0	0	13	29
assemblage-511-550	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	14	0	0	0	56	0	13	109	0	0	0	43	0	23	0	0	0	4	0	0	0	0	1	0	0	0	14	0	0	0	17	0	78	10	0	0	0	26	0	0	0	0	0	0	0	11	0	0	0	6	0	0	0	0	0	0	7	46
assemblage-467-505	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	6	7	0	0	0	0	63	0	15	87	0	0	0	41	0	0	0	0	0	15	0	0	0	0	0	0	0	0	31	0	0	0	0	4	61	40	0	0	0	31	0	0	0	0	0	0	0	18	0	0	0	7	0	0	0	0	0	0	0	61
assemblage-550-679	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	10	0	0	0	0	94	0	19	91	0	0	0	37	0	0	0	0	0	5	0	0	0	0	0	0	0	0	25	0	0	0	0	0	59	32	0	0	0	20	0	0	0	0	0	0	0	32	0	0	0	6	11	0	0	0	0	0	0	36
assemblage-422-456	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	7	0	0	0	0	89	0	9	97	0	0	0	37	0	7	0	0	0	6	0	0	0	0	0	0	0	0	25	0	0	0	0	0	80	32	0	0	0	17	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	48
assemblage-508-408	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	9	0	0	0	0	0	79	0	14	67	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	10	0	0	0	153	63	0	0	0	11	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-485-380	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	80	0	4	106	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	4	0	0	0	150	50	0	0	0	9	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-731-334	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	95	0	15	91	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	134	60	0	0	0	14	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	38
assemblage-606-491	0	0	0	0	0	0	0	0	0	0	0	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	7	35	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	178	116	0	0	0	11	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	59
assemblage-294-555	0	0	0	0	7	0	0	0	0	0	0	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	12	56	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	187	106	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	40
