Assemblage_Name	4301618-3-1	966978-2216770-3	2263114-8403351-3	5473498-3-4876038	4-6050819-0	9303804-4641444-3	1-3-4876038	3121009-4-3	1832580-1046559-3	4-1-2632959	8965143-0-3	6474371-4-3	7548594-3-1	966978-5872756-3	9491039-3-1	1-8789010-1	1-3-285272	9303804-4-1519138	1-4-6930233	31689-4-5910369	1-1676979-3	1-4-6273992	1-1443946-3	1-7032431-1	1-4551189-1	8330911-4-3	5007301-4-5910369	6618053-4693009-4876038	1-4-6744212	1-5668141-3	4328871-3-1	0-0-3	1-9113436-5910369	1-4-5910369	5680517-4-3	1-362613-3	9303804-4-3456253	7035065-3-1	1-4-1383148	6456539-4-5910369	1-4-5197198	1-4-5751523	2329216-0-3	8795687-4-3	1-5230202-3	2-2-1	152082-4-3	8251099-4-3	1-3-8164662	9707522-3-1	4-520309-0	1-3-9304164	1-3-1	2-8852973-1	1-3699611-3	2263114-4557883-3	1832580-4-3	1832580-1148622-3	1-4-3	5614429-3-1	4184380-4-3	1-4-7121227	1-4864416-1	3050237-4-3	1-147071-4876038	1-6041815-3	6618053-3-4876038	1-6073972-3	2524837-3820565-1	5075875-4-3	4-1-0	966978-4-3	152082-4-4563955	836909-4-3	2263114-4-3	1-4-2453527	1-3-5034828	6664822-4-3	9670416-6073972-3	1-3-8187886	9303804-4-3	1-5590524-1	4-5463324-0	312703-4-3
assemblage-464-478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	107	0	0	0	0	0	191	0	0	0	0	0	0	0	0	27	0	0	9	0	0	0	22	0	0	0	0	0	36	0	0	37
assemblage-483-276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	139	0	0	0	0	0	211	0	0	0	0	0	0	0	0	25	0	0	7	0	0	0	20	0	0	0	0	0	36	0	0	35
assemblage-444-561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	176	0	0	0	17	0	128	0	0	0	0	0	0	0	0	38	0	0	6	0	0	0	29	0	0	0	0	0	31	0	0	19
assemblage-695-531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	20	0	136	0	0	0	0	0	0	0	0	27	0	0	10	0	0	0	32	0	0	0	0	0	44	0	0	34
assemblage-519-486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	19	0	137	0	0	0	0	0	0	0	0	25	0	0	10	0	0	0	44	0	0	0	0	0	34	0	0	42
assemblage-582-447	0	0	0	0	0	0	17	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	11	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	15	0	101	0	0	0	0	0	0	0	0	24	0	0	4	0	0	0	31	0	0	0	0	0	40	0	0	34
assemblage-535-590	0	0	0	0	0	0	14	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	19	0	0	6	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	185	0	0	0	21	0	96	0	0	0	0	0	0	0	0	26	0	0	16	0	0	0	28	0	0	0	0	0	38	0	0	22
assemblage-412-544	6	0	0	0	0	0	27	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	16	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	21	0	105	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	18	0	0	0	0	0	54	0	0	23
assemblage-543-479	0	0	0	9	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	9	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	158	0	0	0	6	0	105	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	20	0	0	0	0	0	48	0	0	29
assemblage-462-633	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	3	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	135	0	0	0	8	0	124	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	20	0	0	0	0	0	52	0	0	40
assemblage-613-581	0	0	0	8	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	162	0	0	0	23	0	109	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	20	0	0	0	0	0	34	0	0	38
assemblage-417-539	0	0	0	22	0	7	36	0	0	0	0	0	0	0	0	0	2	0	0	12	0	0	0	0	5	0	0	0	0	21	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	91	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	75	0	0	20
assemblage-724-494	0	0	0	13	0	11	38	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	8	11	0	0	0	0	2	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	134	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	65	0	0	19
assemblage-512-682	0	0	0	9	0	9	44	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	13	16	0	0	0	0	6	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	90	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	4	67	0	0	29
assemblage-584-383	0	0	0	14	0	27	34	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	89	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	43	0	0	27
assemblage-395-617	0	0	0	14	0	6	40	0	0	0	0	0	0	0	0	0	18	0	0	3	0	0	0	13	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	118	0	0	16	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	31	0	0	6
assemblage-582-448	0	0	0	14	0	14	29	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	64	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	67	0	0	20
assemblage-500-400	0	0	0	0	0	7	34	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	70	0	0	5	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	43	0	0	18
assemblage-528-259	0	0	0	0	0	14	60	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	71	0	0	10	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	42	0	0	22
assemblage-581-474	0	0	0	0	0	16	73	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	55	0	0	9	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	33	0	0	9
