Assemblage_Name	585414-3-0	9304375-4-6327476	404229-4-6212554	404229-4-7531251	4-3541230-3	3220773-2-3	9345780-2-3	2504471-4-3	3-3-0	8552214-3-1	4-2668370-3	7244929-2-606767	2695900-4-1511534	4-2-6690876	4505553-4-3	3506785-4-3	5034546-2-6949036	5788601-2-3	1964432-2-2898417	2992088-4-4	7937604-3-0	4284225-2-2898417	8260495-2-2898417	4-3404556-3	7103532-2-606767	7846608-2-3	4-4-1511534	7244929-2-8531824	4-2-5283109	4-4-1076784	8527993-3-3511980	664761-2-3	9304375-4-4	8306339-4-1511534	8527993-5019433-0	8186580-3077164-3	4392689-4-4	4293034-3077164-3	1-1493498-2117340	1813106-2-3	8552214-8188053-1	5359480-2-3	4-4751027-5283109	4-7182618-3	4539042-4-3	4-5785429-606767	1-2845650-4	4-4-4	4-4-3	1-4-7055600	8527993-3-6853480	4-2-3	0-3-1	6241274-2-606767	4-4-6160069	4-2-606767	4-2-2898417	4-2-1809722	8337326-4-4	4-3077164-3	4-5622041-3	7768461-2-606767	4-5622041-2148780	8527993-3-0	1-4-4	1875854-4-4	4-2470601-606767	4-2-7472940	4-2-6949036	4-2-6409904	4-3554288-3	9304375-4-8525301	0-8637044-1	6258633-4-1511534	4-6990168-3	404229-4-4	4-2-130260	4-2117183-1511534	4-4-2169932	3803718-4-4
assemblage-379-581	0	0	0	0	0	11	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-145-150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	63	189	0	0	0	0	0	0	0	0	0	0	0	32	143	0	0	0	0	0	0	0	12	0	11	0	0	0	0	16
assemblage-986-557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	60	0	0	0	0	0	0	0	0	41	0	0	0	199	0	0	0	0	0	0	0	73	0	23	0	0	0	0	13
assemblage-645-340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	80	0	0	0	60	0	0	0	0	63	0	0	48	79	0	0	0	0	0	0	0	16	0	0	0	0	0	0	14
assemblage-912-205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	134	0	0	0	94	0	0	0	0	101	0	12	21	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-554-568	40	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	14	0	9	0	0	0	0	0	15	0	0	0	0	0	124	0	32	0	11	0	0	0	0	0	0	0	0	0	0	0	77	0	0	13	0	0	0	73	27	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-768-310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	51	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	103	8	0	59	0	0	0	99	0	0	0	0	0	0	0	0	68	0	56	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-644-161	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	8	0	0	0	117	16	0	0	0	0	0	0	0	17	0	180	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-259-175	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	104	5	0	0	11	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-951-437	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	144	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	6	0	0	50	0	55	0	9	51	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	6
