Assemblage_Name	4107129-3-1	1-8268227-1	1249090-1-3	1-1-3	1-9148307-1	2053460-3-376835	1-9273579-1	2-6683955-7939278	5275265-1-2	0-2-2	1-5080206-1025522	0-2-5817939	8592839-2-4209415	2-1-6060157	1-7967812-1	3063076-3-1	0-2-2658937	3122441-2-4209415	2268823-1-3	7885574-1-2	9260939-4676934-2	8788391-1-1	1-3-2189092	0-6878266-2	1-3-1	2-6683955-1	4168632-2-2	1-5080206-1	381340-3-1	2-5105639-1	2158545-2-2	586129-2-6192141	2-1-7569072	0-2-4209415	1-2847219-1	1-2-6192141	1413767-2-2	1-5214032-1	2-1-1	1-3-7990823	1037780-6683955-1	2-5117840-1	1-8292033-1	9260939-1-2	2974321-3-3	3536675-3-1	2053460-3-1	3215899-1-2	998354-3-1	2669022-1-1	1343235-6683955-1
assemblage-111-459	0	0	0	17	0	0	0	0	97	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	9
assemblage-805-119	0	0	0	134	0	0	0	0	13	10	0	0	5	0	0	0	0	0	0	0	0	0	0	0	40	21	0	0	0	0	0	0	0	5	0	0	0	0	232	0	23	0	0	0	0	0	0	0	0	0	17
assemblage-1005-552	0	0	0	0	0	0	0	0	41	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	74	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-352-856	0	0	0	0	0	0	0	0	23	69	0	0	0	0	0	0	0	0	7	0	0	0	0	0	160	47	0	106	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	80	0	0	0	0	0	0	2
assemblage-730-350	0	0	0	0	0	0	0	0	35	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	32	0	69	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	8	0	0	13	0	0	0	14
assemblage-734-252	0	0	0	0	0	9	0	0	10	105	0	0	0	0	0	0	0	0	0	0	58	0	15	0	110	28	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	124	0	0	0	4
assemblage-103-500	0	0	0	0	30	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	25	0	0	0	19
assemblage-614-784	10	0	0	0	110	0	0	0	12	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	13
assemblage-498-742	0	0	0	0	17	0	0	0	0	109	0	0	0	0	0	0	8	0	0	0	58	0	0	0	166	0	0	68	0	0	64	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-945-434	0	0	0	0	7	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	23	0	0	0	128	0	0	46	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
