Assemblage_Name	3-2798493-1	0-2976261-6646589	1845392-4128558-1	5651714-2-6646589	3926036-4-1	3-3504514-1	8887372-4-1	232828-2-6646589	4-1-3	3-4-2	232828-2-9752263	9241929-4-1	0-2-2664426	903748-4-1	5031883-2-6646589	3-4-5708299	8220698-4-1	1845392-7772521-1	0-4959601-6646589	3-6304307-1	6998389-4-1	2831149-2-6120725	2831149-2-6646589	232828-1730351-6646589	3-4686026-1	3-4-729766	1845392-4-1	0-1158837-6646589	7509597-2-6646589	3-1793174-1	4-1-5924021	1429415-2-6646589	3668392-4-1	3-3588875-1	3-4-9343035	3-4-1746903	0-2-6646589	5118301-4-1	3-3385150-1	3-4-4494914	3-2380901-1	0-9759211-6646589	0-2-4238208	8013079-4-1	232828-2-9090277	7759711-4-1	3005550-4-2	8696718-3-0	3-4-1	4-7513395-3	3-7197503-1	1668801-4-1	8438311-4-1	1845392-9774221-1	0-2656673-6646589	4-8869099-3	3-4-9752149	3-4-7482333	1627572-4-1	9399947-3-0
assemblage-949-365	0	0	0	0	0	0	40	0	98	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	9	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	10
assemblage-559-595	0	0	0	0	0	0	22	0	11	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	18	222	0	0	0	0	0	0	0	0	0	0	4
assemblage-357-449	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	5
assemblage-648-313	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	308	0	5	0	0	0	0	0	0	0	0	22
assemblage-368-841	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	0	0	11
assemblage-750-265	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0	0	0	0	15
assemblage-220-285	0	0	0	0	0	0	0	37	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	16
assemblage-605-799	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	11	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	6
assemblage-204-828	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	94	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	9
assemblage-951-437	0	0	13	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	34	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0	0	1
