Assemblage_Name	2-3915835-8582695	2-3-3015961	3192225-2-2221202	8896062-3-8582695	2-7802264-4	6946524-3-4	2-3-2759864	4945634-5210412-4	2-3-4	2-3-2	2-3-707235	0-2-432345	4933712-3-4	2-3-9626979	732810-4906273-8582695	2-3-703343	0-1-3	186414-4225758-8582695	2-2-5984058	2-4589547-8582695	2-9571569-4	2-9731930-4	6302273-3-4	1552667-4225758-8582695	2-2-3	2-3-8967193	6378357-3-4	2-6731656-8582695	2-4225758-8582695	2-6785905-8582695	2-4906273-8582695	2-6953905-4	2-8355494-4	7079329-3-8582695	2-3-5877387	2-2-3333571	0-1020571-9029729	2-3-8582695	1179228-1020571-3	2-3-8253443	2-940874-8582695	0-1020571-3	2-5831264-4	3261070-4225758-8582695	2-9571569-916966	8514247-3-4	1274392-4225758-8582695	2-4225758-769079	6557470-4225758-8582695	4945634-3-4	2-4225758-70115	0-0-3	2-9456256-8582695	6931164-2-3	2-3-2342024	9946628-3-2	2-8758775-4	2-2-2221202	2-6834751-4	2-3950917-8610625	2-9987919-8582695
assemblage-386-578	0	0	0	0	5	0	0	0	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	11
assemblage-447-857	0	0	0	0	0	0	0	0	242	14	0	8	0	0	0	0	19	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	10	0	0	0	9	137	0	0	0	22	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	12	0	0	9
assemblage-363-462	0	0	22	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	123	10	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6
assemblage-354-873	0	0	0	0	0	0	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	93	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-386-815	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-402-995	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	7
assemblage-127-497	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-1003-809	0	4	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	48	0	98	0	9	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-958-873	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	62	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-945-434	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
