Assemblage_Name	906423-3-0	1-1-3	9033135-3-0	2873095-3-2239417	340785-3-0	3-3599417-6619223	3-3-4289548	3-3-0	2-7641181-0	2981604-3-0	940782-1-0	2-7641181-3241835	3-3-7633688	2366522-0-1	2650832-0-1	3-3599417-0	3-8969415-0	2-7641181-149049	0-0-1	2873095-3-7601022	2873095-3-3038909	2-9740852-0	2-8920112-0	3856645-3-0	9556330-3-0	2-1-3921145	788667-3-0	2873095-3-0	2-891670-0	2-7641181-8907481	3-3-4159959	1630110-1-0	3-411685-0	2-2653324-0	2-7641181-7544906	1-4-4	2873095-3-9268610	2-9156270-0	2-1-0	1-4-4908830	5095452-1-0	2-1-1481128	2-4842270-0	195779-3-0	5325734-3-0	1196020-3-0	2-1-4472224
assemblage-383-590	0	4	0	0	0	0	0	26	55	0	0	0	0	120	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	14
assemblage-157-167	0	0	0	0	0	0	0	41	108	0	0	0	11	0	0	0	0	0	12	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	288	0	11	0	0	0	0	0	8
assemblage-994-556	0	0	0	20	0	0	0	77	16	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	11	0	0	279	0	23	0	0	7	0	0	5
assemblage-645-340	0	0	0	0	0	0	0	117	85	0	0	0	0	0	0	0	0	15	52	0	0	0	0	0	0	15	0	11	0	17	0	0	0	0	0	44	0	0	138	0	0	0	0	0	0	0	6
assemblage-368-829	0	0	0	0	0	0	0	299	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	126	0	0	0	0	0	0	0	12
assemblage-400-1003	0	0	0	0	0	0	0	380	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	28	0	0	0	0	0	17	0	0	0	0	66	0	0	0	0	0	0	0	4
assemblage-220-285	0	0	0	0	0	0	0	311	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	5
assemblage-644-161	0	0	0	0	0	0	0	233	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	87	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	6
assemblage-956-869	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	9
assemblage-969-450	0	0	0	0	0	10	0	252	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	22	0	0	0	0	0	127	0	0	0	0	0	0	0	17
