Assemblage_Name	3029267-3-7818873	1-1-3	4739424-3-8277178	977549-3-8277178	4-9286397-0	5244006-0-2	648176-8236032-0	7446265-7220867-7818873	7446265-1032628-7818873	8629210-1-7893288	648176-2446477-0	8629210-1-3	413611-2-0	8228217-3-8277178	3298797-3-8277178	6007927-1-3	4-2446477-0	0-3-3871479	6007927-3945560-3	1539963-4-4	358221-3-8277178	1-1-5259404	0-3-8467396	5244006-1088099-2	588956-1-3	4-7811892-0	648176-2446477-3172309	4-2-0	7446265-3-2514133	7446265-3-2	2060257-3-8277178	8660715-3-7818873	7446265-1239040-7818873	1-4-4	7428630-3-8277178	0-3-8322339	7446265-3-7818873	6007927-2819708-3	648176-9395364-0	7446265-5988787-7818873	0-3-8277178	4-8933343-0	7446265-3-6001294
assemblage-99-464	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	128	0	0	0	31	0	0	24	0	0	0	14	0	8
assemblage-569-598	0	53	0	0	0	68	0	0	0	0	0	0	4	0	0	0	107	0	0	0	0	0	0	10	0	0	0	97	0	0	0	0	0	82	0	0	0	0	0	0	74	0	5
assemblage-367-421	0	102	0	0	0	13	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	29	0	0	45	0	0	0	45	0	2
assemblage-775-937	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	50	51	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	153	0	0	46	11	0	0	43	0	7
assemblage-897-236	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	43	0	0	10	0	0	72	0	0	138	14	0	0	198	0	9
assemblage-801-92	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	27	0	0	7	0	0	11	352	0	10
assemblage-755-317	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	298	0	14
assemblage-596-807	0	33	0	0	0	0	0	0	0	0	16	33	0	0	0	0	106	0	0	0	0	0	0	0	10	0	0	0	0	0	0	17	0	0	0	0	94	0	0	0	181	0	10
assemblage-509-774	0	104	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	7	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	230	0	1
assemblage-617-852	0	3	0	0	0	0	0	0	0	0	0	50	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	70	0	0	0	283	0	7
