Assemblage_Name	2-7535099-0	2-1558078-0	1-8918004-2	2-4-5755049	2-4-3473322	0-1393227-3	6626882-2-1442967	7400820-4-0	2-2488185-0	8745900-2-1442967	995460-2-715170	2688339-2-2	1-3-1492768	0-1-3	2-4-7893577	0-1-3193390	1-2-715170	1-2-1442967	1776635-2-2	1-3301214-1442967	1-8287003-1	1-3-1	0-757179-3	2-4-0	7318693-2-2	1-6080804-715170	7505248-9768680-1442967	2-4-6471818	2-1-4043427	3153757-2-2	1-9768680-1442967	2-400897-0	0-6985679-3193390	2-3-2	6451264-4-0	1-3625486-715170	1-2-2	2-1302643-0	1-4-1	2-3-3337823	2-1-3	2-6191022-0	7995997-4-0	236634-2-1442967	2-7314549-0
assemblage-282-274	0	28	0	0	0	0	0	0	12	0	0	0	0	4	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	10	0	0	0	0	120	0	122	0	0	0	15
assemblage-466-841	0	35	0	0	0	0	0	0	0	0	0	0	11	42	0	0	12	0	0	0	0	80	0	145	0	0	0	0	0	0	0	0	0	56	0	0	44	0	67	0	8	0	0	0	0
assemblage-357-449	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	17	43	45	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	13	0	0	55	0	116	0	31	0	0	0	14
assemblage-471-239	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	44	17	0	0	0	49	0	304	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	7
assemblage-725-344	0	0	0	0	2	0	0	0	0	0	0	0	0	0	43	0	0	22	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	10	23	0	86	0	0	0	0	0	19
assemblage-402-993	0	0	10	31	0	0	0	0	0	0	0	0	0	0	64	0	163	0	0	0	0	0	0	115	0	0	0	0	0	0	0	14	0	0	0	0	27	0	66	0	0	0	0	0	10
assemblage-766-303	0	0	7	9	0	25	0	0	0	0	0	0	0	0	22	0	44	262	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	15
assemblage-405-899	0	0	0	0	0	64	0	0	0	0	0	6	0	0	0	0	186	35	0	0	0	25	0	90	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	4
assemblage-192-834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	44	154	0	0	0	24	0	128	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	14
assemblage-634-846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	90	0	0	0	2	0	64	0	0	4	0	0	0	186	0	0	0	0	0	101	0	0	0	0	0	0	0	14
