Assemblage_Name	1-2079947-0	3624225-4-0	1-6626947-0	1-4-3582090	8012874-4-0	3-1-6205539	592625-4-0	6221659-4-0	1-2-4	5566696-4-0	1-4-0	1-7272293-0	4304861-4-3	3-4953473-3	3-4-3	1-3029817-0	6776634-1-3	8064123-4-3	2-3-4	4-3-3	1-2774853-0	7575961-4-3	1-4-3262173	3-1-3	3-9035703-3	3-4-447225	3-2277074-3	3-1663510-3
assemblage-386-578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	0	0	0	0	0	0	0	0	23	0	0	0	8
assemblage-580-593	0	0	0	0	59	0	0	0	0	0	225	0	0	0	136	0	0	0	0	0	0	0	0	73	0	6	0	1
assemblage-770-926	0	0	0	0	43	0	0	0	0	0	91	0	0	0	330	0	0	0	0	0	0	0	0	35	0	0	0	1
assemblage-467-253	0	0	0	0	28	0	0	0	0	0	117	0	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-867-863	0	0	5	0	27	0	0	0	0	0	115	0	0	0	252	0	0	0	0	0	0	0	0	96	0	0	0	5
assemblage-516-571	0	0	0	0	0	0	0	0	0	0	234	0	0	0	222	0	0	0	0	0	0	0	0	39	0	0	0	5
assemblage-506-308	0	0	0	0	0	0	0	0	0	0	296	0	0	0	135	0	0	3	0	0	0	0	0	55	0	0	0	11
assemblage-404-873	0	0	0	0	0	0	0	0	0	0	316	0	0	0	124	0	0	0	0	0	0	0	0	59	0	0	0	1
assemblage-216-821	0	0	0	0	0	0	0	0	0	0	355	0	0	0	128	0	0	0	0	0	0	0	0	12	0	0	0	5
assemblage-940-453	4	0	0	0	0	0	0	0	0	0	480	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	4
