Assemblage_Name	9576275-887828-4508068	9485924-6766512-935364	8765509-1332000-0	825879-6220879-0	9576275-7669009-0	9485924-688565-8666951	9485924-38848-1182418	9576275-9295881-0	9623357-0-7873424	3-0-7873424	9435505-4-0	8514084-4-0	9576275-3093623-0	9485924-6766512-1182418	9485924-6766512-6312816	2-9191748-1	3-0-5044107	4718394-6766512-1182418	9485924-6766512-8883875	9485924-4422018-1182418	9485924-6766512-2606088	9485924-9639351-7128182	9485924-53770-1182418	8834889-2535875-6326095	5925337-7572261-0	3883151-0-7873424	572632-3748854-0	9485924-4991939-7443350	9485924-792288-1182418	9329531-4590235-0	8472769-6766512-1182418	1-4-7560749	7382368-4-0	7453470-371857-0	7734051-4-629486	8834889-4-0	1-6982959-0	6062011-887828-0	9576275-4-5548298	5336865-38848-1182418	9485924-2037114-1182418	1-3529861-0	6182982-0-7873424	1-726968-0	3130297-6766512-935364	1-5592256-0	9485924-6766512-4526178	1-6220879-0	2330819-4-0	9485924-6766512-6997542	8765509-4-0	9576275-4-0	9485924-688565-1182418	9485924-6391945-1182418	9576275-887828-0	9485924-53770-7128182	6720564-6220879-0	1286556-744945-1182418	1-6982959-2131738	8765509-4-3499162	9485924-6142774-7128182	1286556-6766512-1182418	2-2-2	8332867-4-0	5925337-3042648-0	3615803-6766512-1182418	0-2-0	9485924-688565-2294183	7195269-4-0	7453470-4-0	9485924-6766512-8500892	9576275-7171187-0	2561421-2535875-0	6259661-6766512-1182418	1-4-0	6435478-3042648-0	8765509-4-4891999	9839808-4-0	3-0-4139758	1940359-6766512-1182418	8681525-6766512-1182418	4715372-6766512-1182418	8834889-8860409-0	9576275-4590235-0	3-0-7695167	1-4-2862128	3249256-4-0	1-4-82841	9576275-2554796-0	9485924-9926744-1182418	8834889-9813469-0	9485924-6766512-3550372	1860800-6766512-1182418	8912354-4-0	572632-3042648-0	3881249-4-2862128	9576275-5993660-0	7734051-4-7560749	3-0-5513645	9576275-887828-8159375	9576275-4590235-1188717	9576275-3042648-3113732	8834889-2535875-0	9576275-3042648-0	1-8365552-0	9485924-33882-1182418	9576275-2416512-0	9576275-4-5023981	8834889-6156865-0	1-2309651-7560749	9485924-7880222-1182418	9576275-8380917-0	3859471-4-0	8765509-5673325-0	8413504-0-4	3577865-9191748-1	1-5095089-0	8834889-4-4320338	4593805-4-0	9576275-3760719-0	0-4813702-1182418	5791892-4-0	1-4-1654441	9576275-4-6316317
assemblage-951-342	0	0	0	0	0	0	0	0	0	10	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	12	0	0	0	78	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	21
assemblage-466-841	0	7	0	0	0	0	0	0	0	100	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39
assemblage-774-925	0	46	0	0	0	0	0	0	0	118	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	50	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
assemblage-340-860	0	18	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	19	0	9	0	0	0	0	0	0	0	0	7	0	0	47	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
assemblage-877-870	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	128	0	14	0	0	0	0	0	0	0	0	0	61	0	0	8	0	73	0	85	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	46
assemblage-402-995	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	87	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	20
assemblage-117-516	6	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	11	0	0	0	0	0	0	27	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	49	0	0	11	0	0	9	0	0	0	0	0	0	0	0	0	32
assemblage-402-894	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	6	88	21	0	0	33	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	29
assemblage-961-871	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	6	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	46	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	101	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-781-432	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	34	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	41	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
