Assemblage_Name	4-2-5395260	2781350-2-1	2-1-3	4-2642281-1	2-0-4	4-2-1	2-0-4184423	0-4-4	0-2-3	2-6726379-4
assemblage-259-293	0	0	18	0	80	384	0	18	0	0
assemblage-171-169	0	0	10	0	96	367	0	25	0	2
assemblage-368-454	0	0	0	0	116	319	0	64	0	1
assemblage-777-942	0	0	33	0	210	180	0	76	0	1
assemblage-927-210	0	0	114	0	312	73	0	0	0	1
assemblage-815-105	0	0	240	0	169	91	0	0	0	0
assemblage-107-490	0	0	152	0	113	235	0	0	0	0
assemblage-405-899	0	0	28	0	366	106	0	0	0	0
assemblage-963-874	0	20	5	0	278	197	0	0	0	0
assemblage-630-862	0	0	45	0	228	226	0	0	0	1
