Assemblage_Name	3-3-3	3-5436811-7271130	0-1-3	0-0-2	3-3-7271130	4-0-1	0-5724154-3	765361-0-1	5279284-3-3	3-2-0	0-9707563-3
assemblage-510-208	38	0	98	0	286	73	0	0	0	0	5
assemblage-961-129	0	0	230	0	125	106	26	8	0	0	5
assemblage-867-659	14	17	253	0	145	26	0	0	0	36	0
assemblage-495-669	0	0	361	0	24	0	0	0	0	34	3
assemblage-505-367	0	0	164	0	146	173	0	0	0	0	7
assemblage-134-140	32	0	86	0	260	114	0	0	0	0	8
assemblage-902-948	0	0	136	0	310	23	0	0	0	0	4
assemblage-901-846	10	0	243	0	173	70	0	0	0	0	4
assemblage-923-779	88	0	89	76	108	0	0	0	0	58	10
assemblage-752-974	0	0	177	0	190	96	0	0	0	0	14
assemblage-604-759	0	0	242	0	123	58	0	72	0	0	5
assemblage-204-396	96	0	141	0	223	8	0	0	24	6	2
assemblage-200-472	98	20	112	47	105	54	0	0	0	14	12
assemblage-618-424	0	0	110	0	0	282	0	40	0	0	14
assemblage-870-655	24	0	195	0	215	11	0	0	0	45	10
assemblage-572-224	0	0	230	0	135	89	35	7	0	0	4
assemblage-419-432	468	0	0	18	0	12	0	0	0	0	2
assemblage-108-487	11	25	247	0	147	37	0	0	0	21	6
assemblage-289-864	0	0	381	0	0	73	6	0	0	0	14
assemblage-831-161	55	0	153	0	290	0	0	0	0	0	2
assemblage-292-849	0	0	131	0	0	264	0	49	0	0	9
assemblage-751-589	0	0	203	0	107	181	0	0	0	0	9
assemblage-496-654	0	0	354	0	16	0	0	0	0	40	15
assemblage-171-84	27	0	118	0	321	0	0	0	0	15	6
assemblage-1000-776	107	0	144	0	194	17	0	0	27	6	1
assemblage-393-803	85	74	33	68	96	66	0	0	0	0	6
assemblage-746-290	0	0	375	0	54	49	0	13	0	0	9
assemblage-522-210	44	0	79	0	312	61	0	0	0	0	4
assemblage-806-153	38	0	194	0	199	56	0	0	5	0	8
assemblage-515-363	0	0	204	0	152	141	0	0	0	0	3
