Assemblage_Name	6949922-3-3	0-0-3	3-1-0	2-4-4	3-1-7091916	0-3-1	4-601210-3	4-3-3	2172303-1-7091916
assemblage-93-772	0	0	0	305	0	53	10	132	0
assemblage-104-483	110	18	0	196	28	2	0	135	11
assemblage-777-970	53	0	0	147	0	44	2	254	0
assemblage-902-848	98	0	0	244	0	118	0	33	7
assemblage-134-140	145	0	0	184	0	124	0	44	3
assemblage-731-315	0	0	0	393	0	14	10	82	1
assemblage-199-476	85	0	21	207	32	3	0	149	3
assemblage-604-759	22	0	0	302	0	20	4	149	3
assemblage-928-943	11	0	0	144	0	144	0	186	6
assemblage-505-653	0	26	72	143	30	46	0	162	10
assemblage-902-934	126	0	0	111	0	40	0	220	3
assemblage-207-398	88	0	0	225	13	0	0	167	7
assemblage-987-763	52	0	0	219	79	22	0	122	6
assemblage-877-569	0	0	31	306	0	32	0	130	1
assemblage-698-797	123	0	0	121	0	45	27	184	0
assemblage-176-91	73	0	0	260	37	0	0	126	4
assemblage-292-849	0	0	0	199	0	0	207	80	8
assemblage-859-809	0	0	0	372	0	5	15	108	0
assemblage-920-795	0	0	0	383	0	47	0	67	3
assemblage-947-379	0	0	0	383	0	47	0	64	6
assemblage-297-854	0	0	0	363	0	11	5	121	0
assemblage-486-677	0	0	175	317	0	0	0	0	8
assemblage-199-466	0	47	21	219	0	27	0	184	2
assemblage-774-931	116	0	0	309	0	7	0	59	9
assemblage-106-789	0	0	0	337	0	47	16	99	1
assemblage-393-805	0	54	25	200	0	38	0	182	1
assemblage-806-153	106	0	0	205	6	83	0	85	15
assemblage-856-509	0	0	90	234	152	0	0	0	6
assemblage-877-571	0	0	24	305	0	38	0	131	2
assemblage-515-363	6	0	0	314	0	114	17	49	0
