Assemblage_Name	1-0-3	3-4-2680301	3-1-9059546	2-2-1	2-6108819-3366112	3-1-2	3-1-9565480	2-1696835-1	0-3-3	8457915-0-3	2-6108819-1	3-4-0	7094531-1-2	2-2644086-1	2-2-6845410
assemblage-943-371	0	0	0	227	0	83	83	0	0	0	0	0	61	0	7
assemblage-510-208	0	0	0	149	0	52	34	0	0	0	9	40	186	0	9
assemblage-205-456	86	48	0	26	0	202	0	0	94	0	0	31	0	0	13
assemblage-262-925	53	45	0	218	0	34	0	0	16	0	0	98	27	0	2
assemblage-866-109	0	0	0	208	0	119	75	0	0	0	16	0	74	0	8
assemblage-931-759	24	37	0	130	0	209	0	5	50	0	21	7	0	0	17
assemblage-692-760	0	0	0	267	0	25	0	0	0	0	16	9	141	0	9
assemblage-963-905	0	6	0	209	0	0	0	0	255	0	0	0	0	0	10
assemblage-739-314	0	0	7	74	5	155	143	0	0	0	108	0	0	7	1
assemblage-928-943	0	0	0	307	0	64	64	0	0	0	0	0	60	0	5
assemblage-190-406	0	0	0	235	0	177	0	0	0	0	8	66	0	0	14
assemblage-497-349	0	0	0	208	0	67	180	0	0	0	39	0	5	0	1
assemblage-522-758	0	0	29	91	221	18	17	0	0	0	9	0	9	49	3
assemblage-842-827	0	0	70	87	148	4	89	0	0	0	3	0	0	81	18
assemblage-771-953	0	0	0	187	0	194	0	0	0	0	45	0	63	0	0
assemblage-637-432	0	0	4	108	245	19	32	0	0	0	0	0	0	82	10
assemblage-573-213	0	0	34	144	54	106	37	0	0	0	0	0	12	90	9
assemblage-990-752	0	0	0	225	0	136	0	0	9	30	0	33	42	0	5
assemblage-116-774	0	0	0	174	65	29	116	0	0	0	23	0	26	59	8
assemblage-901-928	0	0	0	159	0	34	51	0	0	0	10	32	161	0	14
assemblage-486-677	66	0	0	0	0	415	0	0	0	0	0	0	0	0	4
assemblage-948-371	0	0	0	180	32	55	144	0	0	0	38	0	0	39	12
assemblage-866-568	21	0	0	75	0	166	0	9	16	56	58	80	0	0	6
assemblage-936-773	16	25	0	115	0	254	0	5	36	0	34	9	0	0	6
assemblage-774-931	0	0	0	200	0	144	0	0	0	0	19	45	79	0	3
assemblage-862-661	68	33	0	218	0	28	0	0	12	0	0	114	21	0	1
assemblage-856-504	0	0	0	0	0	434	0	0	0	0	0	0	20	0	16
assemblage-777-950	0	0	0	136	0	246	0	0	0	8	82	0	24	0	4
assemblage-768-990	0	0	0	210	0	117	74	0	0	0	8	0	80	0	11
assemblage-201-414	0	0	0	202	0	173	0	0	0	7	19	10	77	0	12
