Assemblage_Name	3-7622300-2	2-3-0	3-3-1	3-9393093-2	3-0-2	4-4-3	3-9083746-1	3-3-0	3-2-2	3-9083746-6605594
assemblage-93-772	0	169	113	0	0	0	13	190	0	0
assemblage-874-113	0	114	40	0	0	0	48	288	0	10
assemblage-521-793	0	185	110	0	0	0	0	204	0	1
assemblage-687-960	104	91	85	0	3	9	108	97	0	3
assemblage-249-243	21	231	89	0	0	0	0	132	0	3
assemblage-488-381	0	38	87	0	0	0	85	286	0	4
assemblage-923-779	0	129	227	0	42	54	0	0	41	7
assemblage-255-927	6	49	167	8	83	94	0	56	0	1
assemblage-905-929	34	15	28	0	0	0	102	297	0	5
assemblage-959-848	0	137	177	0	34	140	0	0	0	12
assemblage-492-215	11	131	70	0	0	0	64	176	0	3
assemblage-776-962	0	120	53	0	0	0	42	271	0	2
assemblage-964-125	0	259	6	0	0	0	35	183	0	7
assemblage-870-655	0	72	161	12	52	105	0	66	0	11
assemblage-847-825	0	207	209	0	0	0	0	72	0	3
assemblage-859-499	0	0	378	0	0	0	0	13	101	1
assemblage-572-227	0	156	143	0	0	0	0	181	0	7
assemblage-289-864	0	362	44	0	0	0	0	56	0	1
assemblage-530-360	0	33	77	0	0	0	92	293	0	5
assemblage-269-930	88	98	212	0	50	0	45	0	0	7
assemblage-990-752	37	116	72	0	7	0	65	164	0	3
assemblage-828-162	26	197	123	0	0	0	0	141	0	4
assemblage-906-831	93	13	139	0	0	0	17	235	0	3
assemblage-751-589	0	193	72	0	0	0	16	173	0	1
assemblage-496-654	0	0	302	0	0	0	0	66	0	7
assemblage-503-216	20	103	65	0	0	0	55	197	0	10
assemblage-486-677	0	0	330	0	0	0	0	39	0	7
assemblage-912-785	0	135	224	0	47	43	0	0	40	11
assemblage-661-956	18	115	183	29	62	24	0	66	0	3
assemblage-768-990	0	50	140	0	0	0	34	268	0	8
