Assemblage_Name	6210373-4-1	1-0-2	0-0-441753	0-9735383-0	0-0-0	0-3292237-0	0-963902-0	2692402-4-1	2-1-0	2-1-4	0-0-9155012
assemblage-881-672	0	131	0	55	14	0	157	42	27	57	5
assemblage-632-438	55	0	131	0	186	0	0	0	104	0	11
assemblage-274-943	0	182	0	0	46	0	0	95	147	28	2
assemblage-935-118	0	0	0	0	333	0	105	0	59	0	3
assemblage-612-439	27	0	80	0	227	0	52	0	109	0	3
assemblage-986-762	0	39	0	0	264	0	0	0	179	12	6
assemblage-983-911	0	149	0	0	0	0	0	349	0	0	2
assemblage-760-951	0	169	0	0	228	6	68	0	18	0	11
assemblage-206-394	0	211	0	0	122	0	0	0	91	73	3
assemblage-564-226	12	0	93	0	291	0	22	0	80	0	2
assemblage-984-775	0	104	0	26	47	9	262	8	22	18	4
assemblage-939-810	0	5	0	0	368	0	38	0	69	0	3
assemblage-711-782	0	70	0	0	329	0	44	0	51	0	6
assemblage-974-919	0	112	0	0	0	0	0	376	0	0	12
assemblage-567-217	57	0	11	0	375	0	0	0	52	0	5
assemblage-200-472	0	63	0	0	82	0	18	55	131	133	10
assemblage-859-100	0	9	0	0	367	0	94	0	30	0	0
assemblage-953-850	0	95	0	0	104	0	0	32	32	221	0
assemblage-918-961	2	16	0	0	119	0	188	0	168	0	7
assemblage-698-797	0	44	0	5	371	0	41	0	33	0	6
assemblage-945-378	19	0	6	0	294	0	72	0	90	0	19
assemblage-824-163	0	155	0	0	272	0	38	0	24	0	11
assemblage-503-216	0	51	0	21	271	0	129	0	26	0	2
assemblage-855-815	21	0	6	0	341	0	48	0	82	0	2
assemblage-887-564	0	129	0	0	168	0	4	12	128	54	5
assemblage-245-235	0	25	0	14	90	11	161	0	194	0	5
assemblage-419-440	0	0	0	0	399	0	0	0	0	0	6
assemblage-393-805	0	0	0	0	66	0	0	0	385	21	19
assemblage-766-990	48	32	0	0	308	0	102	0	9	0	1
assemblage-515-363	88	0	0	0	366	0	10	0	20	0	3
