Assemblage_Name	5394077-3-6756163	3-9510287-3	1-831460-2	3189988-0-4	3-2-3	172317-0-6816431	5394077-3-4	5788656-2398688-3	3189988-7999403-4	1618278-2-2	383672-3-4	3189988-6805370-6269347	3189988-6805370-4740072	3-2398688-3	5394077-3-6859636	3189988-7999403-6930975	8395533-7999403-6930975	3272740-3-4
assemblage-943-371	24	0	0	135	0	0	198	0	0	0	6	16	0	0	0	65	12	4
assemblage-687-960	0	11	4	213	0	0	134	0	0	0	0	27	0	51	0	0	0	17
assemblage-939-116	7	0	0	126	0	0	118	0	0	0	49	143	0	0	21	0	7	18
assemblage-935-118	74	0	0	201	0	0	54	0	0	0	2	118	0	0	0	0	24	10
assemblage-896-831	0	40	0	168	0	0	129	0	52	0	0	31	0	38	0	34	0	8
assemblage-964-845	0	0	36	93	59	12	21	0	0	56	0	0	0	84	0	0	0	18
assemblage-760-951	0	31	0	161	0	0	131	0	65	0	0	34	0	30	0	34	0	14
assemblage-894-922	17	12	0	243	0	0	69	0	31	0	0	15	65	8	0	18	0	9
assemblage-507-779	0	0	0	176	0	0	33	0	0	0	56	208	0	0	0	0	0	14
assemblage-190-406	0	180	0	204	0	0	0	0	7	0	0	0	0	102	0	0	0	7
assemblage-944-801	0	0	0	108	0	0	32	0	0	0	65	214	0	23	0	8	35	15
assemblage-902-934	0	0	0	136	0	0	226	0	46	0	0	16	29	10	0	0	0	11
assemblage-842-827	44	0	0	232	0	0	86	0	0	0	8	72	0	0	0	0	35	13
assemblage-859-100	0	0	0	130	0	0	135	23	0	0	0	51	0	86	0	5	44	26
assemblage-541-768	36	0	0	245	0	0	60	0	0	0	6	97	0	0	0	0	31	20
assemblage-987-763	0	58	0	229	0	0	38	0	22	0	0	4	0	87	0	24	0	27
assemblage-858-122	0	0	0	113	0	0	163	32	0	0	0	59	0	84	0	0	27	18
assemblage-436-415	0	0	0	28	0	0	5	0	0	0	0	0	0	0	0	0	0	8
assemblage-863-503	0	0	10	0	179	0	0	0	0	171	0	0	0	0	0	0	0	14
assemblage-503-216	0	8	0	122	0	0	181	0	45	0	0	23	0	0	0	68	23	16
assemblage-595-776	0	0	0	194	0	0	138	0	0	0	26	0	5	11	0	37	32	19
assemblage-926-782	0	0	35	113	79	9	11	0	0	57	0	0	0	79	0	0	0	13
assemblage-262-234	0	33	0	150	0	0	156	0	76	0	0	25	0	24	0	31	0	5
assemblage-866-568	0	0	0	302	12	0	87	0	0	25	0	0	0	15	0	0	0	27
assemblage-283-928	0	0	0	328	8	0	78	0	0	34	0	0	0	14	0	0	0	18
assemblage-746-290	6	0	0	146	0	0	136	11	0	0	23	147	0	0	9	0	0	20
assemblage-862-661	0	0	6	114	62	0	0	0	129	0	0	0	0	147	0	0	0	11
assemblage-756-597	0	0	0	125	0	0	161	28	0	0	0	34	0	0	37	0	71	24
assemblage-953-864	0	0	10	251	11	10	33	0	7	70	0	0	0	28	0	0	0	26
assemblage-856-504	0	0	0	0	182	0	0	0	0	143	0	0	0	0	0	0	0	22
