Assemblage_Name	6493549-4762952-4	4-1803478-2	1-1780967-1	0-4762952-4	0-0-5201590	9744523-2-3	0-0-3	3513090-0-3	0-2-4	4-0-2	3513090-5078076-3	1-3-1	3511052-2-3	1-4895638-1	0-1039739-4	0-4312402-4	5053699-4762952-4	5096192-0-2
assemblage-93-772	0	0	22	136	0	0	0	136	0	11	9	161	0	0	0	0	0	7
assemblage-510-208	0	71	0	113	2	0	17	129	0	13	0	130	0	0	0	0	0	12
assemblage-104-483	0	0	0	154	18	0	79	31	27	12	0	119	47	6	0	0	0	7
assemblage-844-496	0	0	0	0	38	16	434	0	0	7	0	0	0	0	0	0	0	5
assemblage-249-243	0	127	0	41	39	0	99	13	0	8	0	146	0	0	0	0	0	19
assemblage-931-759	0	0	0	9	106	0	104	0	66	0	0	109	0	38	0	41	0	20
assemblage-601-779	0	10	0	179	0	0	0	91	0	20	0	121	0	0	0	0	0	9
assemblage-894-922	24	123	0	125	5	0	66	19	0	56	0	69	0	0	0	0	0	13
assemblage-602-776	0	0	0	241	0	0	0	102	0	1	0	85	0	0	0	0	12	16
assemblage-745-591	0	0	33	102	0	0	0	141	0	9	28	137	0	0	0	0	9	14
assemblage-905-929	0	0	0	67	0	0	11	262	8	58	0	54	0	0	0	0	0	14
assemblage-522-758	0	0	6	154	0	0	0	50	0	0	72	158	0	0	0	0	0	22
assemblage-752-302	0	0	41	114	0	0	0	129	0	6	0	152	0	0	24	0	0	25
assemblage-771-953	11	0	0	105	14	0	46	0	8	38	0	257	7	0	0	0	0	14
assemblage-953-850	0	0	0	9	88	7	112	0	58	0	0	103	0	55	0	37	0	16
assemblage-918-961	0	0	0	215	0	0	0	125	0	16	0	98	0	0	0	0	12	11
assemblage-408-809	0	0	0	87	14	19	116	0	33	33	0	165	0	0	0	10	0	6
assemblage-176-91	40	47	0	23	0	0	189	0	26	0	0	119	41	0	0	0	0	15
assemblage-297-850	0	0	15	8	0	0	0	287	0	0	46	120	0	0	16	0	0	8
assemblage-781-955	85	8	0	103	0	0	132	0	15	2	0	117	0	0	0	0	0	13
assemblage-116-774	0	0	14	126	0	0	0	162	0	24	6	143	0	0	0	0	0	10
assemblage-751-589	0	0	0	130	0	0	0	99	0	27	0	207	0	0	0	0	0	14
assemblage-436-415	0	0	0	221	0	0	0	0	13	0	0	110	0	0	0	43	0	7
assemblage-855-815	0	0	87	161	0	0	0	7	0	0	0	71	0	0	99	0	0	11
assemblage-948-371	0	0	42	78	0	0	0	17	0	123	0	209	0	0	0	0	0	2
assemblage-1000-776	29	0	0	86	17	6	113	0	38	47	0	136	9	0	0	0	0	6
assemblage-266-940	0	0	0	152	35	5	74	19	45	3	0	111	39	11	0	0	0	2
assemblage-877-571	0	63	0	0	0	24	195	0	0	150	0	5	2	0	0	0	0	21
assemblage-856-504	0	0	0	0	33	14	447	0	0	0	0	0	0	0	0	0	0	6
assemblage-201-414	0	28	0	41	0	9	193	8	18	47	0	139	0	0	0	0	0	4
