Assemblage_Name	1923998-9850415-3	2497128-1-2238829	808424-3-1424452	5963358-1-1	2497128-1-1643668	1-1-1	1-2-6857648	460093-1-1	3-3-3	1-1-2238829	1-332591-1556678	0-3-3	1-2-0	1-332591-1	0-3-2931039	0-9850415-3	1-8932505-1	0-3-4743798	2497128-1-4602496	1-2461224-1	7009540-1-1	1-0-2	4-0-3	8304351-1-1	1-1-7817230
assemblage-830-129	0	126	0	0	0	68	4	0	0	0	37	37	86	51	0	0	0	0	11	0	27	0	0	0	8
assemblage-863-648	0	8	0	0	0	114	0	0	0	76	0	69	65	45	0	0	0	4	0	0	0	6	0	56	5
assemblage-961-129	0	13	0	0	16	265	0	0	0	0	0	122	13	0	0	2	0	0	0	0	0	0	0	0	27
assemblage-603-766	0	78	0	129	0	68	0	0	0	0	0	12	40	0	0	0	90	0	0	33	0	0	0	0	28
assemblage-440-414	0	0	0	0	0	220	0	30	0	0	0	0	0	69	0	0	0	0	0	0	0	74	0	0	12
assemblage-969-107	10	184	0	0	38	92	0	0	0	0	0	69	25	0	0	27	24	0	0	0	0	0	0	0	14
assemblage-901-846	0	12	13	0	0	97	17	0	0	54	92	18	17	150	0	0	0	0	0	0	0	0	0	0	25
assemblage-507-779	64	136	0	0	0	161	0	0	0	0	0	52	50	0	0	0	11	0	0	0	0	0	0	0	26
assemblage-502-373	0	138	0	7	21	135	0	0	0	0	0	108	10	0	0	0	53	0	0	0	0	0	0	0	23
assemblage-190-406	0	133	0	0	0	8	10	0	0	0	50	21	16	174	0	0	0	16	0	0	34	0	0	0	24
assemblage-944-801	0	68	0	0	0	212	0	0	0	0	0	57	49	0	0	22	0	0	0	64	0	0	0	0	20
assemblage-876-927	0	120	0	0	0	17	0	0	0	5	10	23	95	68	0	0	93	0	0	2	0	0	0	0	34
assemblage-959-848	0	0	0	0	0	50	73	16	76	0	0	92	11	43	14	0	0	0	0	0	12	0	44	0	10
assemblage-122-489	0	0	0	0	0	29	44	0	0	9	12	39	0	248	0	0	0	0	0	0	3	0	21	29	14
assemblage-859-100	0	49	0	0	0	159	0	0	0	0	0	106	57	0	0	8	46	0	40	0	0	0	0	0	35
assemblage-754-596	0	69	0	0	0	226	0	0	0	0	0	46	28	0	0	33	4	0	0	65	0	0	0	0	19
assemblage-180-470	0	0	0	0	0	224	16	0	37	46	0	45	33	40	5	0	0	0	0	0	0	4	0	0	16
assemblage-848-504	0	0	0	0	0	0	0	0	138	0	0	170	0	0	85	0	0	0	0	0	0	0	0	0	23
assemblage-897-916	0	46	0	0	0	105	0	0	0	3	12	75	54	48	0	0	76	0	14	47	0	0	0	0	20
assemblage-859-809	0	145	0	0	0	145	0	0	0	0	0	9	0	0	0	76	19	0	0	0	0	0	0	0	25
assemblage-444-418	0	0	0	0	0	249	0	43	0	0	0	0	0	64	0	0	0	0	0	0	0	70	0	0	14
assemblage-171-84	0	85	25	0	0	41	7	0	0	0	0	72	78	51	0	0	0	10	0	0	30	0	0	0	23
assemblage-924-941	0	83	0	98	0	77	0	0	0	0	0	8	73	0	0	0	106	0	0	23	0	0	0	0	26
assemblage-855-815	49	130	0	0	0	161	0	0	0	0	0	56	48	0	0	0	30	0	0	0	0	0	0	0	8
assemblage-116-151	0	130	0	0	0	16	0	0	0	0	8	19	87	69	0	0	87	0	0	10	0	0	0	0	22
assemblage-983-757	0	0	8	0	0	48	44	0	0	45	35	0	93	135	0	0	0	0	0	0	0	0	0	19	16
assemblage-774-931	0	75	0	0	0	37	0	0	0	29	0	92	75	70	0	0	0	0	0	70	5	0	0	0	22
assemblage-103-772	61	52	0	0	7	176	0	0	0	0	0	87	64	0	0	9	27	0	0	0	0	0	0	0	17
assemblage-393-805	0	0	0	0	0	87	128	0	0	0	0	134	78	9	0	0	0	0	0	0	0	3	33	0	19
assemblage-248-931	0	0	0	0	0	0	62	0	0	0	0	138	0	170	0	0	0	0	0	0	87	0	0	15	28
