Assemblage_Name	0-2-4360080	1-1-2	1-0-2	0-8551659-4360080	1-1-9541115	0-0-1	9681466-1-9541115	0-4-6840226	9336031-0-1	4-7310046-4	0-2-3823289
assemblage-943-371	186	0	0	9	0	131	0	20	20	129	5
assemblage-969-107	98	0	0	57	0	97	0	80	0	162	6
assemblage-521-793	166	0	0	192	0	61	0	15	0	58	3
assemblage-687-960	25	156	28	0	51	79	5	85	0	66	5
assemblage-963-933	0	0	0	0	0	299	0	118	0	0	3
assemblage-935-118	197	0	0	0	0	26	0	85	0	189	3
assemblage-866-109	132	0	0	0	0	160	0	42	0	157	9
assemblage-538-778	123	0	0	51	0	266	0	18	0	37	5
assemblage-255-237	120	66	4	0	65	92	35	61	0	56	1
assemblage-206-394	7	23	0	0	170	143	0	99	0	50	3
assemblage-963-905	0	0	0	0	0	296	0	119	0	0	4
assemblage-905-827	48	49	37	0	108	52	0	0	0	200	6
assemblage-532-763	42	0	0	88	0	177	0	16	0	151	5
assemblage-204-396	17	31	0	0	160	141	0	106	0	37	5
assemblage-876-927	200	14	0	0	18	125	9	0	0	67	16
assemblage-877-569	136	104	81	0	0	150	0	0	0	26	3
assemblage-857-558	90	32	34	0	0	201	0	56	0	74	13
assemblage-753-307	242	0	0	0	0	86	0	96	0	51	4
assemblage-927-390	233	0	0	0	0	114	0	31	31	78	4
assemblage-767-570	174	0	0	0	0	87	0	15	5	205	2
assemblage-243-239	44	63	49	0	118	32	0	0	0	190	4
assemblage-504-227	159	0	0	0	0	260	11	15	0	39	16
assemblage-864-95	109	0	0	0	0	205	0	76	42	67	1
assemblage-195-455	167	18	37	0	0	239	0	22	0	0	14
assemblage-926-782	24	95	128	0	0	113	0	78	0	0	17
assemblage-866-568	87	19	0	0	0	133	0	117	0	140	4
assemblage-116-151	162	17	0	0	10	140	10	0	0	81	12
assemblage-922-961	129	31	0	0	0	132	0	18	66	112	6
assemblage-953-864	42	22	17	0	0	301	0	44	0	65	9
assemblage-856-504	0	285	133	0	0	0	0	0	0	28	7
