Assemblage_Name	0-8415992-2060195	4885425-8119092-1433874	8007406-1-4	642869-0-0	0-5766442-2060195	2-1-3	2-1989281-7814458	642869-4150028-0	0-8415992-7930389	8007406-8430335-4	0-3083502-2060195	1513079-8508547-0	642869-4150028-1953464	5167017-8415992-2060195	642869-4150028-7285187	4885425-0-794016	7883922-1989281-7814458	2419490-8415992-2060195	1-0-1292827	0-2-2060195	1288865-8415992-2060195	0-4846002-2060195	4-0-794016	8891729-8652226-1037127	1-8652226-1292827	4885425-0-1433874	0-8415992-5624016	2985302-4150028-0
assemblage-181-462	11	0	97	122	0	53	0	0	0	0	0	8	0	0	0	0	0	0	0	55	0	0	67	0	46	0	0	20
assemblage-239-219	25	0	0	0	0	21	49	11	0	0	0	0	0	54	0	62	107	0	0	60	0	0	0	0	0	72	0	12
assemblage-961-129	290	0	0	0	0	0	0	10	6	0	0	0	23	0	0	80	0	0	0	0	0	14	0	0	0	0	23	14
assemblage-570-232	91	0	0	0	0	0	0	84	43	0	0	0	16	0	0	173	0	0	0	0	0	19	0	0	0	0	17	25
assemblage-177-111	77	0	12	0	0	63	94	14	0	0	0	0	0	15	0	71	26	0	38	37	0	0	0	7	0	22	0	24
assemblage-687-960	77	0	8	0	0	64	106	11	0	0	0	0	0	27	0	65	21	0	39	31	0	0	0	6	0	25	0	20
assemblage-488-381	213	13	0	0	0	0	0	75	35	0	0	0	0	0	0	129	0	0	0	0	0	6	0	0	0	0	0	20
assemblage-612-439	105	0	0	0	22	0	0	7	0	0	0	0	207	0	0	117	0	0	0	0	0	5	0	0	0	0	6	25
assemblage-946-393	184	17	7	0	0	0	0	23	0	0	40	0	0	0	0	163	0	21	0	0	0	0	0	0	0	0	0	25
assemblage-615-421	170	0	0	0	10	0	0	9	0	0	0	0	14	0	0	57	0	0	0	0	0	109	0	0	0	0	53	21
assemblage-905-929	31	0	46	0	0	94	0	62	0	0	0	0	0	15	0	8	65	0	0	19	0	0	0	0	0	118	0	19
assemblage-492-215	97	0	0	0	0	30	58	67	0	0	0	0	0	0	7	110	0	0	0	10	0	27	0	0	0	34	0	9
assemblage-877-568	47	0	0	0	0	56	6	38	0	0	0	6	0	68	0	13	0	0	82	88	0	0	8	14	21	0	0	19
assemblage-617-440	111	0	0	0	31	0	0	18	11	0	0	0	64	0	0	118	0	0	0	0	0	51	0	0	0	0	26	30
assemblage-816-142	110	0	23	0	0	37	72	142	0	0	0	0	0	29	0	0	0	0	0	0	0	0	32	0	0	10	0	23
assemblage-419-432	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	227	0	0	0	0	23
assemblage-174-110	27	0	71	23	0	25	240	0	0	0	0	0	0	9	0	5	0	0	25	15	0	0	42	0	0	0	0	18
assemblage-130-147	164	0	7	0	0	25	14	63	0	8	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	30
assemblage-906-831	80	0	38	0	0	42	84	146	0	0	0	0	0	22	0	0	0	0	0	0	0	0	44	0	0	4	0	27
assemblage-444-418	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	234	0	0	0	0	15
assemblage-920-795	259	19	8	0	0	0	0	51	36	0	0	0	0	0	0	25	0	0	0	0	0	1	0	0	0	12	0	17
assemblage-397-779	9	0	0	43	0	107	0	0	0	0	0	84	0	0	0	5	0	0	22	45	0	0	76	0	72	0	0	37
assemblage-929-942	154	0	0	0	0	0	0	91	0	0	29	0	0	0	13	114	0	20	0	0	31	0	0	0	0	0	0	36
assemblage-283-928	5	0	0	40	0	69	179	13	0	0	0	20	0	0	0	74	0	0	0	64	0	0	23	0	0	0	0	13
assemblage-922-961	182	0	0	0	0	0	0	86	0	6	43	0	0	0	15	97	0	21	0	0	16	0	0	0	0	0	0	30
assemblage-843-512	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	73	0	0	23
assemblage-746-290	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	93	0	0	0	0	27	25
assemblage-923-961	174	13	27	0	0	31	0	70	0	5	6	0	0	0	0	77	0	3	0	0	8	4	0	0	0	20	0	62
assemblage-390-801	9	0	0	43	0	97	0	0	0	0	0	88	0	0	0	8	0	0	35	43	0	0	59	0	84	0	0	23
assemblage-99-491	9	0	0	30	0	55	204	0	0	0	0	21	0	0	0	58	0	0	0	62	0	0	42	0	0	0	0	14
