Assemblage_Name	7752699-179065-3	0-991854-2	1577869-2041483-9779269	6419155-179065-3	1577869-5410359-9779269	1-1-3	1-2403126-1	4-0-7994707	0-991854-400074	1-9727123-3	2-7454125-4	2-0-4	4-0-9498412	6419155-1-3	4-0-3383938	1-4-1	4-0-1024607	8122232-179065-3	1-5372140-1	3-0-0	4-4-0	4586739-4-0	6978969-179065-3	4-9997875-7994707
assemblage-863-648	0	53	0	215	0	0	14	108	0	3	15	21	0	0	0	0	18	0	24	0	0	0	0	25
assemblage-871-116	3	0	43	142	0	0	0	139	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	10
assemblage-205-456	0	86	0	0	0	27	16	171	16	28	8	0	0	0	0	23	41	0	51	0	0	0	0	33
assemblage-89-798	0	0	91	180	0	0	0	24	0	0	0	0	0	0	0	0	0	7	150	0	0	0	0	30
assemblage-521-793	0	0	35	148	0	0	0	0	0	0	0	0	0	0	0	0	0	23	262	0	0	0	0	19
assemblage-505-367	0	0	145	159	0	0	0	72	0	0	0	0	0	0	8	0	0	0	60	0	0	0	11	13
assemblage-935-118	0	0	101	76	12	0	0	110	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	16
assemblage-134-140	43	0	89	137	0	0	53	70	0	0	0	0	7	0	0	0	0	0	70	0	0	0	0	12
assemblage-760-951	65	0	11	64	0	0	98	101	0	0	0	0	43	0	0	0	0	0	103	0	0	0	0	15
assemblage-156-102	0	45	9	82	0	0	88	88	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	19
assemblage-564-226	0	0	97	83	17	0	0	70	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	12
assemblage-497-349	0	0	88	161	48	0	0	70	0	0	0	0	0	0	6	0	0	0	26	0	0	0	67	22
assemblage-492-215	41	0	84	126	0	0	47	80	0	0	0	0	9	0	0	0	0	0	74	0	0	0	0	10
assemblage-172-461	0	74	0	9	0	15	15	172	13	50	8	0	0	0	0	16	40	0	48	6	0	0	0	22
assemblage-776-962	0	0	59	132	0	0	9	72	0	0	0	0	0	0	26	0	0	0	164	0	0	0	0	12
assemblage-870-655	0	37	0	76	0	0	121	123	0	0	0	22	0	13	0	0	0	0	0	0	53	43	0	12
assemblage-937-796	0	0	89	189	0	0	0	17	0	0	0	0	0	0	14	0	0	0	175	0	0	0	0	12
assemblage-859-499	0	0	0	0	0	0	19	0	0	0	0	274	0	0	0	12	0	0	0	13	113	34	0	9
assemblage-207-398	0	5	121	89	0	0	53	96	0	0	0	0	0	0	0	0	0	0	22	0	43	3	0	2
assemblage-297-850	0	0	53	152	0	0	0	0	0	0	0	0	0	0	0	0	0	21	235	0	0	0	0	16
assemblage-824-163	63	0	6	67	0	0	95	99	0	0	0	0	43	0	0	0	0	0	110	0	0	0	0	17
assemblage-965-927	0	0	0	0	0	248	0	0	0	76	0	0	0	20	0	0	0	0	85	0	0	0	0	10
assemblage-855-815	0	0	54	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	14
assemblage-661-956	0	7	126	83	0	0	65	74	0	0	0	0	0	0	0	0	0	0	24	0	39	6	0	10
assemblage-877-553	0	16	0	81	0	0	103	118	0	0	0	35	0	22	0	0	0	0	0	0	72	45	0	8
assemblage-199-466	0	98	0	0	0	21	10	157	16	36	1	0	0	7	0	13	37	0	76	0	0	0	0	28
assemblage-627-775	0	0	90	115	0	0	0	106	0	0	0	0	0	0	0	0	0	0	144	0	0	0	20	9
assemblage-245-235	7	0	149	9	0	0	28	127	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	12
assemblage-856-504	0	0	0	0	0	0	6	0	0	0	0	299	0	0	0	8	0	0	0	5	98	32	0	7
assemblage-699-763	0	0	161	143	0	0	23	94	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	11
