Assemblage_Name	2890116-307611-2	1-307611-249597	5406263-1-4	3-1-4	7041854-1-4	3445453-0-4	4840577-1-3338836	1-307611-2	1-6034273-2	7515185-1-3	5517934-307611-2	1-307611-1022070	76425-1-4	1-2380393-2	1-7889069-2	1-307611-3896269	2952528-307611-3896269	1-6643582-2	825902-9138815-4	825902-2-4	3-0-2625755	3-9332986-4	3904263-1-4	3-0-4	1066180-307611-2
assemblage-874-113	0	21	0	284	0	0	0	116	11	0	0	0	0	0	0	0	0	0	0	0	33	0	16	0	19
assemblage-969-107	0	11	0	250	64	0	0	17	0	0	0	0	13	0	0	0	0	0	0	0	0	0	82	0	18
assemblage-896-831	0	72	0	137	0	0	0	50	0	0	46	0	0	7	0	117	0	0	15	0	0	0	0	0	23
assemblage-491-652	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-902-948	77	119	0	194	0	0	0	34	0	0	30	0	0	0	0	0	0	0	0	0	16	0	0	0	21
assemblage-601-779	71	38	0	257	20	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-156-102	0	19	0	104	0	8	10	164	0	0	0	0	0	0	12	97	54	7	13	0	0	0	0	0	7
assemblage-843-802	0	0	86	308	4	0	0	7	0	0	0	0	9	0	0	0	0	0	0	0	0	0	52	0	19
assemblage-787-946	0	28	0	70	0	35	0	220	19	0	22	43	0	0	0	31	0	0	6	0	0	0	0	0	7
assemblage-628-437	0	0	90	216	0	0	0	22	0	0	0	0	5	0	0	0	0	0	0	0	0	77	61	0	10
assemblage-255-927	0	32	0	150	0	0	0	85	0	0	0	0	0	0	0	38	0	0	8	83	0	0	0	37	13
assemblage-507-779	0	0	87	212	0	0	0	31	0	0	0	0	8	0	0	0	0	0	0	0	0	61	68	0	15
assemblage-944-801	0	138	0	238	87	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	18
assemblage-122-489	0	41	0	99	0	9	0	262	0	3	0	0	0	0	0	60	0	0	0	0	0	0	0	0	17
assemblage-492-215	41	70	0	181	0	0	0	38	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
assemblage-953-850	0	0	0	30	0	0	0	91	0	102	0	0	0	0	0	58	0	0	0	89	0	0	0	71	15
assemblage-956-115	0	8	8	246	61	0	0	16	0	0	0	0	14	0	0	0	0	0	0	0	0	0	95	0	11
assemblage-698-797	0	25	0	99	0	0	0	198	115	0	0	9	0	4	0	0	0	0	0	0	0	0	0	0	29
assemblage-130-147	0	24	0	90	0	0	0	206	105	0	0	16	0	9	0	0	0	0	0	0	0	0	0	0	22
assemblage-781-955	8	34	0	136	0	2	0	163	0	0	83	0	0	0	0	33	0	0	12	0	0	0	0	9	20
assemblage-444-418	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	42	9
assemblage-975-756	0	25	0	84	0	12	5	208	0	0	0	0	0	0	6	92	46	6	3	0	0	0	0	0	13
assemblage-947-379	21	0	0	213	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	4	0	24	0	16
assemblage-397-779	0	37	0	132	0	0	0	86	0	0	0	0	0	0	0	41	0	0	47	57	0	0	0	26	21
assemblage-868-649	0	48	0	31	0	103	0	121	0	10	0	0	0	0	0	117	0	0	0	19	0	0	0	8	20
assemblage-956-899	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	12
assemblage-106-789	0	13	26	238	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	13	16	0	10
assemblage-765-587	3	78	53	205	6	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	16
assemblage-390-801	0	23	0	177	0	0	0	90	0	0	0	0	0	0	0	34	0	0	33	56	0	0	0	37	7
assemblage-203-418	0	22	0	73	0	14	5	212	0	0	0	0	0	0	7	90	36	14	9	0	0	0	0	0	9
