Assemblage_Name	0-2-55802	0-6970143-8766201	0-3400593-2919511	0-2449061-0	1-4-5110253	0-5789448-0	7226126-4-5110253	3-3769701-4235161	1-4-8553830	31521-0-2919511	1-4-7764614	0-0-2919511	0-0-1	0-0-6831034	3-1-0	9623708-4-4	8489349-4-2370404	1-4-4	3-4-4	0-2-0	6041868-0-2919511	0-5923545-2919511
assemblage-829-151	0	0	0	0	117	29	0	0	6	33	0	163	7	0	0	0	0	83	37	0	0	5
assemblage-698-780	0	0	0	0	0	35	0	41	0	0	0	166	0	0	0	0	0	216	7	0	0	14
assemblage-871-116	0	0	0	0	62	46	37	0	0	39	0	126	0	0	0	49	24	103	0	0	0	14
assemblage-867-659	0	47	0	0	14	60	0	0	0	0	0	152	0	0	0	0	0	76	118	0	0	18
assemblage-969-101	0	0	0	0	19	35	0	0	0	23	0	345	0	0	0	0	2	37	0	0	2	9
assemblage-968-844	43	0	0	0	0	73	0	0	0	0	0	65	0	0	61	0	0	22	165	39	0	12
assemblage-844-496	19	0	0	23	0	225	0	0	0	0	0	0	0	0	0	0	0	33	0	161	0	6
assemblage-495-669	0	0	0	49	68	0	0	0	0	0	11	0	0	0	0	0	0	284	0	33	0	9
assemblage-505-367	0	0	0	0	126	0	0	0	0	0	0	241	0	0	0	0	85	28	0	0	0	15
assemblage-935-118	0	0	0	0	13	49	0	0	0	11	0	331	0	0	0	0	6	51	0	0	12	6
assemblage-896-831	0	0	0	0	127	41	0	0	11	36	0	156	7	0	0	0	0	59	39	0	0	13
assemblage-254-259	0	6	0	0	6	118	0	0	0	14	0	189	0	0	0	0	0	68	56	0	0	17
assemblage-894-922	0	0	0	0	76	18	0	22	0	0	0	123	0	0	0	0	0	246	4	0	0	11
assemblage-672-954	0	15	0	0	11	98	0	0	0	0	0	149	0	0	0	0	0	130	88	0	0	9
assemblage-923-779	21	0	0	0	0	91	0	0	0	0	0	65	0	0	61	0	0	11	160	48	0	7
assemblage-271-845	0	0	38	0	47	8	0	0	0	37	0	340	0	0	0	0	0	9	0	0	0	21
assemblage-752-974	0	0	0	0	56	42	37	0	0	34	0	118	0	0	0	59	14	127	0	0	0	13
assemblage-628-437	0	0	0	0	34	0	0	0	0	253	0	115	0	0	0	0	0	5	0	0	0	14
assemblage-255-927	62	0	0	0	0	69	0	0	0	0	40	125	0	40	0	0	0	60	77	0	0	27
assemblage-94-494	65	0	0	0	0	98	0	0	0	0	35	97	0	25	0	0	0	68	86	0	0	19
assemblage-959-848	15	0	0	8	0	33	0	0	0	0	0	0	0	0	66	0	0	58	271	5	0	22
assemblage-763-598	0	0	14	0	0	25	0	0	0	29	0	234	0	0	0	9	44	136	0	0	0	3
assemblage-573-213	0	0	0	0	28	0	0	0	0	59	0	327	0	0	0	0	8	7	0	0	0	10
assemblage-527-780	0	0	43	0	62	16	0	0	0	38	0	306	0	0	0	0	0	8	0	0	0	17
assemblage-181-106	0	9	0	0	94	15	0	0	10	0	0	78	144	0	0	0	0	129	16	0	0	5
assemblage-703-781	0	0	0	0	71	0	33	0	0	0	0	191	0	0	0	19	0	124	45	0	0	10
assemblage-444-418	0	0	0	0	0	0	0	0	0	0	0	120	245	0	0	0	0	0	119	0	0	16
assemblage-492-366	0	0	0	0	34	69	0	0	0	6	0	203	0	0	0	7	14	88	0	0	11	8
assemblage-866-95	0	0	0	0	29	74	0	16	0	0	0	229	0	0	0	0	0	65	0	0	0	11
assemblage-186-430	17	13	0	0	55	43	0	0	0	0	0	10	0	11	22	0	0	230	95	0	0	4
