Assemblage_Name	3615943-1-1	7574058-4-1	5279061-0-3	4-3610470-3	2-4-6453549	3-2207312-3	9413297-0-1	1-1-1	7574058-4-1755497	3-3-0	6776560-0-2	3-2757718-3	4-3-3	0-3884461-4	436631-2-1	7574058-4-490462	513475-0-2	783611-2-4	7574058-2300963-1170370	0-2-3	0-2-0	0-2-4	821929-4-1	7574058-2300963-1	4-3-4983700	1-0-3	1914395-4-1	1-631000-1	2-4-1	3788200-1-1
assemblage-275-306	48	89	4	0	0	120	0	14	0	0	11	0	24	0	0	0	17	0	0	0	0	0	41	58	0	30	0	20	0	17
assemblage-318-446	128	65	0	0	0	161	0	0	11	0	0	0	14	0	0	21	0	0	22	0	0	0	0	40	16	0	0	0	0	22
assemblage-457-537	17	25	0	31	16	101	0	44	0	0	16	0	24	0	0	0	68	0	0	0	0	0	49	0	0	35	22	10	0	29
assemblage-462-687	11	0	0	59	0	16	21	19	0	13	0	0	27	16	0	0	93	9	0	19	0	76	65	0	0	7	0	0	21	28
assemblage-546-364	28	28	0	61	12	95	0	33	0	0	15	0	36	0	0	0	42	0	0	0	0	0	40	0	0	31	11	14	0	18
assemblage-576-492	20	33	0	33	15	102	0	40	0	0	9	0	36	0	0	0	83	0	0	0	0	0	34	0	0	23	20	0	0	30
assemblage-387-655	88	48	0	0	0	143	0	12	5	0	10	0	15	0	0	15	18	0	0	0	0	0	0	99	0	25	0	0	0	22
assemblage-330-618	102	65	0	0	0	193	0	0	13	0	0	0	11	0	0	29	0	0	23	0	0	0	0	37	7	0	0	0	0	20
assemblage-611-453	11	0	0	54	29	20	11	15	0	0	0	0	23	0	0	0	103	0	0	14	0	34	107	0	0	19	0	0	23	30
assemblage-451-444	108	39	0	0	0	160	0	0	7	0	0	10	38	0	0	33	9	0	10	0	0	0	0	63	0	0	0	0	0	17
assemblage-422-456	35	17	0	57	22	72	0	29	0	0	10	0	23	0	0	0	64	0	0	0	0	7	81	0	0	29	28	0	0	16
assemblage-404-560	77	56	0	0	0	129	0	7	0	0	10	0	29	0	0	16	7	0	0	0	0	0	0	130	0	15	0	0	0	24
assemblage-437-342	68	56	0	0	0	126	0	19	0	0	37	0	17	0	0	0	40	0	0	0	0	0	35	55	0	20	0	8	0	19
assemblage-337-459	45	32	0	45	24	77	0	33	0	0	6	0	12	0	0	0	78	0	0	0	0	11	91	0	0	20	10	0	0	15
assemblage-530-477	12	0	0	63	0	28	20	13	0	8	0	0	25	0	0	0	106	12	0	21	0	54	83	0	0	5	0	0	19	31
assemblage-575-668	6	0	0	47	0	24	16	12	0	16	0	0	56	6	0	0	90	32	0	21	0	50	50	0	0	17	0	0	22	35
assemblage-634-495	114	39	0	0	0	128	0	0	0	0	0	11	41	0	0	37	11	0	14	0	0	0	0	73	0	15	0	0	0	17
assemblage-648-407	14	0	0	36	14	41	9	10	0	0	4	0	19	0	0	0	97	0	0	21	0	35	133	0	0	19	0	0	4	36
assemblage-543-450	31	23	0	60	24	102	0	34	0	0	9	0	11	0	0	0	65	0	0	0	0	15	56	0	0	36	21	0	0	13
assemblage-524-415	31	58	11	15	0	88	0	17	0	0	40	0	50	0	0	0	62	0	0	0	0	0	36	12	0	38	0	21	0	21
assemblage-489-537	20	62	0	20	0	85	0	34	0	0	35	0	56	0	0	0	67	0	0	0	0	0	14	8	0	20	0	24	0	30
assemblage-368-461	8	0	0	48	25	35	14	17	0	0	0	0	12	6	0	0	118	2	0	9	0	35	96	0	0	19	0	0	23	33
assemblage-405-561	0	0	0	0	0	22	27	17	0	41	0	0	64	17	6	0	36	0	0	50	8	39	46	0	0	23	0	0	53	26
assemblage-581-468	23	49	0	23	0	101	0	29	0	0	43	0	59	0	0	0	42	0	0	0	0	0	18	25	0	25	0	26	0	37
assemblage-634-715	78	57	0	0	0	128	0	8	5	0	5	0	31	0	0	14	25	0	0	0	0	0	3	100	0	32	0	0	0	8
assemblage-576-481	45	79	5	0	0	113	0	9	0	0	34	0	20	0	0	0	33	0	0	0	0	0	26	78	0	35	0	9	0	14
assemblage-617-425	94	44	0	0	0	155	0	0	9	0	0	16	36	0	0	33	7	0	7	0	0	0	0	83	0	0	0	0	0	11
assemblage-474-606	0	0	0	0	0	20	21	15	0	27	0	0	50	13	13	0	24	0	0	51	19	75	50	0	0	12	0	0	59	32
assemblage-442-394	0	0	0	0	0	11	23	25	0	32	0	0	70	16	5	0	38	0	0	53	18	60	58	0	0	14	0	0	45	32
assemblage-433-587	120	54	0	0	0	182	0	0	11	0	0	0	11	0	0	42	0	0	16	0	0	0	0	33	14	0	0	0	0	17
