Assemblage_Name	0-0-3509963	6602264-9824088-8133594	232460-4-0	0-8694917-4	7749916-2-5743269	1-1-5302163	7546772-8718661-1	2-2158580-3324031	0-6997987-4	1-4-4676514	1-1-4	7749916-2-9342439	1-4-386674	0-0-8046896	0-2-7691746	138987-2-0	2-3-3324031	5353762-3-3324031	2-8812113-3324031	0-0-4	6646396-0-9507250	2-8718661-1	2-0-3	0-9804235-4	3825090-3-3324031	685596-2-0	2-7848998-3324031	1820533-1-5890666	1-1-7852206	7407819-4-0	1-4-3759086	1-4-2244384	2-2-0	6602264-9824088-5302163	6602264-9824088-7892147	4903871-864246-4	1-1-9425672	0-0-3906096	1-4-0	1-4-1452744	2642181-2-6704413	9510663-9824088-5302163	8167487-8694917-4	2-2-8194978	4921293-0-4	1-1-5890666	1429430-3251440-5557056	2562349-8812113-3324031	1-1-4242332	0-2-6396738	1429430-3251440-0	2-2-5205563	2-3-7325409	1-4-3525605	1574775-1-5890666
assemblage-398-566	0	0	0	9	17	21	0	0	0	0	38	0	0	0	0	0	28	0	0	61	7	0	41	0	0	0	0	0	19	0	45	0	86	0	0	8	0	10	8	0	0	0	0	25	0	0	0	0	0	28	0	7	0	0	33
assemblage-502-519	9	0	5	0	0	0	0	0	0	23	0	0	0	0	0	0	44	0	0	44	0	0	0	0	0	0	37	23	0	16	0	0	0	11	6	0	0	0	54	0	6	57	0	0	0	69	0	11	0	0	0	0	23	0	38
assemblage-521-552	24	12	0	0	0	0	0	9	0	0	0	0	0	0	0	10	53	6	0	44	0	0	0	0	0	6	15	25	0	25	0	0	0	42	10	0	0	0	63	0	0	19	0	0	0	74	0	0	0	0	0	0	24	0	39
assemblage-463-336	0	0	0	11	7	34	0	0	0	0	34	0	0	0	0	0	35	0	0	42	14	12	21	0	0	0	0	0	38	0	29	9	72	0	0	0	0	8	42	0	0	0	0	0	0	12	0	0	0	17	7	3	0	0	53
assemblage-394-439	0	0	0	37	14	0	0	14	8	0	0	0	10	0	0	37	39	2	11	45	0	0	0	0	0	0	7	0	0	15	0	0	15	95	0	0	0	0	64	0	0	0	0	0	6	12	10	0	25	0	0	0	0	0	34
assemblage-591-436	0	0	0	4	31	47	15	0	0	0	33	0	0	6	4	0	37	0	0	69	16	4	13	8	0	0	0	0	28	0	8	0	15	0	0	0	0	7	47	0	0	0	0	0	0	28	0	0	0	0	10	0	0	14	38
assemblage-296-526	0	0	0	9	18	22	0	0	0	0	43	0	0	0	0	0	33	0	0	52	0	0	58	0	0	0	0	0	20	0	34	0	93	0	0	0	0	22	0	0	0	0	0	30	0	0	0	0	0	12	0	7	0	0	47
assemblage-518-329	0	0	0	12	20	26	11	0	0	0	0	26	0	0	0	10	56	0	11	78	12	0	20	5	0	0	0	0	0	0	0	0	26	0	0	8	0	0	45	7	0	0	0	0	0	42	0	0	0	8	7	0	0	5	65
assemblage-685-459	9	0	0	0	0	0	0	30	0	0	0	0	0	0	0	31	50	10	18	9	0	0	0	0	0	0	5	12	0	11	0	0	0	126	0	0	22	0	50	0	0	21	0	0	0	11	0	0	6	0	0	0	0	0	74
assemblage-546-364	0	0	0	36	15	4	0	0	0	0	0	0	5	19	0	15	28	0	35	75	9	0	0	0	0	0	0	0	0	18	0	0	23	39	0	0	0	0	63	0	0	0	4	0	0	33	0	0	4	8	20	0	0	0	40
