Assemblage_Name	2-6443178-1	3000724-2457413-1	2-8084595-1	4-5867786-2	2-2457413-1	5312224-1631767-2	6280247-3-0	8448364-3-1	2-2-5720163	3-1-4	2-3-7027246	2-3-446994	0-1-367108	2-9179837-2	2-6791231-1	9125475-2-2	6570683-2-2	2-3-8187687	4-6773354-2	2-5682334-8187687	3-1-8704070	4-4178752-5897661	2-2457413-8422497	2-3-1	2-2-3	2-2-2	4-2-2	9889705-2457413-1	3-4-4	1-0-1	2-3208059-7534600	4-1631767-2	4-2434667-2	72147-2-2	2-2-7264905	4-6866587-4	4-1325112-2	4-3-0	4-2-768012	3-4-4619436	3703156-2-2
assemblage-581-474	21	13	6	0	185	18	0	9	0	0	25	28	0	0	5	0	0	0	0	7	0	0	0	0	0	32	60	0	0	0	0	53	0	0	0	0	0	0	0	0	38
assemblage-525-510	12	0	0	23	182	0	0	0	0	0	0	0	0	13	0	10	0	0	0	31	0	0	18	36	0	43	43	0	6	0	0	0	0	0	0	0	0	41	5	0	27
assemblage-444-561	7	0	0	5	94	0	0	0	0	0	0	0	0	0	0	0	0	16	0	4	0	0	13	67	0	47	101	0	14	0	0	0	0	0	0	0	0	96	15	0	16
assemblage-550-465	0	0	0	0	8	0	0	0	0	5	0	0	0	0	0	0	0	0	13	0	0	9	0	87	11	82	54	0	56	0	35	0	0	11	0	0	0	60	35	0	27
assemblage-470-601	0	0	0	0	0	0	0	0	0	31	0	0	3	0	0	0	0	0	13	0	18	9	0	76	29	68	62	0	64	20	25	0	0	0	0	4	0	27	14	0	29
assemblage-595-664	38	8	20	4	166	0	0	0	0	0	0	17	0	0	0	0	0	0	0	11	0	0	14	30	0	51	26	0	0	0	0	18	5	0	0	0	31	38	0	0	23
assemblage-395-421	21	0	0	33	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	4	32	0	64	28	0	0	0	0	0	0	0	0	0	15	65	0	0	21
assemblage-328-461	0	0	0	0	94	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	117	0	35	104	0	0	0	14	0	0	0	4	0	0	62	33	6	23
assemblage-333-495	0	0	0	0	71	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	54	107	0	9	0	28	0	0	28	0	0	0	32	60	0	20
assemblage-498-583	0	0	0	23	103	0	0	0	0	0	0	0	0	0	0	14	0	16	0	4	0	0	23	81	0	33	71	0	4	0	0	0	0	0	0	0	0	72	30	0	26
