Assemblage_Name	5751641-3474753-0	7377441-876991-8115155	7377441-2-3541119	4-4-7742467	7377441-2-2	4383392-2-7987644	1-4-7594692	2-8261423-4	3-3-4	9255270-2-8137741	4853735-1753474-0	5368296-4-4	4667595-7366617-4	100408-2-1180741	43105-2-8137741	3030472-4-9783571	4-9931946-9950249	1-4-352663	1-7890912-4	1622121-4-6536543	7377441-2-6829144	2-1214309-4119311	2-2-8093144	3021901-4-4	1-1404158-4	594812-2-8137741	2680599-5895176-4	9255270-2-2	2-2-2	2680599-4-4	7377441-2-7459198	7377441-2134763-6632784	9938018-2-0	7377441-2134763-6829144	9201684-3798369-6606320	2-9341275-2339578	3-4-9783571	100408-2-0	7377441-42571-6829144	1958813-2-0	9201684-4-4	1699786-2-6934159	1-4-4	2-4-2714565	7377441-876991-7459198	4-4-9950249	2071026-2-8137741	4-4-5018499	8625923-8261423-4	2-2-6934159	2-1214309-4	7377441-2-6608773	2167577-2-2	2-4-4	9398781-2-2	4-4-6536543	3-0-3	100408-2-3489626	4383392-2-2	7377441-3450899-7459198	7634463-4-7742467	7377441-8471345-6829144	5751641-3474753-9033924
assemblage-499-459	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	11	0	0	0	0	59	0	0	0	0	0	0	0	45	30	0	0	0	0	36	0	0	0	0	0	0	17	6	9	0	78	14	0	0	0	20	0	30	0	71
assemblage-645-438	0	0	42	0	0	0	0	3	0	8	0	26	0	0	10	0	18	0	0	0	42	25	0	0	32	0	0	0	0	0	0	0	0	0	0	8	16	77	13	0	0	0	30	11	0	13	0	0	9	0	0	6	0	42	0	0	0	13	0	0	0	0	56
assemblage-653-581	0	0	9	0	0	0	0	0	0	0	0	21	0	0	0	4	0	0	0	0	54	0	0	22	0	0	0	0	28	0	0	0	0	0	0	7	22	66	0	0	0	12	20	0	0	4	0	0	0	4	0	22	9	72	0	0	0	0	27	0	25	0	72
assemblage-326-635	15	22	9	0	0	0	37	0	0	0	0	15	8	0	0	0	0	0	7	0	95	0	0	0	0	4	6	0	0	24	0	15	0	29	0	0	0	61	0	0	0	0	0	0	40	0	19	0	12	0	0	0	0	0	0	0	0	0	0	15	0	0	67
assemblage-550-679	0	0	7	0	0	5	0	3	0	0	9	13	0	0	0	2	0	0	0	0	43	0	0	56	0	0	0	0	23	0	0	0	0	0	0	7	21	77	0	0	0	7	21	0	0	8	0	0	0	9	0	37	4	51	0	0	0	0	20	0	13	0	56
assemblage-540-375	0	0	0	72	5	0	0	0	26	0	0	0	0	16	0	0	0	0	0	0	9	0	16	0	0	0	0	0	54	0	0	0	0	0	0	0	15	20	0	0	0	0	67	0	0	0	0	0	0	25	0	0	0	36	0	0	36	0	48	0	0	0	52
assemblage-702-733	0	0	24	0	0	8	0	24	0	0	9	18	0	0	0	0	25	6	0	0	33	10	0	32	0	0	0	0	12	0	0	0	0	0	0	20	6	67	0	0	0	13	32	0	0	14	0	0	0	0	0	28	7	54	0	0	0	0	6	0	7	0	37
assemblage-509-331	0	0	39	0	0	0	0	0	0	9	0	22	0	0	0	0	10	0	0	0	36	30	0	6	21	0	0	0	0	0	0	0	0	0	0	12	13	90	6	0	0	4	30	11	0	6	0	0	11	0	0	7	0	52	0	0	0	19	0	0	6	0	60
assemblage-520-525	0	0	12	0	0	0	10	0	0	33	0	22	0	0	15	0	0	0	0	7	19	17	0	0	14	0	0	7	0	0	13	0	0	14	0	0	39	91	0	8	0	0	46	11	0	0	0	0	10	0	0	0	0	30	0	6	0	15	6	0	0	0	49
assemblage-474-577	0	0	8	0	0	6	0	0	0	0	0	33	0	0	0	4	0	0	0	0	45	0	0	44	0	0	0	0	30	0	0	0	0	0	0	8	15	69	0	0	0	9	21	0	0	9	0	0	0	4	0	21	9	83	0	0	0	0	15	0	14	0	53
assemblage-424-529	0	0	17	0	0	0	26	0	0	21	0	7	4	0	14	0	0	0	8	12	30	19	0	0	8	0	0	26	0	10	0	0	8	14	0	0	22	81	10	5	6	0	17	0	23	0	3	4	29	0	0	0	0	16	0	0	0	0	0	0	0	0	42
assemblage-645-556	0	0	0	50	0	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	39	0	12	7	0	0	0	0	51	0	0	0	0	0	0	0	45	37	0	0	0	0	35	0	0	0	0	0	0	27	8	0	0	73	0	0	0	0	21	0	21	9	48
assemblage-478-474	0	0	0	54	0	0	0	0	8	0	0	0	0	14	0	0	0	0	0	0	53	0	13	0	0	0	0	0	31	0	0	0	0	0	0	0	60	35	0	0	0	0	30	0	0	0	0	0	0	35	0	0	0	55	0	0	6	0	21	0	10	9	61
assemblage-615-470	0	0	32	0	0	0	0	5	0	6	0	20	0	0	0	0	18	0	0	0	49	13	0	0	14	0	0	5	0	0	0	0	0	0	0	16	14	84	11	0	0	0	46	14	0	0	0	0	16	0	0	7	0	65	0	0	0	15	0	0	2	0	48
assemblage-504-681	0	0	5	0	0	0	11	0	0	26	0	12	0	0	12	0	0	0	0	0	19	16	0	0	26	0	0	7	0	0	6	0	0	9	0	0	44	110	1	0	18	0	33	7	0	0	0	0	17	0	0	0	0	42	0	13	0	8	0	0	0	0	46
assemblage-334-574	0	0	21	0	0	0	31	0	0	34	0	7	11	0	19	0	0	0	9	5	37	9	0	0	0	0	0	32	0	7	0	0	5	29	0	0	17	54	0	0	8	0	13	0	32	0	0	0	30	0	0	0	0	11	0	0	0	0	0	0	0	0	79
assemblage-557-617	0	0	0	61	10	0	0	0	14	0	0	0	0	8	0	0	0	0	0	0	14	0	19	0	0	0	0	0	60	0	0	0	0	0	0	0	31	9	0	0	0	0	98	0	0	0	0	0	0	24	0	0	0	38	0	0	19	0	35	0	0	0	43
assemblage-415-593	11	0	21	0	0	0	26	0	0	0	0	15	4	0	19	0	0	0	7	0	77	9	0	0	0	0	0	0	0	26	0	0	6	23	7	0	0	98	9	0	0	0	6	0	33	0	2	10	7	0	0	0	0	12	0	0	0	0	0	0	0	0	72
assemblage-433-587	19	15	9	0	0	0	35	0	0	0	0	21	9	0	0	0	0	0	9	0	79	10	0	0	0	18	11	0	0	23	0	21	0	35	0	0	0	55	0	0	0	0	0	0	35	0	18	0	5	0	0	0	0	0	0	0	0	0	0	13	0	0	55
assemblage-582-490	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	6	0	0	0	0	41	0	0	0	0	0	0	0	48	44	0	0	0	0	31	0	0	0	0	0	0	27	0	6	0	81	9	0	0	0	16	0	27	0	77
