Assemblage_Name	1-1991042-8042047	3889059-1782250-1	3-4065276-4	3889059-4683744-1	3889059-2-3662767	2903325-2519904-1	4-2-3656075	1696318-2-4	1-5376133-8042047	4-2-2891108	4707801-2-1	545370-1782250-1	4663033-2-1	3573471-2-1	0-0-3	0-2-7105968	3889059-2-1	0-3-4	8681047-2-1	1-2-1	4663033-2-9800038	3889059-2-9835983	1696318-2-2242375	5180940-5376133-8042047	3889059-8680991-1	3284463-3129-7559077	2-3-4	2-3-2527505	1823780-0-3	0-1415315-4	0-2-1	411181-2-1	4-2-4	0-7954904-1	3-4-4	4-3129-0	0-1360950-1	4-2-1689290	8335267-2-1	0-8869046-1	4-9853810-9112443	2258264-3-4
assemblage-368-631	64	15	0	0	17	0	0	0	46	0	0	0	0	0	0	39	64	30	0	0	10	0	0	0	0	13	0	4	0	11	66	0	43	8	0	0	12	0	0	0	9	39
assemblage-767-668	6	5	0	0	0	0	0	0	61	0	0	0	6	0	0	50	55	51	8	0	5	7	0	10	0	7	13	0	0	1	51	0	62	11	0	0	11	0	0	0	16	56
assemblage-695-531	3	0	0	0	0	0	0	0	56	0	3	0	19	0	0	56	42	34	18	0	0	14	0	0	0	7	22	0	0	0	72	0	52	21	0	22	0	0	0	0	4	43
assemblage-658-550	57	26	0	0	12	0	0	0	59	0	0	0	0	0	0	35	43	38	0	0	0	0	0	12	0	6	5	13	0	16	53	0	70	8	0	0	5	0	0	0	6	36
assemblage-574-440	0	0	0	0	0	15	0	0	51	0	0	0	0	63	84	0	0	40	0	28	0	0	0	0	0	0	33	0	10	0	71	0	23	0	9	13	0	0	0	0	0	33
assemblage-572-411	0	0	0	0	0	0	0	8	85	0	0	0	0	24	13	33	12	28	41	0	0	0	0	0	0	0	15	0	0	0	103	0	41	0	11	37	0	7	0	0	0	42
assemblage-606-491	10	5	0	0	4	0	0	0	87	0	0	0	0	0	0	45	56	52	3	0	10	7	0	19	0	3	24	0	0	8	46	0	41	12	0	0	12	0	0	0	14	28
assemblage-586-500	14	0	0	0	0	0	0	0	52	0	9	0	17	0	0	54	40	39	21	0	0	9	0	0	0	0	18	0	0	0	76	0	57	13	0	14	0	0	0	0	7	33
assemblage-462-687	0	0	0	0	0	10	0	15	58	0	0	0	0	63	41	0	0	18	0	0	0	0	0	0	0	0	25	0	12	0	92	0	41	0	21	22	0	0	0	0	0	54
assemblage-662-436	0	0	5	0	0	6	0	13	66	0	0	0	0	58	39	0	0	31	16	0	0	0	0	0	0	0	36	0	10	0	114	0	25	0	11	22	0	0	0	0	0	42
assemblage-417-583	0	0	0	0	0	0	0	0	56	0	0	0	12	19	21	32	15	30	36	0	0	0	5	0	0	0	32	0	0	0	85	0	44	0	0	49	11	0	0	0	0	40
assemblage-477-268	0	0	0	0	0	0	0	0	63	0	0	0	0	27	9	26	13	27	58	0	0	0	5	0	0	0	13	0	0	0	107	0	50	0	0	31	0	7	0	0	0	55
assemblage-343-490	97	8	0	17	0	0	0	0	89	0	0	11	0	0	0	31	16	0	0	0	0	0	0	9	2	7	44	0	0	0	45	0	78	0	0	0	4	0	0	0	0	31
assemblage-470-468	0	0	0	0	0	0	0	0	74	0	0	0	13	8	10	47	17	21	19	0	0	0	0	0	0	0	16	0	0	0	87	0	64	0	0	61	9	0	0	0	0	40
assemblage-513-505	0	0	0	0	0	8	0	0	33	0	0	0	0	67	86	0	0	51	0	19	0	0	0	0	0	0	50	0	17	0	72	0	36	0	0	6	0	0	0	0	0	40
assemblage-540-375	0	0	6	0	0	5	0	6	30	0	0	0	0	78	105	0	0	42	0	18	0	0	0	0	0	0	38	0	6	0	79	0	37	0	3	9	0	0	0	0	0	32
assemblage-548-431	0	0	0	0	0	0	0	0	79	0	0	0	11	0	8	54	18	28	18	0	0	0	0	0	0	0	35	0	0	0	71	0	33	0	0	69	0	0	0	0	0	58
assemblage-511-498	77	8	0	0	0	0	0	0	57	8	0	12	0	0	0	34	37	5	0	0	0	0	0	14	0	26	20	0	0	0	49	0	78	0	0	0	6	0	0	0	0	55
assemblage-504-605	70	0	0	0	0	0	11	0	64	0	0	0	0	0	0	55	31	0	0	0	0	0	0	0	6	0	77	0	0	0	29	6	68	0	0	0	5	0	4	12	0	53
assemblage-424-529	77	16	0	0	0	0	0	0	76	0	0	16	0	0	0	29	25	10	0	0	0	0	0	13	0	11	26	0	0	0	47	0	98	0	0	0	8	0	0	0	0	48
assemblage-700-366	78	8	0	0	0	0	8	0	66	0	0	0	0	0	0	46	13	0	0	0	0	0	0	9	12	0	78	0	0	0	24	6	72	0	0	0	5	0	7	11	0	44
assemblage-687-461	0	0	0	0	0	0	0	0	63	0	0	0	0	22	11	30	14	41	28	0	0	0	7	0	0	0	7	0	0	0	109	0	61	0	5	30	0	5	0	0	0	40
assemblage-430-391	101	4	0	21	0	0	0	0	87	0	0	0	0	0	0	41	14	0	0	0	0	0	0	0	7	0	31	0	0	0	37	0	73	0	0	0	21	0	0	7	0	44
assemblage-517-514	75	0	0	12	0	0	10	0	61	0	0	8	0	0	0	36	24	0	0	0	0	0	0	4	7	14	64	0	0	0	37	6	66	0	0	0	16	0	3	14	0	43
assemblage-468-520	13	13	0	0	3	0	0	0	92	0	0	0	0	0	0	27	68	50	0	0	9	0	0	15	0	2	9	0	0	0	50	0	53	20	0	0	8	0	0	0	17	35
assemblage-375-541	0	0	14	0	0	9	0	18	59	0	0	0	0	51	62	0	11	16	8	0	0	0	0	0	0	0	23	0	4	0	89	0	40	0	12	26	0	0	0	0	0	49
assemblage-435-464	88	12	0	0	0	0	0	0	48	9	0	17	0	0	0	37	27	10	0	0	0	0	0	8	0	13	35	0	0	0	59	0	92	0	0	0	7	0	0	0	0	33
assemblage-603-692	0	0	0	0	0	0	0	0	54	0	15	0	27	0	0	33	43	45	26	0	0	12	0	0	0	0	20	0	0	0	77	0	53	9	0	30	0	0	0	0	7	43
assemblage-540-571	84	4	0	16	0	0	4	0	87	0	0	4	0	0	0	36	21	0	0	0	0	0	0	5	12	20	47	0	0	0	50	0	51	0	0	0	15	0	0	0	0	33
assemblage-619-790	41	6	0	0	10	0	0	0	65	10	0	0	0	0	0	41	45	36	0	0	0	0	0	0	0	8	11	4	0	14	76	0	70	0	0	0	6	0	0	0	6	43
