Assemblage_Name	3508398-1-7906540	2-3-4	2-3-1	7425101-2-0	9194732-1-2	2-8794904-4	2-2-0	2-9329490-4	3-1-2	2717837-1-3	3508398-1-3	1369198-613295-0	3-1-3	2-4949907-4	2-2809522-0	4-4-1	6714785-1-3	3-1-9517748	2-2-2950776	1148650-613295-0
assemblage-581-474	0	0	0	0	0	0	96	33	121	0	0	0	0	143	0	0	18	39	0	30
assemblage-558-310	7	19	42	0	0	0	63	0	18	0	27	0	97	110	28	17	34	0	11	22
assemblage-377-570	0	74	10	0	0	0	45	0	165	13	0	0	0	144	0	0	34	0	0	15
assemblage-617-450	0	38	8	0	0	0	59	0	165	0	0	0	0	177	0	0	19	0	13	21
assemblage-574-440	0	27	18	0	0	0	94	0	28	0	26	0	84	99	26	11	39	0	5	16
assemblage-528-259	0	0	0	0	0	0	84	27	131	0	0	0	0	136	0	0	19	47	0	26
assemblage-627-462	10	14	54	11	0	0	72	0	47	0	42	0	128	47	9	8	39	0	0	19
assemblage-605-444	13	54	50	25	0	0	78	0	51	0	27	0	70	74	5	0	25	0	16	12
assemblage-470-542	0	77	15	0	0	0	49	0	150	11	0	0	0	135	0	0	47	0	0	11
assemblage-534-385	0	53	16	0	0	0	113	6	100	0	0	0	0	118	0	0	33	22	23	16
assemblage-441-558	0	0	0	0	0	0	95	32	152	0	0	0	0	126	0	0	17	42	0	33
assemblage-412-544	0	40	4	0	0	0	68	0	174	0	0	0	0	182	0	0	9	0	0	23
assemblage-525-433	0	29	37	9	0	0	77	0	48	0	42	0	78	79	26	21	33	0	9	12
assemblage-470-468	7	81	40	0	0	0	77	0	64	5	3	6	14	123	0	0	43	0	21	16
assemblage-593-417	0	15	0	0	6	11	94	18	100	0	0	0	0	134	0	0	48	60	0	14
assemblage-230-538	0	31	9	0	0	6	101	19	100	0	0	0	0	147	0	0	27	35	17	8
assemblage-489-624	0	67	20	0	0	0	102	3	82	0	0	0	0	161	0	0	15	9	12	24
assemblage-427-494	16	26	40	19	0	0	61	0	63	0	22	7	76	80	10	0	40	0	15	25
assemblage-496-588	0	39	11	0	0	0	54	0	193	0	0	0	0	159	0	0	14	5	9	7
assemblage-442-547	11	14	46	10	0	0	76	0	30	0	17	0	113	80	11	0	50	0	7	30
assemblage-619-552	0	88	16	0	0	0	82	3	95	0	0	0	0	131	0	0	30	16	16	10
assemblage-543-670	0	27	9	0	0	5	101	10	132	0	0	0	0	140	0	0	17	27	15	2
assemblage-648-407	14	16	49	16	0	0	103	0	61	0	17	8	69	81	9	0	22	0	18	17
assemblage-418-424	0	65	40	10	0	0	80	0	92	3	13	0	12	93	0	0	61	0	8	17
assemblage-556-572	0	47	11	0	0	10	83	17	96	0	0	0	0	147	0	0	21	41	18	9
assemblage-311-407	0	14	0	0	7	10	75	23	139	0	0	0	0	135	0	0	16	66	0	15
assemblage-340-403	0	93	37	7	0	0	86	0	61	5	7	10	11	101	0	0	41	0	22	19
assemblage-436-432	14	11	67	13	0	0	83	0	41	0	16	0	115	66	7	0	36	0	3	28
assemblage-459-495	0	19	2	0	5	5	104	21	139	0	0	0	0	123	0	0	23	36	0	23
assemblage-536-491	0	81	10	0	0	0	46	0	162	12	0	0	0	120	0	0	53	0	5	11
