Assemblage_Name	0-3-5960757	4-9332730-3	0-4895173-8246569	0-1-9410831	4-1-3	0-8364436-4	4083542-3-4	0-1-2	7191688-3-4	0-1-6737455	887133-3-1	1-2-7951770	1-2-6888927	4083542-3-6747246	0-2-1	0-3-8246569	1-3-1	4387694-3-4	9331227-0-9548052	2-0-1	0-6144828-1	9331227-0-6713014	0-3-4	9331227-1489243-9548052	1-5936326-2	0-5512196-1	4387694-3-854309	4083542-3-6994675	1-2-2	1-4-2	4-9443837-3	4123760-5936326-2
assemblage-616-507	0	0	0	52	50	0	0	28	0	13	0	0	0	0	11	0	9	0	31	73	0	0	23	0	22	0	0	0	121	36	0	27
assemblage-368-631	0	14	0	19	43	0	16	0	0	0	29	0	0	0	0	0	0	0	59	0	0	0	219	38	0	0	0	0	25	0	22	16
assemblage-538-178	0	27	0	10	5	0	52	0	0	0	0	0	0	5	0	0	0	14	51	0	0	10	160	49	0	0	0	0	28	0	65	24
assemblage-296-526	0	0	0	50	56	0	0	24	0	9	0	8	0	0	12	0	13	0	19	78	0	0	28	0	11	0	0	0	140	31	0	21
assemblage-342-496	0	11	0	21	11	0	63	0	0	0	6	0	0	0	0	0	0	29	67	0	0	0	143	49	0	0	0	13	42	0	33	12
assemblage-478-510	0	12	0	21	16	0	35	0	0	0	9	0	0	0	0	0	0	21	65	0	0	0	181	70	0	0	0	0	27	0	30	13
assemblage-530-477	0	10	0	53	45	0	0	21	0	0	5	8	13	0	12	0	0	0	40	96	0	0	80	0	14	0	0	0	70	20	0	13
assemblage-615-413	9	30	4	31	49	10	0	17	0	0	43	0	0	0	0	0	0	0	69	7	0	0	125	8	14	0	0	0	51	19	0	14
assemblage-561-368	0	17	0	54	64	0	0	8	0	0	0	7	7	0	8	0	0	0	39	71	11	0	96	0	22	0	0	0	69	13	0	14
assemblage-390-298	0	12	11	51	21	0	25	5	0	0	18	0	0	0	0	0	0	0	50	0	0	0	228	21	0	0	0	0	22	0	25	6
assemblage-462-573	0	18	0	47	17	0	70	0	3	0	0	0	0	9	0	0	0	19	33	0	0	29	105	56	0	0	16	0	19	0	44	15
assemblage-362-460	0	8	0	25	56	3	0	17	0	0	19	0	5	0	11	0	0	0	55	62	5	0	113	0	36	5	0	0	42	27	0	11
assemblage-481-478	0	0	0	20	20	0	42	0	0	0	29	0	0	0	0	0	0	20	65	0	0	0	148	45	0	0	0	10	46	0	37	16
assemblage-326-573	8	30	22	66	28	4	0	0	0	0	68	0	0	0	0	0	0	0	41	0	0	0	152	13	8	0	0	0	28	0	2	25
assemblage-627-533	0	18	8	34	28	0	16	0	0	0	37	0	0	0	0	0	0	6	42	0	0	0	220	29	0	0	0	0	20	0	28	14
assemblage-376-551	0	32	0	13	73	7	0	6	0	0	26	0	0	0	10	16	0	0	76	51	0	0	94	0	11	7	0	0	44	27	0	7
assemblage-553-459	0	12	0	68	32	0	65	0	5	0	0	0	0	1	0	0	0	0	15	0	0	29	110	47	0	0	9	0	25	0	59	23
assemblage-499-597	0	16	15	91	70	8	0	0	0	0	46	0	0	0	0	0	0	0	46	0	0	0	132	10	6	0	0	0	25	0	0	34
assemblage-479-543	0	8	0	49	50	0	0	8	0	0	0	14	6	0	7	0	0	0	46	106	11	0	94	0	14	0	0	0	55	15	0	17
assemblage-456-495	6	46	6	47	56	10	0	8	0	0	45	0	0	0	0	3	0	0	63	7	0	0	107	0	10	0	0	0	57	11	0	18
assemblage-431-606	0	18	0	30	50	0	0	20	0	0	12	0	0	0	17	0	0	0	52	73	7	0	99	0	20	12	0	0	44	23	0	16
assemblage-617-425	0	32	0	13	15	0	61	0	5	0	0	0	0	9	0	0	0	17	65	0	0	7	119	54	0	0	0	9	31	0	53	6
assemblage-603-692	5	47	0	21	31	9	0	13	0	0	41	0	0	0	0	0	0	0	71	8	0	0	143	0	14	0	0	0	56	11	0	30
assemblage-645-408	0	0	0	37	70	0	0	27	0	14	0	0	0	0	12	0	16	0	32	65	0	0	25	0	24	0	0	0	126	24	0	22
assemblage-493-401	0	42	0	25	49	15	0	17	0	0	20	0	0	0	6	8	0	0	80	35	0	0	109	0	16	12	0	0	48	15	0	3
assemblage-464-417	0	41	0	27	59	8	0	16	0	0	15	0	0	0	14	12	0	0	72	56	0	0	104	0	16	11	0	0	38	10	0	1
assemblage-486-512	0	16	0	11	22	0	58	0	8	0	0	0	0	5	0	0	0	21	49	0	0	4	141	72	0	0	0	8	13	0	58	14
assemblage-593-334	0	26	13	64	43	4	7	0	0	0	47	0	0	0	0	0	0	0	48	0	0	0	174	16	7	0	0	0	14	0	0	21
assemblage-591-544	0	16	0	45	23	0	56	0	8	0	0	0	0	0	0	0	0	11	23	0	0	44	129	67	0	0	3	0	26	0	34	15
assemblage-454-418	0	13	0	59	51	7	0	14	0	0	20	0	0	0	22	0	0	0	46	81	5	0	80	0	19	10	0	0	31	19	0	23
