Assemblage_Name	4399398-2-9051582	3725722-6731861-9051582	5861290-2-2501001	1458329-2-6119845	0-5203914-2501001	0-2-356175	1-2969031-2250240	4492708-3-2868518	2-0-3670499	3217389-2-9051582	453407-2-9051582	3744166-2-9051582	0-2-6119845	3217389-2-1445012	1-790703-1395169	3744166-2-5342656	9246328-3-3	4492708-3-3	0-2-7322947	0-2-2841546	4492708-6774674-3	0-6731861-9051582	2-3-0	0-2-9464920	0-1-5086238	1-790703-8417940	0-3624434-9051582	0-2-0	4492708-3-6885754	5166079-2-1797660	0-2-1797660	4-2-4	0-2-3186830	4492708-3-3484008	0-2-9051582	4492708-8666119-3	0-2-2501001	4291405-2-9051582	1-2969031-2	0-2-4188283	0-4129188-0	0-826410-9051582	8126266-2-9051582
assemblage-363-465	45	0	0	0	0	0	0	0	6	14	0	14	0	14	0	0	10	23	14	0	0	11	88	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	10	0	9	0	46
assemblage-496-517	36	0	0	0	5	0	0	0	0	27	0	30	0	0	10	0	0	42	4	0	0	40	46	0	0	14	0	0	0	0	0	0	0	0	169	0	11	0	19	0	0	0	43
assemblage-499-650	0	0	0	0	6	0	0	0	0	11	9	0	0	15	13	0	0	70	23	0	0	7	0	0	0	0	14	0	0	0	0	0	0	0	235	0	46	0	0	0	0	0	41
assemblage-603-296	26	0	0	0	0	0	0	0	8	17	0	18	0	25	0	0	13	25	19	0	0	10	85	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	9	0	9	0	38
assemblage-518-329	11	0	0	0	18	0	0	0	0	7	0	23	0	9	16	0	0	43	28	0	0	18	10	0	0	11	17	0	0	0	0	0	0	0	228	0	16	0	0	0	0	0	33
assemblage-381-447	0	19	0	4	0	0	0	8	0	7	0	0	7	0	0	14	0	89	0	0	8	0	0	0	0	0	0	0	0	0	11	0	12	9	227	0	35	0	0	9	0	8	33
assemblage-340-439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	111	0	9	0	0	0	0	0	0	0	0	30	0	0	0	0	18	195	0	47	0	0	0	0	0	37
assemblage-586-500	0	0	0	0	9	0	0	0	0	7	7	11	0	9	12	0	0	43	31	0	0	17	0	0	0	0	7	0	0	0	0	0	0	0	237	0	67	0	0	0	0	0	43
assemblage-663-438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	98	0	8	0	0	0	0	0	0	0	0	35	0	0	0	0	19	226	0	30	0	0	10	0	0	52
assemblage-387-655	0	4	0	12	0	0	0	10	0	0	0	0	4	0	0	6	0	83	0	0	4	0	0	0	0	0	0	0	0	0	12	0	9	6	255	0	38	0	0	10	0	3	27
assemblage-496-480	44	0	0	0	15	0	0	0	0	16	0	23	0	0	0	0	0	48	13	0	0	37	39	0	0	24	0	0	0	0	0	0	0	0	182	0	0	0	13	0	0	0	46
assemblage-425-523	0	6	0	0	7	6	0	0	0	0	0	33	12	0	0	0	0	86	17	0	0	0	0	0	0	0	0	0	0	0	24	0	10	0	196	0	45	0	0	0	0	0	38
assemblage-339-595	31	0	0	0	0	0	0	0	3	9	0	16	0	17	0	0	22	39	22	0	0	8	110	0	0	4	0	0	0	0	0	0	0	0	152	0	0	0	3	0	12	0	43
assemblage-451-444	0	10	0	0	0	0	0	9	0	0	0	0	0	0	0	27	0	102	0	0	0	0	0	6	0	0	0	0	9	9	0	0	2	12	205	7	44	0	0	12	0	0	41
assemblage-423-730	0	3	0	0	4	8	0	12	0	0	0	16	14	0	0	0	0	79	24	0	0	0	0	0	0	0	0	0	0	0	14	0	3	0	243	0	54	0	0	0	0	0	19
assemblage-556-482	0	0	0	0	11	0	0	0	0	0	11	6	0	11	7	0	0	57	30	0	0	2	7	0	0	0	15	0	0	0	7	0	0	0	239	0	45	0	0	0	0	0	41
assemblage-559-406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	100	0	17	0	0	0	0	0	0	0	0	34	0	0	0	0	18	213	0	42	0	0	0	0	0	44
assemblage-508-652	38	0	0	0	3	0	0	0	0	11	0	25	0	0	7	0	0	43	25	0	0	34	39	0	0	27	0	0	0	0	0	0	0	0	193	0	0	0	12	0	0	0	43
assemblage-703-427	4	0	0	0	14	0	0	0	0	26	0	30	0	0	13	0	0	30	27	0	0	8	14	0	0	18	23	0	0	0	0	0	0	0	205	0	23	0	0	0	0	0	53
assemblage-681-571	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	31	0	126	0	0	13	0	0	16	0	0	0	0	28	10	0	0	2	12	163	12	52	0	0	5	0	0	25
assemblage-526-324	7	0	0	0	0	0	7	0	11	11	0	0	0	0	0	0	25	39	8	0	0	0	38	0	50	0	0	13	0	0	0	12	0	0	196	0	0	0	25	0	35	0	23
assemblage-615-470	0	0	4	0	8	4	0	0	0	24	0	10	0	11	11	0	0	107	9	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	195	0	49	3	0	0	0	0	35
assemblage-505-312	0	0	5	0	0	7	0	0	0	10	0	6	7	16	11	0	0	100	28	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	180	0	55	17	0	0	0	3	39
assemblage-617-425	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	25	0	83	0	0	0	0	0	7	0	0	0	0	23	7	0	0	7	15	214	15	38	0	0	13	0	0	39
assemblage-309-501	14	0	0	0	23	0	0	0	0	14	0	9	0	4	17	0	0	19	18	0	0	23	18	0	0	12	22	0	0	0	0	0	0	0	242	0	16	0	0	0	0	0	40
assemblage-391-539	15	0	0	0	0	0	9	0	8	9	0	0	0	0	0	0	15	25	11	0	0	0	40	0	29	0	0	6	0	0	0	5	0	0	230	0	0	0	37	0	15	0	46
assemblage-489-421	0	14	10	0	5	14	0	0	0	10	0	4	8	12	7	0	0	86	29	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	203	0	56	7	0	0	0	5	20
assemblage-394-542	0	12	0	0	10	0	0	0	0	0	0	12	8	0	0	0	0	85	19	0	0	0	0	0	0	0	0	0	0	0	13	0	10	0	234	0	54	0	0	0	0	0	43
assemblage-458-479	14	0	0	0	0	0	11	0	14	10	0	0	0	0	0	0	19	34	7	0	0	0	48	0	44	0	0	14	0	0	0	14	0	0	207	0	0	0	27	0	14	0	23
assemblage-477-558	0	7	0	13	0	0	0	11	0	5	0	0	0	0	0	22	0	95	0	0	0	0	0	0	0	0	0	0	0	0	16	0	16	13	201	0	53	0	0	14	0	0	34
