Assemblage_Name	8754458-2-6511015	3980347-1169143-2	3-3-1010485	4655261-2-1	3980347-869066-2	3-3-1	8754458-7920110-4	7187421-2-1	9713557-2-4	1-901318-4	1-2-3887864	2-0-4	1-2-4	2-6061583-1	5933897-3-2131606	5933897-3-5694018	7285589-2-1	5933897-3-1	2-2-1	3980347-4647520-2	8754458-2-4432020	3980347-0-2	3-4-3	9595337-0-2	1-0-4	3350731-2-1	3-5997676-2	8258632-2-4346166	3-0-2	3980347-869066-7878009	4-9866978-4	8754458-2-4	2-9712888-1	8754458-2-1448270	8754458-380401-4432020
assemblage-605-473	0	0	0	0	0	26	0	0	29	0	21	12	65	0	0	0	0	13	44	0	24	27	24	0	40	0	0	0	83	0	7	47	0	0	30
assemblage-612-665	0	0	0	4	13	0	0	31	0	0	0	0	102	0	0	0	17	14	0	0	0	0	0	0	0	42	5	0	128	0	0	60	29	0	49
assemblage-499-650	0	0	0	0	49	14	0	17	0	0	14	0	60	9	0	0	17	86	30	13	0	0	6	0	0	0	0	0	88	0	30	50	0	0	17
assemblage-472-658	0	15	6	0	0	20	0	0	12	0	32	0	69	0	0	0	0	20	46	0	8	23	22	0	25	0	0	0	37	0	12	97	0	0	37
assemblage-432-479	10	0	0	0	15	31	0	21	0	0	0	0	57	12	0	0	22	38	69	0	0	0	0	0	0	0	0	0	145	0	17	41	0	0	9
assemblage-572-411	0	0	1	0	0	19	0	0	9	4	28	0	61	0	0	0	0	53	66	0	0	22	44	0	41	0	0	0	55	0	10	34	0	0	37
assemblage-584-383	0	0	0	8	11	4	0	41	0	0	0	0	112	0	8	0	18	26	0	0	0	0	0	0	0	42	5	0	117	9	0	56	12	0	31
assemblage-401-274	13	0	0	0	32	27	0	28	0	0	0	0	54	0	0	5	55	69	35	0	0	0	0	0	0	8	0	0	86	0	0	61	5	0	22
assemblage-596-549	0	0	0	0	19	13	13	69	0	0	0	0	62	0	0	0	31	62	9	0	0	0	0	0	0	42	0	0	96	0	0	40	16	0	28
assemblage-504-537	0	0	7	0	0	23	0	0	34	0	25	0	61	0	0	0	0	21	48	0	10	18	38	0	29	0	0	0	41	0	11	82	0	0	52
assemblage-653-581	0	0	0	0	25	34	0	2	0	0	14	0	38	0	0	0	7	75	58	9	0	5	21	0	0	0	0	0	104	0	13	59	0	0	36
assemblage-540-375	0	0	0	0	0	19	0	0	27	4	17	21	84	0	0	0	0	7	52	0	23	31	25	0	20	0	0	0	72	0	13	41	0	0	44
assemblage-562-460	0	0	0	11	0	0	0	32	0	0	0	0	57	0	11	0	27	8	0	0	0	0	0	17	0	36	6	8	86	23	0	86	31	6	38
assemblage-544-495	0	0	0	16	11	9	0	43	0	0	0	0	76	0	0	0	20	26	0	0	0	0	0	7	0	37	4	0	126	0	0	66	18	0	41
assemblage-386-549	4	0	0	0	27	32	0	24	0	0	0	0	55	0	0	12	39	53	24	0	0	0	0	0	0	13	0	0	130	0	0	69	4	0	14
assemblage-330-531	0	0	0	0	0	22	0	0	26	7	32	0	56	0	0	0	0	21	40	0	5	28	29	0	24	0	0	0	35	0	24	98	0	0	43
assemblage-326-573	10	0	0	0	30	24	0	21	0	0	4	0	76	0	0	0	33	53	39	0	0	0	0	0	0	0	0	0	141	0	9	42	0	0	11
assemblage-735-485	0	0	0	0	49	10	0	38	0	0	6	0	45	3	0	0	36	68	46	4	0	0	3	0	0	0	0	0	94	0	18	58	0	0	18
assemblage-586-332	0	0	0	0	0	34	0	0	29	0	21	14	60	0	0	0	0	5	37	0	10	39	26	0	28	0	0	0	82	0	16	57	0	0	38
assemblage-559-406	0	0	0	0	0	0	0	44	0	0	0	0	59	0	10	9	35	8	0	0	0	0	0	12	0	30	0	11	88	13	0	75	16	7	56
assemblage-424-529	0	0	0	0	21	29	22	30	0	0	0	0	62	0	0	9	46	54	6	0	0	0	0	0	0	28	0	0	97	0	0	56	13	0	27
assemblage-489-379	0	6	0	0	0	38	0	0	25	7	22	0	60	0	0	0	0	62	56	0	0	24	29	0	27	0	0	0	38	0	7	63	0	0	28
assemblage-582-447	9	0	0	0	18	13	0	32	0	0	0	0	68	10	0	0	25	71	60	0	0	0	0	0	0	0	0	0	134	0	9	34	0	0	17
assemblage-456-495	0	0	0	0	20	14	0	27	0	0	13	0	49	5	0	0	16	88	57	0	0	0	10	0	0	0	0	0	120	0	18	51	0	0	11
assemblage-431-606	0	5	12	0	0	27	0	0	23	7	21	0	29	0	0	0	0	56	67	0	0	15	61	0	20	0	0	0	52	0	8	49	0	0	35
assemblage-614-342	0	0	0	5	0	0	0	41	0	0	0	0	62	0	10	11	36	6	0	0	0	0	0	5	0	47	0	6	77	13	0	97	10	7	35
assemblage-563-581	8	0	0	0	30	31	0	25	0	0	0	0	65	0	0	11	62	52	30	0	0	0	0	0	0	13	0	0	101	0	0	52	0	0	20
assemblage-422-506	0	0	0	0	32	35	0	4	0	0	17	0	34	0	0	0	0	54	78	0	0	4	17	0	0	0	0	0	85	0	39	65	0	0	35
assemblage-536-322	0	0	0	0	22	16	11	41	0	0	0	0	71	0	0	6	20	66	0	0	0	0	0	0	0	29	0	0	120	0	0	51	12	0	26
assemblage-433-512	0	0	0	0	29	31	0	9	0	0	8	0	65	0	0	0	0	56	74	6	0	10	20	0	0	0	0	0	74	0	21	67	0	0	30
