Assemblage_Name	4301618-3-1	966978-2216770-3	2263114-8403351-3	5473498-3-4876038	4-6050819-0	9303804-4641444-3	1-3-4876038	3121009-4-3	1832580-1046559-3	4-1-2632959	8965143-0-3	6474371-4-3	7548594-3-1	966978-5872756-3	9491039-3-1	1-8789010-1	1-3-285272	9303804-4-1519138	1-4-6930233	31689-4-5910369	1-1676979-3	1-4-6273992	1-1443946-3	1-7032431-1	1-4551189-1	8330911-4-3	5007301-4-5910369	6618053-4693009-4876038	1-4-6744212	1-5668141-3	4328871-3-1	0-0-3	1-9113436-5910369	1-4-5910369	5680517-4-3	1-362613-3	9303804-4-3456253	7035065-3-1	1-4-1383148	6456539-4-5910369	1-4-5197198	1-4-5751523	2329216-0-3	8795687-4-3	1-5230202-3	2-2-1	152082-4-3	8251099-4-3	1-3-8164662	9707522-3-1	4-520309-0	1-3-9304164	1-3-1	2-8852973-1	1-3699611-3	2263114-4557883-3	1832580-4-3	1832580-1148622-3	1-4-3	5614429-3-1	4184380-4-3	1-4-7121227	1-4864416-1	3050237-4-3	1-147071-4876038	1-6041815-3	6618053-3-4876038	1-6073972-3	2524837-3820565-1	5075875-4-3	4-1-0	966978-4-3	152082-4-4563955	836909-4-3	2263114-4-3	1-4-2453527	1-3-5034828	6664822-4-3	9670416-6073972-3	1-3-8187886	9303804-4-3	1-5590524-1	4-5463324-0	312703-4-3
assemblage-581-474	0	0	0	0	0	16	73	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	55	0	0	9	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	33	0	0	9
assemblage-227-549	0	0	0	0	0	0	6	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	186	0	0	0	22	0	97	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	49	0	0	0	0	0	50	0	0	34
assemblage-606-491	0	0	0	0	0	0	15	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	164	0	0	0	23	0	108	0	0	0	0	0	0	0	0	32	0	0	5	0	0	0	28	0	0	0	0	0	44	0	0	33
assemblage-673-568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	55	0	0	0	0	0	207	0	0	25	0	0	0	0	0	0	0	0	47	16	0	0	10	0	0	0	0	0	4	0	0	23
assemblage-702-358	0	0	0	0	0	0	16	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	9	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	15	0	97	0	0	0	0	0	0	0	0	20	0	0	9	0	0	0	29	0	0	0	0	0	50	0	0	31
assemblage-494-372	0	0	0	0	0	0	30	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	6	0	0	0	10	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	36	8	99	0	0	0	0	0	0	0	0	8	0	0	11	0	0	0	37	0	0	0	0	0	51	0	0	12
assemblage-558-310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	32	0	0	0	0	0	178	0	0	50	0	0	0	0	0	0	2	0	79	28	0	0	0	0	0	0	0	0	0	0	0	39
assemblage-497-574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	163	0	0	0	0	0	186	0	0	0	0	4	0	0	0	26	0	0	3	0	0	0	30	0	0	0	0	0	41	0	0	28
assemblage-605-473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	6	0	0	23	0	0	0	0	0	0	63	0	0	0	0	0	146	0	0	31	0	0	0	0	0	0	5	0	52	67	0	0	0	0	0	0	0	0	0	0	0	44
assemblage-348-355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	11	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	97	0	0	0	0	0	213	0	13	11	0	0	0	0	0	12	0	0	29	0	0	0	14	0	5	0	0	0	30	0	0	31
assemblage-616-507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	32	0	0	0	0	0	135	0	0	36	0	0	0	0	0	0	0	0	120	40	0	0	0	0	0	0	0	0	0	0	6	36
assemblage-532-354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	133	0	0	0	0	0	196	0	0	0	0	0	0	0	0	26	0	0	5	0	0	0	21	0	0	0	0	0	41	0	0	48
assemblage-363-547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	66	0	0	0	0	0	193	0	0	31	0	0	0	0	0	0	0	0	48	4	0	0	13	0	0	0	0	0	14	0	0	38
assemblage-529-629	0	0	0	0	0	12	75	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	79	0	0	12	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	68	0	0	11
assemblage-707-574	0	0	0	12	0	19	41	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	86	0	0	8	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	58	0	0	24
assemblage-363-465	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	69	0	0	0	0	0	181	0	0	17	0	0	0	0	0	0	0	0	52	0	0	0	10	0	0	0	0	0	16	0	0	39
assemblage-368-631	0	0	0	17	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	17	0	0	0	0	10	0	0	0	39	0	0	3	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	139	0	0	0	7	0	115	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	19	0	0	0	0	0	28	0	0	30
assemblage-411-672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	12	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	121	0	0	0	0	0	207	0	0	19	0	0	0	0	0	18	0	0	32	0	0	0	21	0	8	0	0	0	12	0	0	16
assemblage-348-464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	14	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	96	0	0	0	0	0	193	0	0	10	0	9	0	0	0	23	0	0	39	0	0	0	27	0	12	0	0	0	14	0	0	13
assemblage-698-498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	140	0	0	0	0	0	189	0	0	0	0	0	0	0	0	26	0	0	8	0	0	0	15	0	0	0	0	0	43	0	0	42
assemblage-497-493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	11	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	90	0	0	0	0	0	176	0	0	33	0	0	0	0	0	0	0	0	58	5	0	0	6	0	0	0	0	0	3	0	0	25
assemblage-409-524	0	0	0	6	0	0	25	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	5	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	138	0	0	0	15	0	147	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	20	0	0	0	0	0	33	0	0	25
