Assemblage_Name	1043442-4-1472542	1217247-4-6775379	4-4748766-2100757	162894-4748766-3	3-9068777-2	4-4748766-3	4-4-6775379	3-1-2	4-2175226-3	811218-4379212-2	4-137473-3	4-220099-3	811218-3-390928	4-5006292-3	4-1073686-3	4-3221010-3	1-9073812-3	4-1543776-3	0-0-4	9543974-4-3	6673487-6002430-3	8120452-8596222-3	4-4-395929	811218-3188780-2	3-9041625-3179699	1063807-4748766-3	4-4748766-7411675	5347388-3-8362551	7997158-4-3	754608-4-3	4-8596222-3	3-9041625-5998064	1545235-4748766-3	811218-3-4372617	3-3-2	1949563-4-3	811218-3-8542671	2109182-4-3	3-9041625-2	4-4-8839664	4-3-0	1043442-4-3	624605-4-3	4-4-8726672	3-3-6147646	1-4-4782632	811218-3-2	4-4-9505848	4-4781806-3	9913308-4-3	5529921-4-3	3486646-4-9505848	4-9423680-3	4-4-631641	211564-7002494-2485146	1-4-3	4-4781806-4212826	4-3425119-3	6361050-3-2	7480046-1-2	1-4-6049923	4-4748766-6298675	1549130-4-3	4-1149537-3	0-0-7768438	4-2174075-3	3-7002494-2	1117770-4-3	4-4846243-2100757	1-1600200-3	4914092-4-3	4-4534339-3	4-4-3	1-4-6274785	9253059-4-3	4-4748766-2386001	211564-7002494-2	4-4368552-3	9661428-3-2	4-4557039-3	6165475-4-631641
assemblage-392-572	0	0	0	0	0	0	32	17	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	6	0	0	0	0	0	20	0	0	0	0	0	0	36	0	22	0	0	0	6	0	0	0	0	2	0	10	0	0	0	0	0	221	0	0	0	12	0	0	0	27
assemblage-575-573	0	7	0	0	0	130	34	0	0	10	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	13	0	0	0	19	0	0	7	0	0	0	0	29	0	0	0	0	0	0	0	0	81	0	17	0	0	0	0	0	0	0	0	25	0	0	0	0	0	98	0	0	0	0	0	0	0	14
assemblage-524-415	0	0	0	0	0	50	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	65	0	0	0	38	0	0	4	0	0	0	0	38	39	0	11	0	0	0	0	0	56	0	0	0	0	0	4	0	0	0	0	11	0	0	0	0	0	132	0	0	0	16	0	0	0	10
assemblage-489-537	0	0	0	0	0	115	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	59	0	0	0	25	0	0	9	0	0	0	0	19	12	0	9	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	126	0	0	0	17	0	0	0	26
assemblage-392-579	0	0	0	0	0	118	58	0	0	12	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	17	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	91	0	15	0	0	0	0	0	0	0	0	17	0	0	0	0	0	102	0	0	0	0	0	0	0	27
assemblage-551-726	0	3	8	0	0	84	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	26	0	6	0	15	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	94	0	31	0	0	16	0	0	0	0	0	3	0	0	0	0	0	90	0	0	0	0	11	0	0	18
assemblage-478-397	0	15	0	0	0	88	45	0	0	11	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	16	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	91	0	10	0	0	0	0	0	0	0	0	41	0	0	0	0	0	102	0	0	0	0	0	0	0	38
assemblage-462-633	0	0	6	0	0	93	68	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	12	0	0	23	0	0	0	0	13	0	0	0	0	0	0	0	0	38	0	8	0	0	0	0	0	0	0	0	28	10	0	0	0	0	121	0	0	0	6	0	0	0	21
assemblage-524-551	0	0	15	0	0	58	52	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	18	0	0	8	0	0	0	0	23	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	21	18	0	0	0	0	182	0	0	0	9	0	0	0	15
assemblage-269-372	0	0	0	0	0	0	9	26	0	0	6	0	0	0	0	0	8	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	10	25	0	0	8	0	17	0	0	0	6	0	0	29	0	22	0	0	0	0	0	0	0	0	0	0	7	0	0	7	0	0	176	0	0	0	27	0	0	0	15
assemblage-452-335	0	0	0	0	0	28	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	21	0	0	38	0	0	0	0	11	17	0	0	0	0	0	18	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	5	0	0	31	0	0	0	25
assemblage-433-587	0	0	38	0	0	56	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	30	0	0	0	5	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	25	0	40	0	0	20	0	0	0	0	9	8	0	0	0	0	0	146	0	0	0	0	0	0	0	17
assemblage-510-497	0	0	11	0	0	83	47	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	18	0	0	12	0	0	0	0	23	0	0	0	0	0	0	5	0	38	0	0	0	0	0	0	0	0	0	0	43	10	0	0	0	0	148	0	0	0	0	0	0	0	22
assemblage-327-510	0	0	0	0	0	0	28	23	0	0	0	0	0	0	0	0	0	0	37	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	7	9	0	0	0	0	12	0	8	0	18	0	0	33	0	30	0	0	0	7	0	0	0	0	0	0	6	0	0	0	0	0	183	0	0	0	22	0	0	0	16
assemblage-550-443	0	0	0	0	0	52	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	32	0	0	9	0	0	0	0	7	46	0	9	0	0	0	14	0	33	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	178	0	0	0	27	0	0	0	23
assemblage-544-701	0	7	12	0	0	54	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	21	0	0	0	11	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	95	0	13	0	0	12	0	0	0	0	0	9	0	0	0	0	0	96	0	0	0	0	9	0	0	26
assemblage-522-470	0	0	0	0	0	0	28	18	0	0	0	0	0	0	0	0	10	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	7	27	0	0	0	0	23	0	0	0	7	0	0	66	0	21	0	0	0	3	0	0	0	6	0	0	9	0	0	0	0	0	168	0	0	0	25	0	0	0	19
assemblage-678-696	0	0	0	0	0	82	62	0	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	19	0	0	0	21	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	60	0	12	0	0	0	0	0	0	0	0	41	0	0	0	0	0	124	0	0	0	0	0	0	0	39
assemblage-430-391	0	2	17	0	0	62	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	16	0	0	0	25	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	75	0	27	0	0	18	0	0	0	0	0	6	0	0	0	0	0	77	0	0	0	0	7	0	0	27
assemblage-499-597	0	0	0	0	0	72	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	41	0	0	0	0	0	0	0	17	28	0	8	0	0	0	10	0	43	0	0	0	0	0	18	0	0	0	0	4	0	0	0	0	0	133	0	0	0	24	0	0	0	19
assemblage-499-594	0	0	20	0	0	42	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	31	0	20	0	0	20	0	0	0	0	8	0	0	0	0	0	0	124	0	0	0	0	0	0	0	21
assemblage-605-626	0	0	0	0	0	28	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	23	0	0	56	0	0	0	0	5	15	0	0	0	0	0	24	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	4	0	0	41	0	0	0	29
assemblage-368-461	0	0	0	0	0	9	8	8	0	0	0	0	0	0	0	0	8	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	12	0	0	45	0	0	0	0	14	2	0	0	0	0	0	19	0	18	0	0	0	0	0	0	0	12	0	0	17	0	0	0	0	0	226	9	0	0	27	0	0	0	18
