Assemblage_Name	8501377-4-4	1-0-0	4-6666364-2	0-4-2	1083166-2-3	6353971-0-2	2-4-7711776	4-3557695-2	4-0-2	3-1-2	9288241-0-2	2-4-7810713	7800318-3-2	5496186-4-3	2-8378216-3	2-4-3	4-0-6895366	4-2-1	7451169-0-2	4-0-6634758	3-4253551-3	1-2-4	8944643-4-3	4-0-945479	3-4-3	4-3-2	3-2-3	4065368-4-3	9475619-0-2	6783646-3-2
assemblage-575-628	0	25	2	0	0	0	0	0	236	15	0	0	0	0	0	79	0	8	0	0	0	0	0	0	0	52	80	0	0	3
assemblage-504-605	0	0	0	0	0	56	0	20	146	95	0	0	0	0	0	17	0	0	14	0	0	0	76	0	0	66	4	0	0	6
assemblage-505-604	0	24	0	0	0	0	0	0	219	9	0	0	0	0	0	82	0	23	0	0	0	0	0	0	12	44	87	0	0	0
assemblage-593-363	0	14	0	10	0	0	0	0	163	6	0	0	0	0	0	130	0	27	0	0	0	0	0	0	27	15	97	0	0	11
assemblage-494-568	0	7	0	16	0	0	0	0	101	13	0	5	0	0	0	83	0	26	0	0	0	0	0	0	50	34	141	0	0	24
assemblage-485-592	0	0	0	0	0	0	0	0	188	44	0	0	0	0	0	22	0	0	0	0	0	0	73	0	0	94	69	0	0	10
assemblage-401-274	0	0	0	0	5	0	0	0	178	44	0	0	0	0	0	30	0	0	0	0	0	0	78	0	0	92	71	0	0	2
assemblage-554-462	0	6	0	0	0	0	0	0	235	48	0	0	0	0	0	29	0	0	0	0	0	0	12	0	0	40	126	0	0	4
assemblage-586-332	0	8	0	23	0	0	0	0	101	19	0	0	0	0	0	112	0	24	0	0	0	0	0	0	40	36	124	4	0	9
assemblage-459-519	6	7	0	10	0	0	0	0	88	10	0	7	0	0	0	119	0	21	0	0	0	0	0	0	38	48	132	0	0	14
assemblage-407-621	0	18	0	0	0	0	0	0	214	14	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	48	88	0	0	21
assemblage-494-697	0	32	0	0	0	0	0	0	215	20	0	0	0	0	0	61	0	0	0	0	0	0	9	0	0	39	112	0	0	12
assemblage-614-342	0	0	0	0	0	57	0	11	159	88	0	0	0	0	0	24	0	0	12	0	0	0	76	0	0	65	0	0	0	8
assemblage-627-533	0	0	0	0	0	0	0	0	209	49	0	0	0	0	0	40	0	0	0	0	0	0	57	0	0	69	73	0	0	3
assemblage-559-406	0	0	0	0	0	55	0	12	164	81	0	0	0	0	0	15	0	0	10	0	0	0	81	0	0	77	0	0	0	5
assemblage-459-453	0	0	0	0	0	0	0	0	219	78	0	0	0	0	0	20	0	0	0	0	0	0	67	0	0	51	54	0	0	11
assemblage-360-364	0	0	0	0	0	0	0	0	230	54	0	0	0	0	0	28	0	0	0	0	0	0	64	0	0	79	38	0	0	7
assemblage-381-517	0	17	0	0	0	0	0	0	186	14	0	0	0	0	0	99	0	24	0	0	0	0	0	0	23	42	94	0	0	1
assemblage-469-395	0	0	0	0	0	33	0	9	170	87	0	0	0	0	0	10	0	0	0	0	0	0	98	0	0	82	0	0	0	11
assemblage-528-503	0	9	0	0	0	0	0	0	250	10	0	0	0	0	0	82	0	7	0	0	0	0	0	0	0	54	85	0	0	3
assemblage-636-465	0	22	0	0	0	0	0	0	210	11	0	0	0	0	0	92	0	27	0	0	0	0	0	0	10	43	84	0	0	1
assemblage-541-555	0	21	0	0	0	0	0	0	226	26	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	38	94	0	0	7
assemblage-541-557	0	0	0	0	0	27	0	15	159	101	0	0	0	0	0	15	0	0	0	0	0	0	101	0	0	75	6	0	0	1
assemblage-540-418	0	6	0	11	0	0	0	0	171	3	0	0	0	0	0	120	0	24	0	0	0	0	0	0	39	13	109	0	0	4
assemblage-631-625	0	4	0	0	0	0	0	0	207	59	0	0	0	0	0	24	0	0	0	0	0	0	31	0	0	30	135	0	0	10
assemblage-483-389	0	0	0	0	0	0	0	0	234	61	0	0	0	0	0	26	0	0	0	0	0	0	54	0	0	80	39	0	0	6
assemblage-376-551	0	24	0	0	0	0	0	0	225	14	0	0	0	0	0	66	0	9	0	0	0	0	0	0	0	73	86	0	0	3
assemblage-364-569	0	17	0	0	0	0	0	0	190	32	0	0	0	0	0	70	0	34	0	0	0	0	0	0	23	33	97	0	0	4
assemblage-438-372	0	0	0	0	0	69	0	7	148	96	0	0	0	0	0	8	0	0	10	0	0	0	67	0	0	91	0	0	0	4
assemblage-474-577	0	12	0	0	0	0	0	0	242	13	0	0	0	0	0	59	0	11	0	0	0	0	0	0	0	77	82	0	0	4
assemblage-313-642	0	6	0	24	0	0	0	0	68	20	0	11	0	0	0	117	0	17	0	0	0	0	0	0	77	31	109	0	9	11
assemblage-445-389	0	0	0	0	0	28	0	7	164	82	0	0	0	0	0	10	0	0	0	0	0	0	105	0	0	97	0	0	0	7
assemblage-610-367	0	0	0	0	0	0	0	0	224	59	0	0	0	0	0	42	0	0	0	0	0	0	55	0	0	83	27	0	0	10
assemblage-635-521	0	0	0	0	0	0	0	0	213	46	0	0	0	0	0	26	0	0	0	0	0	0	62	0	0	82	62	0	0	9
assemblage-454-506	0	0	0	0	0	0	0	0	182	70	0	0	0	0	0	25	0	0	0	0	9	0	62	0	0	81	60	0	0	11
assemblage-617-450	0	3	0	0	0	0	0	0	176	43	0	0	0	0	0	39	0	0	0	0	0	0	24	0	0	45	161	0	0	9
assemblage-508-652	0	19	0	0	0	0	0	0	202	16	0	0	0	0	0	77	0	34	0	0	0	0	0	0	10	42	97	0	0	3
assemblage-510-424	0	21	0	0	0	0	0	0	219	24	0	0	0	0	0	95	0	10	0	0	0	0	0	0	0	43	84	0	0	4
assemblage-700-366	0	0	0	0	0	49	0	4	179	74	0	0	0	0	0	16	0	0	7	0	0	0	79	0	0	89	0	0	0	3
assemblage-391-442	0	11	0	19	0	0	0	0	149	12	0	0	0	0	0	137	0	13	0	0	0	0	0	0	46	13	89	0	0	11
assemblage-537-564	0	16	0	0	0	0	0	0	268	11	0	0	0	0	0	80	0	6	0	0	0	0	0	0	0	53	64	0	0	2
assemblage-472-392	5	4	0	16	0	0	0	0	86	17	0	13	0	0	0	95	0	34	0	0	0	0	0	0	54	30	123	12	0	11
assemblage-446-389	0	25	0	0	0	0	0	0	191	6	0	0	0	0	0	112	0	28	0	0	0	0	0	0	14	40	83	0	0	1
assemblage-486-541	4	13	0	17	0	0	0	0	90	19	0	0	0	0	0	85	0	45	0	0	0	0	0	0	40	29	143	7	0	8
assemblage-613-581	0	2	0	0	0	0	0	0	184	61	0	0	0	0	0	32	0	0	0	0	0	0	61	0	0	82	73	0	0	5
assemblage-503-562	0	0	0	0	0	16	0	19	168	86	0	0	0	0	0	14	0	0	0	0	0	0	85	0	0	108	4	0	0	0
assemblage-396-594	0	13	0	13	0	0	0	0	167	11	0	0	0	0	0	122	0	26	0	0	0	0	0	0	29	12	105	0	0	2
assemblage-345-414	0	5	0	23	0	0	0	0	110	18	0	0	0	0	0	113	0	27	0	0	0	0	0	0	45	30	103	0	6	20
assemblage-365-367	0	16	0	0	0	0	0	0	187	20	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	52	132	0	0	5
assemblage-553-459	0	0	0	0	0	66	0	6	143	81	0	0	0	0	0	28	0	0	24	0	0	0	76	0	0	71	0	0	0	5
assemblage-471-212	0	38	0	0	0	0	0	0	207	4	0	0	0	0	0	73	0	23	0	0	0	0	0	0	8	44	99	0	0	4
assemblage-505-378	0	0	0	0	0	0	0	0	157	57	0	0	0	0	0	34	0	0	0	0	0	0	70	0	0	95	81	0	0	6
assemblage-589-392	0	0	0	0	0	0	0	0	197	56	0	0	0	0	0	33	0	0	0	0	0	0	77	0	0	78	49	0	0	10
assemblage-648-407	0	32	0	0	0	0	0	0	211	12	0	0	0	0	0	71	0	28	0	0	0	0	0	0	25	36	81	0	0	4
assemblage-626-554	0	8	0	7	0	0	0	0	173	4	0	0	0	0	0	104	0	30	0	0	0	0	0	0	51	23	97	0	0	3
assemblage-531-387	0	0	0	0	0	61	0	18	153	68	0	0	0	0	0	19	0	0	11	0	0	0	83	0	0	74	6	0	0	7
assemblage-383-552	0	0	0	0	0	50	0	17	141	114	0	0	0	0	0	22	0	0	6	0	0	0	72	0	0	64	7	0	0	7
assemblage-525-530	0	18	0	0	0	0	0	0	206	20	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	42	125	0	0	13
assemblage-543-450	0	32	0	0	0	0	0	0	266	10	0	0	0	0	0	66	0	4	0	0	0	0	0	0	0	41	78	0	0	3
assemblage-365-560	0	15	0	0	0	0	0	0	194	40	0	0	0	0	0	46	0	0	0	2	0	0	26	0	0	44	130	0	0	3
assemblage-696-222	0	0	0	0	0	0	0	0	157	73	0	0	0	0	0	29	0	0	0	0	0	0	80	0	0	92	61	0	0	8
assemblage-393-475	0	12	0	16	0	0	0	0	161	3	0	0	0	0	0	123	0	23	0	0	0	0	0	0	31	15	108	0	0	8
assemblage-703-427	0	18	0	0	0	0	0	0	237	19	0	0	0	0	0	97	0	5	0	0	0	0	0	0	0	47	74	0	0	3
assemblage-394-542	0	0	0	0	0	0	0	0	188	44	0	0	0	0	0	40	0	0	0	0	0	0	70	0	0	78	77	0	0	3
assemblage-619-342	0	0	0	0	0	0	0	0	182	64	0	0	0	0	0	35	0	0	0	0	0	0	51	0	0	107	55	0	0	6
assemblage-681-571	0	0	0	0	0	35	0	10	156	82	0	0	0	0	0	14	0	0	0	0	0	0	97	0	0	98	6	0	0	2
assemblage-534-324	0	19	0	0	0	0	0	0	253	19	0	0	0	0	0	64	0	11	0	0	0	0	0	0	0	63	67	0	0	4
assemblage-665-539	0	21	0	0	0	0	0	0	183	22	0	0	0	0	0	73	0	32	0	0	0	0	0	0	19	31	116	0	0	3
assemblage-621-693	0	0	0	0	0	0	0	0	185	62	0	0	0	0	0	20	0	0	0	0	0	0	80	0	0	82	62	0	0	9
assemblage-349-494	0	0	0	0	0	0	0	0	172	58	0	0	0	0	0	47	0	0	0	0	0	0	55	0	0	90	71	0	0	7
assemblage-580-655	0	0	0	0	0	51	0	8	164	103	0	0	0	0	0	16	0	0	9	0	0	0	77	0	0	60	0	0	0	12
assemblage-582-447	0	5	0	0	0	0	0	0	205	64	0	0	0	0	0	34	0	0	0	0	0	0	28	0	0	38	123	0	0	3
assemblage-390-620	0	6	0	10	0	0	0	0	151	5	0	0	0	0	0	125	0	23	0	0	0	0	0	0	30	21	118	0	0	11
assemblage-543-638	0	0	0	0	0	0	0	0	184	56	0	0	0	0	0	39	0	0	0	0	0	0	74	0	0	88	52	0	0	7
assemblage-645-556	0	6	0	6	0	0	0	0	174	0	0	0	0	0	0	141	0	27	0	0	0	0	0	0	31	20	83	0	0	12
assemblage-515-587	0	0	0	0	0	0	0	0	181	36	0	0	0	0	0	29	0	0	0	0	0	0	15	0	0	44	190	0	0	5
assemblage-523-494	0	28	0	22	0	0	0	0	64	16	0	8	0	0	0	87	0	29	0	0	0	0	0	0	67	28	126	0	0	25
assemblage-392-572	0	9	0	30	0	0	0	0	75	16	0	0	0	0	0	101	0	20	0	0	0	0	0	0	54	61	123	0	0	11
assemblage-575-573	0	0	0	0	0	0	0	0	197	67	0	0	0	0	0	28	0	0	0	0	0	0	70	0	0	73	58	0	0	7
assemblage-524-415	0	2	0	0	0	0	0	0	209	44	0	0	0	0	0	34	0	0	0	0	0	0	16	0	0	52	133	0	0	10
assemblage-489-537	0	6	0	0	0	0	0	0	211	47	0	0	0	0	0	36	0	0	0	0	0	0	31	0	0	39	128	0	0	2
assemblage-392-579	0	0	0	0	0	0	0	0	194	61	0	0	0	0	0	30	0	0	0	0	0	0	70	0	0	96	46	0	0	3
assemblage-551-726	0	0	0	0	0	36	0	13	157	103	0	0	0	0	0	6	0	0	0	0	0	0	82	0	0	91	0	0	0	12
assemblage-478-397	0	0	0	0	0	0	0	0	191	62	0	0	0	0	0	32	0	0	0	0	0	0	69	0	0	103	41	0	0	2
assemblage-462-633	0	9	0	0	0	0	0	0	167	48	0	0	0	0	0	38	0	0	0	0	0	0	75	0	0	82	76	0	0	5
assemblage-524-551	0	0	0	0	0	0	0	0	184	54	0	0	0	0	0	23	0	0	0	0	0	0	68	0	0	74	88	0	0	9
