Assemblage_Name	7974279-2207312-3	0-528526-3	7574058-5155108-1	821929-8044144-1	7954219-3884461-4	7574058-4-5909	3615943-1-1	7574058-4-1	3-5437407-3	5279061-0-3	4-3610470-3	3-9692364-3	3814593-2207312-3	513475-0-9212060	2-2108495-6453549	2-4-6453549	3-2207312-3	9413297-0-1	7574058-4-1236427	2582741-2207312-3	6872228-1-1	4122158-4-1	821929-4-7253315	1-1-1	4963336-0-2	7574058-4-1755497	3-3-0	2038592-4-1	821929-4780714-1	7913486-2207312-3	2-4-3210823	7830524-631000-1	6776560-0-2	4-5094313-8595641	7574058-2300963-6680392	0-6057807-3	3615943-1-8015757	7574058-2442403-1	3387219-2-1	7574058-4-7662975	3-2757718-3	1-5732977-1	4-3-3	4-8402661-951790	304532-6024111-1	6776560-0-3041753	0-3884461-4	436631-2-1	7574058-4-490462	513475-0-2	3-8939994-3	513475-8898551-2	5863736-3610470-3	2-1306929-1	1914395-9096436-1	3615943-1-5648915	783611-2-4	9646823-0-3	4-3610470-951790	7574058-2300963-1170370	7574058-4-2218619	3-2207312-3975221	0-2-3	0-2-0	0-2-4	7574058-2300963-3258393	3-2207312-326398	821929-4-1	4-5075462-3	4-2-1	7574058-2300963-1	513475-0-332405	9301939-4-1	9297642-2207312-3	3-2207312-1514126	3-9271411-3	4-3-4983700	0-8783186-4	1-0-3	1-6024111-1	2850944-1-1	7574058-4-7665662	1914395-4-1	1-631000-1	594932-4-490462	3615943-1-4285462	2-4-3609047	4863846-4-1	2253879-4-1	2-4-1	7574058-3071726-1	196349-3610470-3	8974256-0-2	5206438-0-2	6932268-3-0	2-4766687-3609047	7574058-2300963-8434838	4-5094313-3	4-1074577-0	4-5585449-1	3788200-1-1
assemblage-616-507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	30	0	0	0	0	0	16	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	4	0	28	7	0	24	0	0	0	0	0	0	0	0	0	0	0	0	44	9	67	0	0	45	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	42
assemblage-532-354	0	0	0	0	0	0	42	26	0	0	49	0	0	0	0	27	56	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	89	0	0	0	0	0	0	0	0	0	0	33	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
assemblage-363-547	0	0	0	0	0	0	20	0	0	0	59	0	0	0	0	0	28	33	0	0	0	0	0	20	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	6	0	0	92	0	0	0	0	0	0	9	0	0	0	0	0	28	0	69	0	0	52	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	10
assemblage-529-629	0	0	0	0	0	0	115	62	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	30	0	9	0	0	0	0	0	0	0	0	33	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-707-574	0	0	0	0	0	0	112	50	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	43	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-363-465	0	0	0	0	0	0	5	0	0	0	34	0	0	0	0	0	19	7	0	0	0	0	0	28	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	10	0	7	0	0	96	0	0	0	0	0	0	13	0	0	0	0	0	24	0	80	0	0	80	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	15
assemblage-368-631	0	0	4	0	0	0	52	64	0	6	0	0	0	0	0	0	127	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	38	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	15	0	0	51	0	0	0	0	0	0	0	37	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-411-672	0	0	0	0	0	0	5	0	0	0	53	0	0	0	0	34	36	9	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	3	0	0	91	0	0	0	0	0	0	14	0	13	0	0	0	9	0	45	0	0	87	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	24
assemblage-348-464	0	0	0	0	0	0	17	0	0	0	41	0	0	0	0	23	41	10	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	91	0	0	0	0	0	0	10	0	0	0	0	0	3	0	31	0	0	141	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	33
assemblage-698-498	0	0	0	0	0	0	35	11	0	0	43	0	0	0	0	29	77	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	11	0	5	0	0	88	0	0	0	0	0	0	0	0	0	0	28	0	0	0	17	0	0	0	0	0	0	0	0	0	0	6	0	0	0	10	0	0	15
assemblage-497-493	0	0	0	0	0	0	7	0	0	0	58	0	0	0	0	0	12	23	0	0	0	0	0	14	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	3	0	0	97	0	0	0	0	0	0	8	0	0	0	0	0	28	0	67	0	0	64	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	13	0	6	0	0	0	0	0	0	0	0	17
assemblage-409-524	0	0	6	0	0	0	53	91	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	65	0	0	0	0	0	0	0	36	0	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	19
assemblage-696-326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	24	0	0	0	0	0	8	0	0	24	22	0	0	0	0	0	0	0	0	0	0	6	0	0	0	60	0	0	0	38	4	0	28	0	0	0	0	0	0	0	0	0	0	0	0	53	15	60	0	0	54	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	22
assemblage-404-579	0	4	0	0	0	0	50	14	0	0	47	0	0	0	0	26	78	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	83	0	0	0	0	0	0	0	0	0	0	27	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-596-514	0	0	5	0	0	0	45	70	0	9	0	0	0	0	0	0	115	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	73	0	0	0	0	0	0	0	20	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-387-549	0	0	0	0	0	0	75	57	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	21	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	106	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-612-665	0	0	0	0	0	0	105	52	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-432-615	0	0	0	0	0	0	51	25	0	0	60	0	0	0	0	44	61	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	11	0	7	0	0	70	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10
assemblage-767-668	0	0	0	0	0	0	24	49	0	7	24	0	0	0	0	0	99	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	24	0	0	0	0	0	0	0	37	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	16
assemblage-525-510	0	0	0	0	0	0	26	50	0	0	14	0	0	0	0	0	101	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	24	0	0	0	0	0	0	0	24	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	35
assemblage-543-479	0	0	10	0	0	0	58	85	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	69	0	0	0	0	0	0	0	26	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-275-306	0	0	7	0	0	0	48	89	0	4	0	0	0	0	0	0	120	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	58	0	0	0	0	0	0	0	30	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-436-616	0	0	0	0	0	0	110	80	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	16	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-535-590	0	0	0	0	0	0	28	75	0	14	7	0	0	0	0	0	111	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	6	0	0	0	0	0	0	0	16	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	16
assemblage-496-517	0	0	0	0	0	0	12	0	0	0	39	0	0	0	0	17	43	13	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	113	0	0	0	0	0	0	8	0	0	0	0	0	4	0	24	0	0	125	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	26
assemblage-511-550	0	0	0	0	0	0	12	0	0	0	42	0	0	0	0	25	18	10	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	11	0	0	97	0	0	0	0	0	0	9	0	0	0	0	0	7	0	40	0	0	108	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	32
assemblage-565-445	0	0	0	0	0	0	59	109	0	3	0	0	0	0	0	0	105	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	42	0	0	0	0	0	0	0	29	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-392-520	0	0	0	0	0	0	130	53	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-529-483	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	19	28	0	0	0	0	0	12	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	21	6	0	45	0	0	0	0	0	0	0	0	0	0	0	0	38	11	52	0	0	62	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	26
assemblage-530-503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	31	0	0	0	0	0	8	0	0	28	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	8	0	19	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	70	11	57	0	0	52	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	30
assemblage-663-385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	13	0	0	0	0	0	24	0	0	34	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	10	9	0	30	0	0	0	0	0	0	0	0	0	0	0	0	47	28	38	0	0	62	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	35
assemblage-548-384	0	0	0	0	0	0	4	0	0	0	63	0	0	0	0	0	18	13	0	0	0	0	0	14	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	8	0	7	0	0	90	0	0	0	0	0	0	9	0	0	0	0	0	21	0	85	0	0	68	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	17
assemblage-499-650	0	0	0	0	0	0	24	30	0	0	26	0	0	0	0	14	146	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	29	0	0	0	14	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-291-504	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	28	24	0	0	0	0	0	9	0	0	33	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	30	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	52	27	66	0	0	67	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	23
assemblage-436-466	0	0	0	0	0	0	90	48	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	23	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	106	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-502-519	0	0	0	0	0	0	142	61	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	17	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
