Assemblage_Name	2-7748413-143682	1-8856005-4496511	5938661-2-2	2-6128381-3	8273525-7621349-3	2-1266365-3	1674078-2-1	1-2220108-1	7011820-3-7078637	5651021-7194410-1270782	2-7885305-1270782	5827985-3-8190683	6396597-2-3	3-2338383-3	2-4-2493388	9413295-5713577-1270782	6248735-6128381-3	9104846-4-143682	4-837673-6423603	4-8592483-1	4-8626599-3	3-2-3	1-2-4335505	3-8185073-3	4-6724181-3	1464827-3-0	4-2-1500939	3231876-4-3	3559313-1-3	6652238-7621349-3	9413295-4-9333619	5100994-4-1270782	7367320-2-3	2-4-143682	2-737407-143682	5827985-3-0	2-4-3	4-2-7353485	4-8990699-1	4-2-9480375	1-2-1	4-2-2765993	4-3-0	1260061-4-143682	7192562-837673-7483800	2-2-1	2-4-6916402	0-787345-2	4-2-8413664	4-6104783-3	2-8340330-3	3849597-1-3	4-2-1064316	6652238-6272890-3	4-837673-3	2-7194410-1270782	0-2-2	2-4-2856861	2-2170712-143682	9413295-4-1270782	5138994-2-1	4-2-3	4-2-1	3559313-1-5258562	2-7882508-143682	2-2-7072932	2-4-1270782	1-2-4496511	6147432-2-3	5827985-3-7078637	9263013-2-3	2-4-8024483	2-4242436-3	2-7868930-3	4960978-3-5653739	2-8927348-143682	4-2-7538358	4-0-4	4960978-3-2	4-2-7776328	2433045-3-8190683	6396597-2-5533167	4-9679683-4	2-4-4968652	4-2-590978	6652238-7621349-441427	4-2-1901796
assemblage-581-474	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	28	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	25
assemblage-227-549	0	0	0	0	11	0	0	0	0	0	0	15	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	12	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	9	0	0	0	178	107	0	0	0	4	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	27
assemblage-606-491	0	0	0	0	0	0	0	0	0	0	0	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	7	35	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	178	116	0	0	0	11	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	59
assemblage-673-568	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	19	0	0	0	37	0	30	46	0	0	0	34	0	39	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	19	0	79	18	0	0	0	44	7	0	4	0	0	0	0	15	0	0	0	18	0	0	0	0	0	0	2	45
assemblage-702-358	0	0	0	0	2	0	0	0	0	0	0	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	11	48	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	171	107	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	51
assemblage-494-372	0	0	0	0	5	0	0	0	0	0	0	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	9	43	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	190	125	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	29
assemblage-558-310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	6	0	0	0	0	0	0	29	23	0	0	0	16	0	38	28	0	0	0	30	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	13	0	38	35	0	0	0	69	8	0	0	0	0	0	0	0	0	0	20	17	0	0	0	0	0	0	0	60
assemblage-497-574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	12	0	0	0	0	94	0	18	102	0	0	0	35	0	1	0	0	0	8	0	0	0	0	0	0	0	0	21	0	0	0	0	0	76	22	0	0	0	23	0	0	0	0	0	0	0	18	9	0	0	8	8	0	0	0	0	0	0	41
assemblage-605-473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	9	0	0	0	0	0	0	32	24	0	0	0	12	0	41	38	0	0	0	36	0	51	0	0	0	0	9	0	0	0	0	0	0	0	5	11	0	0	6	0	27	35	0	0	0	70	9	0	0	0	0	0	0	0	0	0	4	17	0	0	0	0	0	0	0	50
assemblage-348-355	0	3	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	25	9	0	0	0	53	0	14	107	0	0	0	30	0	42	0	0	0	0	0	0	0	0	8	0	0	0	15	0	0	0	17	0	65	12	0	0	0	24	0	0	0	0	0	0	0	29	0	0	0	2	0	0	0	0	0	0	8	24
