Assemblage_Name	2-6345292-4	3-0-1415202	2-1-5349841	3530954-1-1	580235-3-0	3-2623277-4	3-1-1	3031050-1-3	2-8246421-3	2-4034816-1	2-1-8555	2820048-3-7665263	4-3-4327620	2-8481056-1	2-1-2	2-1-3	2-1-1	4-8100764-0	6587182-3-0	3-2-2	1-1-9139356	1-1-1	2-9716358-1	3-0-9549029	3-2-1	3067872-0-4	2-1-7341837	2-1-8773733	2-1-7693678	4-3-0	4-3-5736744	2-2-2	4-3-9853763	1175756-1-1	2-2-7747954	7733678-0-4	3-7012255-4	474928-8078794-1	2-2853887-1	2-7020053-2	2-4340492-3	2681821-0-9549029	87464-1-1	4-3-1194034	474928-1-1	8884271-3-0	1-4-4	2019335-0-9549029	4-3-5517995	2-1-922797	2-3769745-3	2-167703-3	3601545-3-0	2-1-1655286	4-3-9180618	2866778-1-1	4-3-7665263	4444638-1-1	2-1-4766266	3-0-4	2-1-2944784	4-3-1248306	1-7793523-1	6358459-6345292-4	2984880-3-0	6358459-6345292-5573865	2-1-120722
assemblage-546-364	0	0	0	0	0	0	8	0	0	0	0	0	0	0	131	73	103	0	0	0	0	44	0	0	0	0	0	0	0	50	0	5	0	0	0	0	0	0	0	0	0	0	0	0	24	0	12	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	10	0	0	0	12
assemblage-499-459	0	0	0	0	0	0	14	0	0	0	0	0	0	0	114	19	88	0	0	0	0	42	0	0	0	0	0	0	0	12	0	43	0	0	0	8	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	66	13	0	0	0	0	0	20
assemblage-458-568	0	0	0	0	0	0	19	0	0	0	0	0	0	0	85	13	60	0	0	12	0	27	0	0	0	9	0	0	0	53	0	29	15	0	0	0	9	0	0	0	0	0	6	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	71	32	0	0	14	0	0	35
assemblage-551-626	0	0	0	0	0	0	18	0	0	0	0	0	0	0	94	15	108	0	0	0	0	69	0	0	0	0	0	0	0	23	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	49	13	0	0	0	0	0	24
assemblage-731-334	0	0	0	0	0	0	9	0	0	0	0	0	0	0	122	77	100	0	0	0	0	32	0	0	0	0	0	0	0	41	0	15	0	0	0	0	0	0	0	0	0	0	0	0	31	0	23	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	6	0	0	0	7
assemblage-645-438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	41	103	0	0	0	0	51	0	3	0	0	0	0	0	77	0	38	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	0	0	3	0	0	0	19
assemblage-416-479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	202	0	0	0	0	16	0	0	0	0	0	0	0	117	0	40	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-663-438	0	0	0	0	0	0	0	0	0	0	10	0	0	0	135	0	205	0	0	0	0	11	0	0	0	0	0	0	0	108	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-511-565	0	0	0	0	0	0	12	0	0	0	0	0	0	0	114	73	88	0	0	0	0	27	0	0	0	0	0	0	0	33	0	15	0	0	0	0	0	0	0	0	0	0	0	0	43	0	32	0	0	0	0	0	0	5	0	0	0	0	0	42	0	0	6	0	0	0	10
assemblage-521-511	0	0	0	0	0	0	18	0	0	0	0	0	0	0	55	21	75	0	0	17	0	60	0	0	11	0	0	0	0	86	0	17	0	0	0	0	0	0	0	0	0	0	31	0	0	0	5	0	0	0	0	0	0	0	0	0	17	0	0	56	5	0	0	8	0	0	18
assemblage-618-649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	3	132	0	0	0	0	47	0	0	0	0	0	0	0	110	0	32	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-305-539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	10	97	0	0	0	0	111	0	0	0	0	0	0	0	105	0	25	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	5	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
assemblage-576-492	0	0	0	8	0	0	9	0	0	0	0	0	0	0	99	109	83	0	0	0	0	29	0	0	0	0	0	0	0	47	0	8	0	0	0	0	0	0	0	0	0	0	0	0	52	0	20	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	16
assemblage-454-498	0	0	0	0	0	0	19	0	0	0	0	0	0	0	94	34	83	0	0	0	0	35	0	0	0	0	0	0	0	31	0	24	14	0	0	0	0	0	0	0	0	0	8	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	78	11	0	0	28	0	7	20
assemblage-387-655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	14	148	0	0	0	0	38	0	0	0	0	0	0	0	127	0	36	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
