Assemblage_Name	0-3-5960757	1-5670622-2	4267247-2-2	9331227-1489243-702450	0-3-1914634	1-4-1034851	4-6560864-3	1084405-1-9410831	4-9332730-3	9326259-1-9410831	668899-0-1	4083542-6678262-4	0-4895173-8246569	0-1-9410831	4-1-3	0-8364436-4	6746964-3-4	9331227-0-389080	4083542-331682-4	9331227-1489243-3911688	4083542-3-4	0-1-2	7191688-3-4	0-1-6737455	4083542-7220265-4	4953351-3-1	887133-3-1	5626659-1-9410831	1-2-7951770	1-2-6888927	0-3-3596329	2594983-1-9410831	4083542-3-6747246	0-2-1	0-3-8246569	2198857-3-5960757	3718048-3-4	1-1731409-2	4083542-9842609-6747246	1-3-1	2012216-3-4	0-1-1236168	4387694-3-4	9331227-0-9548052	2-0-1	4-1-5112150	9331227-0-7771250	0-6144828-1	9331227-0-6713014	2910737-0-9548052	0-3-4	8782577-9443837-3	9331227-1489243-9548052	1-5936326-2	0-5512196-1	4387694-3-854309	4083542-3-6994675	1-2-2	1-2-4	2238867-2-2	1-4-2	1-3-50275	0-1-7415835	2-5080591-1	2-0-7673815	1-9183806-2	0-1825020-9410831	4-9443837-3	1940309-2-1	2-117042-1	1-7517211-2	4-1093652-3	2-0-9548052	4123760-5936326-2
assemblage-410-494	0	0	0	0	0	0	0	0	17	0	0	0	0	18	12	0	0	0	0	0	71	0	7	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	22	50	0	0	0	0	6	0	122	0	59	0	0	0	6	22	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	16
assemblage-545-352	0	0	0	0	0	0	0	0	15	0	0	0	0	35	61	4	0	0	0	0	0	14	0	0	0	0	10	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	37	95	0	0	5	0	0	91	0	0	18	6	0	0	59	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-528-259	0	0	0	0	0	0	0	0	22	0	0	0	0	50	25	0	0	0	0	0	57	0	11	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	7	32	0	0	0	0	41	0	110	0	54	0	0	5	0	25	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	19
assemblage-390-298	0	0	0	0	0	0	0	0	12	0	0	0	11	51	21	0	0	0	0	0	25	5	0	0	0	0	18	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	228	0	21	0	0	0	0	22	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	6
assemblage-257-556	0	0	0	0	0	0	0	0	20	0	0	0	0	17	9	0	0	0	7	0	63	0	4	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	13	43	0	0	0	0	3	0	119	0	59	0	0	0	4	40	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	10
assemblage-380-571	0	0	0	0	0	0	0	0	13	0	0	0	6	26	26	0	0	0	0	0	28	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	223	0	41	0	0	0	0	19	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	12
assemblage-565-525	0	0	0	0	0	0	0	0	11	0	0	0	0	35	18	0	0	0	0	0	55	0	0	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	27	78	0	0	0	0	0	0	144	0	44	0	0	0	0	36	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	9
assemblage-462-687	0	0	0	0	0	0	0	0	6	0	0	0	0	42	58	0	0	0	0	0	0	14	0	0	0	0	5	0	11	0	0	0	0	4	0	0	0	0	0	0	0	0	0	34	90	0	0	10	0	0	118	0	0	11	0	0	0	61	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-395-421	0	0	0	0	0	0	0	0	23	0	0	0	5	37	18	0	0	0	0	0	20	7	0	0	0	0	32	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	217	0	30	0	0	0	0	19	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	10
assemblage-489-343	5	0	0	0	0	16	0	0	31	0	0	0	12	66	34	6	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	43	0	4	0	0	0	0	153	0	14	14	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
