Assemblage_Name	1225544-2-4241819	1-1-3967255	2311512-3-3	4-2-2	1-1-625855	4-2-8227247	1225544-8467187-2	2311512-7415820-3	4-2-8722902	2433707-1-3462151	7049325-1-1273541	1225544-2-4635812	3-1-1	2433707-1-8722668	1225544-8421260-6909933	1554379-1-1	8927796-3-2780017	2-8214653-3	4-2-1750078	2311512-3-9991796	1-1-1	1-4040538-4	1225544-1942560-5270602	3571890-3-1	1173418-3-1	6397018-3-3	2-4390420-3	1225544-2-2	8459990-3-3	5041593-2-2	1-0-5856384	1-5095777-1	0-3-3	9720902-2-2	2311512-1493648-2153494	4-3-1	0-1-5575467	4-4-4	2-3-3	2311512-2043509-3	4-1083281-839411	2113960-3-3	7452517-2-2	4-3974182-8227247	1-1890683-4	1-5716824-1	1-1-9020429	1-1-8557310	1-3142481-1	1238930-1-1273541	3383295-2-2	4-2-9552768	8927796-3-3	2433707-4980825-3462151	1-8834883-4	2-3-832962	9081921-3-1	2433707-4980825-8167389	1-1-5101159	3-0-433989	1-1-9896181	4-2-839411	1-0-4	4812388-0-4	1-0-4401789	475834-2-9552768	1-9154783-1	2433707-7578169-3462151	1-2437515-4	6124420-1-1	1-1-91153	2-4134137-3	1-6496854-1	5274824-1-8557310	4-2-4032186	1-3588763-1	3473890-5095777-1	5389461-2-2174818	0-3-9890276	4-5261196-1	3-2-7758887	4-4-2	1-1-1117122	8934506-1-1	8846108-2-2	1-2536769-1	5389461-2-2	1-1384089-1
assemblage-581-474	0	0	21	0	0	0	0	0	0	32	0	0	0	0	0	0	5	0	0	0	79	0	0	0	0	0	0	85	13	0	0	48	0	0	5	86	0	0	1	0	0	0	0	0	0	7	0	0	0	13	0	0	0	34	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	56
assemblage-227-549	0	0	37	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	101	15	0	0	0	0	0	105	0	0	0	0	0	0	0	17	0	0	84	0	0	0	6	0	0	0	0	8	0	0	4	0	0	10	0	0	11	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	42
assemblage-606-491	0	0	34	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	81	9	0	0	0	0	0	120	0	0	0	0	0	0	0	22	0	0	59	0	0	0	9	0	0	0	0	9	0	0	8	9	0	8	0	0	8	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	48
assemblage-673-568	0	0	40	97	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	40	0	0	0	0	0	0	0	19	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	8	0	11	0	0	26	0	0	0	0	0	106	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	33
assemblage-702-358	0	0	28	0	0	0	0	0	0	32	0	0	0	0	0	3	0	0	0	0	102	4	10	0	0	0	0	105	0	0	0	0	0	0	0	21	0	0	65	0	0	0	0	0	0	0	0	0	0	0	2	8	0	14	0	0	11	0	0	0	0	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	46
assemblage-494-372	0	0	25	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	107	15	0	0	0	0	0	111	0	0	0	0	0	0	0	15	0	0	69	0	0	0	6	0	0	0	0	9	0	0	3	3	0	10	0	0	14	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	53
assemblage-558-310	0	0	21	102	0	0	0	0	9	27	0	0	7	0	0	0	0	0	0	0	40	0	0	0	0	0	0	17	0	0	0	0	12	0	0	26	0	0	24	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	11	0	24	0	0	6	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5	15	0	0	0	0	0	41
assemblage-497-574	8	0	22	54	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	72	0	0	0	0	0	0	0	15	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	18	0	10	0	0	26	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
assemblage-605-473	0	0	17	126	0	0	0	0	0	21	0	0	9	0	0	0	0	0	0	0	22	0	0	0	0	0	0	6	0	0	0	0	4	0	0	36	0	0	14	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	13	0	26	0	0	7	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	54
assemblage-348-355	0	0	31	78	0	0	0	0	0	43	0	0	0	1	0	0	0	0	3	0	54	0	0	0	0	0	0	57	0	0	0	0	0	0	0	26	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	17	0	15	0	0	32	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	29
