Assemblage_Name	0-3-6919629	0-0-8410293	3-3-0	2-1-1242045	0-5007795-2	4-1-0	4-3335436-0	1-3-1702144	4-1-4235434	1-3-8641243	657263-3-1	0-3-2	4-9360655-0	0-238895-2	4-503996-0	4-824246-0	0-3-3630941	4-1540791-0	0-5241989-2	4-0-0	4-2489772-0	0-0-8410874	0-0-3	3522532-3-2	90627-1-7835004	5562640-1-0	1-3-7931772	1-3-1	9567912-3-4	0-7291174-2	1-8652687-1	3-0-0	0-3892850-3	4-7495274-0	1-6736386-1	0-3-8031668	4-2-2	3-0-2607942	0-3-4	0-3-2897862	1-8444986-1	3-0-7826560	2-1-3	0-6228842-3	0-3-4028395	6627746-3-1	0-3-9323035	4-1-5151706
assemblage-581-474	0	0	0	0	0	118	0	0	51	0	0	71	0	0	80	0	0	0	0	0	0	0	100	0	17	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	3
assemblage-227-549	0	0	0	0	0	187	0	0	0	0	0	126	0	0	16	0	0	0	0	0	0	0	36	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	23	0	17
assemblage-606-491	0	0	0	0	0	169	0	0	0	0	0	155	0	0	7	0	12	0	0	0	0	0	32	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	16	0	9
assemblage-673-568	0	0	14	0	0	55	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	86	0	0	0	6	0	0	0	0	0	0	29	0	13	0	56	0	0	0	0	12
assemblage-702-358	0	0	0	0	0	159	0	0	0	0	0	158	0	0	14	0	10	0	0	0	0	0	26	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	28	0	4
assemblage-494-372	0	0	0	0	0	180	0	0	0	0	0	145	0	0	15	0	7	0	0	0	0	0	30	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	14	0	11
assemblage-558-310	0	0	41	0	0	46	0	0	0	3	0	140	0	0	0	0	0	0	0	8	0	0	40	0	0	0	0	114	0	0	0	33	0	0	0	0	6	0	19	0	0	0	34	0	0	0	0	16
assemblage-497-574	0	0	0	0	0	112	0	0	0	0	0	170	0	0	0	0	3	0	0	0	0	0	11	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	14	0	34	0	0	0	0	24
assemblage-605-473	0	0	17	0	0	34	0	5	0	0	0	133	0	0	0	0	0	0	0	13	0	0	49	0	0	0	0	156	0	0	0	21	0	0	0	0	0	0	35	0	0	0	22	0	0	0	0	15
assemblage-348-355	0	0	0	0	0	63	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	128	0	0	0	21	0	0	0	0	0	0	11	0	24	0	42	0	0	0	0	7
assemblage-616-507	0	0	23	0	0	31	0	0	0	0	0	144	0	0	0	0	0	0	0	22	0	0	52	0	0	0	0	125	0	0	0	28	0	0	0	0	4	0	26	0	0	0	30	0	0	0	0	15
assemblage-532-354	0	0	0	0	0	101	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	12	0	16	0	0	0	0	18
assemblage-363-547	0	0	0	0	0	57	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	110	0	0	0	8	0	0	0	0	0	0	27	0	6	0	39	0	0	0	0	23
assemblage-529-629	0	0	0	0	0	145	0	0	49	0	0	89	0	0	49	0	0	0	0	0	0	0	100	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	8	0	0	0	4
assemblage-707-574	0	0	0	0	0	135	0	0	47	0	0	105	0	0	41	0	0	0	0	0	0	0	87	0	35	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	2
assemblage-363-465	0	0	10	0	0	54	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	72	0	0	0	17	0	0	0	0	0	0	28	0	16	0	59	0	0	0	0	15
assemblage-368-631	0	0	0	0	0	148	0	0	0	0	0	132	0	0	7	0	0	0	0	0	0	0	72	0	0	5	0	72	0	0	0	0	0	0	0	6	0	0	0	0	0	0	41	0	0	15	0	2
assemblage-411-672	0	0	0	0	0	61	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	136	0	0	0	18	0	0	0	0	0	0	14	0	24	0	9	0	0	0	0	10
assemblage-348-464	0	0	0	0	0	44	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	120	0	0	0	10	0	0	0	0	0	0	10	0	23	0	38	0	0	0	0	9
assemblage-698-498	0	0	0	0	0	90	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	15	0	19	0	10	0	0	16
assemblage-497-493	0	0	4	0	0	63	0	0	0	0	0	168	0	0	0	0	0	0	0	7	0	0	53	0	0	0	0	99	0	0	0	16	0	0	0	0	0	0	31	0	0	0	36	0	0	0	0	23
assemblage-409-524	0	0	0	0	0	140	0	0	0	0	0	128	0	0	23	0	0	0	0	0	0	0	81	0	0	9	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	8	0	5
assemblage-696-326	0	0	15	0	0	46	0	0	0	0	0	159	0	0	0	0	0	0	0	8	0	0	44	0	0	0	0	112	0	0	4	11	0	0	0	0	0	15	28	0	0	0	41	0	0	0	0	17
assemblage-404-579	8	0	0	0	0	81	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	27	0	21	0	0	0	0	20
assemblage-596-514	0	0	0	0	0	150	0	0	0	0	0	138	0	0	11	0	0	0	0	0	0	0	55	0	0	13	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	15	0	9
assemblage-387-549	0	0	0	0	0	134	0	0	0	0	0	142	0	0	12	0	0	0	0	0	0	0	89	0	13	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	1
assemblage-612-665	0	0	0	0	0	114	0	0	42	0	0	167	0	0	24	0	0	0	0	0	0	0	63	0	22	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0
assemblage-432-615	0	0	0	0	0	122	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	22	0	16	0	0	5	0	32
assemblage-767-668	0	0	0	0	0	175	0	0	0	0	0	148	0	0	6	0	10	0	0	0	0	0	39	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	14	0	0
assemblage-525-510	0	0	0	0	0	178	0	0	0	0	0	155	0	0	5	0	0	0	0	0	0	0	24	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	11	0	11
assemblage-543-479	0	0	0	0	0	168	0	0	0	0	0	133	0	0	12	0	0	0	0	0	0	0	69	0	0	10	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	12	0	9
assemblage-275-306	0	0	0	0	0	162	0	0	0	0	0	132	0	0	18	0	0	0	0	0	0	0	53	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	20	0	10
assemblage-436-616	0	0	0	0	0	140	0	0	54	0	0	81	0	0	50	0	0	0	0	0	0	0	99	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	9
assemblage-535-590	0	0	0	0	0	180	0	0	0	0	0	141	0	0	16	0	0	0	0	0	0	0	18	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	17	0	15
assemblage-496-517	0	0	0	0	0	34	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	139	0	0	0	11	0	0	0	0	0	0	14	0	29	0	25	0	0	0	0	3
assemblage-511-550	0	0	0	0	0	76	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	136	0	0	0	3	0	0	0	0	0	0	4	0	16	0	32	0	0	0	0	24
