Assemblage_Name	3-6915375-3425672	2296482-6227519-4	0-3-2240381	8005751-3-2215282	9013434-3-2	3-9128119-7232205	2296482-2339232-2824817	8005751-1323706-2	476599-9128119-4	7981660-9128119-4	8005751-3-4946565	2296482-9128119-4	3-0-4061783	8847594-3-2	9927667-2339232-7575552	3-0-6126536	9234571-6809356-2	5589605-9128119-4	3-9128119-2033213	3-9128119-4	0-7094553-2	3-2534465-2033213	3-0-9123974	3-9128119-2993172	3-3-4	3-7012766-4927235	6752042-3-4	3-718755-4	9406288-7094553-2	9776744-9128119-4	8005751-4457601-2	8637441-3-2	7885065-7012766-3540347	1676545-0-9123974	2285082-3-2	2694393-9128119-2993172	8990404-4897635-4	3-7678504-4	8005751-3-3060356	0-3-2	3235735-3-2	3-3100211-9123974	8096519-0-9123974	9703314-9128119-2033213	3-1954271-9123974	8134551-9128119-2993172	3-6915375-8507101	3-7012766-1666950	2296482-2339232-5316439	6196345-0-9123974	3-6915375-9123974	3-9541985-4	2285082-3-4838360	6028079-3-2	0-3836131-2	1026308-3-2	2655522-3-7484703	3-7835468-4	1-3-2	8005751-128647-2	5658753-6809356-2	455679-3-2	7064852-7094553-2	0-5129739-2	3-4048700-4	3-9476931-4	3-7012766-3540347	0-7094553-6782001	3-8720548-4	3-9128119-3035960	3-7012766-9539940	2285082-3946709-2	8005751-3-2	0-8443246-2	3-9484726-4	3-8144779-4	6321321-3-2	5658753-3-2	2285082-3-8093917	4249390-3-2	2285082-3-5887355	3-4897635-4	3-7012766-3277342	3-7012766-4	3-1925274-4	3-9128119-8114804	2655522-3-2	2296482-2339232-7575552	3824571-3-2	7298950-3-2	2296482-2339232-4	0-3-3800990	2655522-3-4151371	3356941-0-9123974	0-3787253-2	0-3-2125924	9073317-3-2	8005751-3-8386654	3-9128119-2642772	3-9517199-9123974
assemblage-931-801	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	43	0	0	0	0	0	0	8	0	15
assemblage-586-303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	90	0	0	0	0	0	0	0	0	18	0	265	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-688-589	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	13	0	127	17	26	0	59	0	0	0	65	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	25	0	5	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	6
assemblage-754-613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	12	0	52	0	0	0	0	42	0	0	0	0	9	0	14	0	0	0	0	0	0	0	0	9
assemblage-254-885	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	88	89	0	68	0	0	0	18	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	8	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-271-278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	74	0	17	0	0	0	0	0	0	0	0	0	11	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	21	0	0	0	0	7	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	16
assemblage-748-637	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	4	0	46	0	0	0	0	46	0	0	0	0	5	0	19	0	0	0	0	0	0	0	0	3
assemblage-122-945	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	0	0	214	0	57	0	25	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-424-664	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	37	0	0	0	0	0	0	5	0	15
assemblage-923-806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	5	0	19	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	18
assemblage-795-100	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	22	0	4	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	11	0	0	0	0	78	0	0	0	0	6	0	10	0	0	0	0	0	0	14	0	12
assemblage-796-465	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	23	0	0	0	0	0	0	24	0	17	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	95	0	0	0	14	0	0	47	0	0	0	0	0	0	0	0	16
assemblage-825-948	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	15	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	9	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	23	0	0	0	0	0	0	0	0	44	0	0	0	0	0	61	0	0	0	71	0	0	14
assemblage-262-737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	153	0	0	12	34	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	91	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	24
assemblage-428-665	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	8	0	55	0	0	0	0	36	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	8
assemblage-901-168	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	153	0	0	19	0	0	0	19	0	0	0	0	0	0	0	116	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	9	0	0	0	0	10
assemblage-432-143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	63	19	0	175	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-677-600	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	145	0	0	38	0	0	0	25	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	14	0	0	0	0	17
assemblage-406-405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	99	26	0	62	18	0	0	0	0	0	12	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
