Assemblage_Name	3-1750248-3	3-0-314798	9406905-1-2	1916790-3-4	4118764-1-2	7553675-1-2	2-8153777-0	9597393-95508-4	173518-1-2	3-2023102-3	2-4054875-0	1746902-1-2	3-1-2	9412277-5098898-4	9412277-95508-4	6631356-1-2	9412277-3-3500125	4-1-3	3-2-0	3-403615-3	3-0-7400366	9412277-488816-4	3-4759870-2	9412277-5931553-3500125	0-4-4	6366764-1-6353748	5712713-95508-4	5917178-0-3	3-0-5494560	9412277-3-3078161	1566053-3-4	4789666-0-0	9639627-4-4	264809-0-0	3-2540224-3	3-0-1492673	4505933-0-3	3-1-5556742	4-1-5229109	2-0-0	6366764-1-2	3079191-315865-3	2-155844-0	2-0-6480208	2-0-1159832	2-0-5743101	3-1-4229746	6415584-0-0	3-6103027-3	2-9925789-0	5929328-1-2	3-0-990620	0-4-6872263	3-1-4795760	9412277-8825261-4	0-4-7463879	3-0-9047068	9640531-1-2	3-0-9024853	1-3-4	9281383-95508-4	3-4639180-3	3-1592664-2	2347118-1-3	0-4-2736757	9455622-0-0	0-4-9264038	1501663-0-3	4-1-4367909	9412277-3-4	3-0-383753	1470708-1-3	9412277-3-8618741	4503945-1-2	9412277-95508-7753436	3-1-4066364	3-277507-2	2-9403324-0	3-0-3	1-4-3877621	1678490-1-3	3-4603885-3	7560827-4-4	4-1-454778	7156163-3-4	4-6872927-3	3095653-0-0	3-1-1436113	3-3364999-2	4093540-1-2
assemblage-593-283	0	0	0	0	0	0	0	0	0	0	0	0	180	0	24	28	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	6
assemblage-420-142	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	22	0	26
assemblage-260-895	0	0	0	0	0	0	0	0	0	8	0	0	4	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	21	0	12
assemblage-279-744	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	13
assemblage-236-225	0	0	0	0	0	0	0	0	0	0	0	0	149	0	33	6	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	13
assemblage-670-680	0	0	0	0	0	10	0	0	0	0	0	0	127	0	92	0	10	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	10
assemblage-687-581	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	100	0	0	0	0	0	0	42	0	0	0	0	0	8	0	0	0	0	0	0	0	35	17	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	8	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	7
assemblage-375-849	0	0	0	0	0	0	0	0	0	0	0	0	164	0	11	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	3	13
assemblage-791-421	0	0	0	0	0	0	0	0	0	0	0	0	140	0	59	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	46	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	9
assemblage-478-871	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	108	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	26	0	5	30	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	8
assemblage-912-154	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	114	0	0	0	0	0	0	24	0	0	0	0	0	3	0	0	0	0	0	0	0	27	19	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	10
assemblage-1005-716	0	0	0	0	0	0	0	0	0	0	0	0	36	0	30	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	10	0	33
assemblage-256-256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	16	0	0	0	7	0	4	0	0	0	0	16
assemblage-513-685	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	10	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	9	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	78	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	9
assemblage-476-875	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	64	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	11	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	51	0	10	0	0	0	0	0	0	0	0	20
assemblage-156-401	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	128	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	10	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	66	0	0	0	0	0	113	0	0	0	0	0	0	7	0	0	0	10
assemblage-661-568	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	31	0	7	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	31	0	0	0	0	0	161	0	0	0	0	0	0	0	0	16	0	19
assemblage-402-413	0	0	0	0	0	0	0	0	0	22	0	0	3	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	30	0	5
assemblage-213-390	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	80	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	52	16	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	13
assemblage-908-785	0	0	0	0	0	0	0	0	0	0	0	0	23	0	86	0	0	0	0	0	0	0	0	35	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	163	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	8
assemblage-693-664	0	0	0	0	0	0	0	0	0	0	0	0	56	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	8
assemblage-813-103	0	0	0	0	0	0	0	0	0	0	0	0	38	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	192	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	9	0	0	16
assemblage-427-778	0	0	0	36	0	0	0	0	0	0	0	0	108	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	45	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	2	0	13
assemblage-121-962	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	11	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	7	0	0	0	0	14	0	0	0	0	0	11
assemblage-438-205	22	0	0	0	0	0	0	0	0	0	0	0	115	0	3	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	15	0	6	0	0	0	0	1	3	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	18
assemblage-792-473	0	0	0	0	0	0	0	0	0	0	0	0	56	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	6
assemblage-823-950	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	263	103	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	19
assemblage-959-273	0	0	0	0	0	0	0	42	0	13	0	0	97	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	22
assemblage-149-396	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	97	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	13	0	14	20	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	7
assemblage-990-711	46	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	8	0	5	0	0	0	0	5	3	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	5	0	18
assemblage-412-413	0	0	0	0	0	0	0	0	0	10	0	0	5	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	26	0	18
assemblage-425-184	0	0	0	0	0	0	0	0	0	0	0	0	75	0	38	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	59	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	17	0	12
assemblage-672-669	0	0	8	0	0	0	0	0	8	0	0	0	160	0	71	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	13
assemblage-672-668	0	0	0	0	0	9	0	0	0	0	0	0	145	0	70	4	3	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	6
assemblage-508-722	0	0	0	0	0	0	0	6	0	0	0	0	43	0	35	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	16	0	32
assemblage-107-971	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	9	0	0	4	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0	0	0	0	12	0	0	0	0	11	0	0	0	0	0	14
assemblage-803-761	0	0	0	0	0	0	0	0	0	0	0	0	50	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	15
assemblage-706-260	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	38	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	18
assemblage-152-385	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	63	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	5	0	0	22	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	58	0	4	0	0	0	0	0	0	0	0	16
assemblage-495-501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	26	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	55	0	0	0	0	0	98	0	0	0	0	0	0	11	0	0	0	13
assemblage-546-680	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	13	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	16	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	13
assemblage-210-392	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	90	0	0	0	0	0	0	17	0	0	0	0	0	42	0	0	0	0	0	0	0	35	58	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	20
assemblage-466-364	0	0	0	0	0	0	0	24	0	16	0	0	135	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	8	0	0	0	0	0	0	0	9
assemblage-382-848	0	0	0	0	0	0	0	0	0	0	0	0	182	0	14	35	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-895-157	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	156	0	0	0	0	13	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	9	0	0	0	0	0	50	0	0	0	0	0	0	0	0	35	0	11
