Assemblage_Name	8394063-7396097-3178558	1065185-2-3178558	7716709-509677-3178558	8430450-0-7325161	2-3-3	0-2-7702362	7716709-2-7484031	1065185-2091009-3178558	0-5760208-3178558	7716709-2-7438644	3-1-5501719	1912869-0-7325161	8578563-2-3178558	0-4033112-3178558	8394063-2-3178558	3316739-2-3178558	3-0-7325161	5480085-2-3178558	7716709-509677-7782289	3-6924760-3	0-7460613-3	1077223-2-3	8264902-2-3178558	1065185-7533089-3178558	7716709-1278219-3178558	198410-2-3178558	0-5365442-3178558	3-1-3	7716709-2-3178558	0-2-9699868	3-0-5812077	5903570-2-3178558	0-2-9050331	0-2-3	3-9578521-3	7716709-6495035-3178558	6812621-6608093-3178558	0-2-6306112	0-2-5129779	0-2-6533423	3-0-3	2-8079100-3	0-2-1293023	4-2-4	0-927510-3178558	7716709-3424785-3178558	2023147-2-3178558	0-3652087-3178558	7070057-2-3178558	5950684-5478521-3178558	0-927510-7288001	5950684-2-3178558	1020964-2-3	0-2-8340380	7716709-8213020-3178558	7716709-3670663-3178558	0-5558546-3178558	0-2-3178558	3-2-3	0-2791421-3178558	0-1107122-3178558	0-7121026-3178558	1286756-2-3178558	9392915-2-3178558	6812621-3424785-3178558	5806108-2-3178558
assemblage-207-392	0	0	0	0	0	0	0	0	8	0	21	22	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	7	0	0	0	0	0	0	0	0	0	14	88	0	0	0	0	0	0	31	71	0	0	0	0	204	0	0	0	0	0	0	0	5
assemblage-729-265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	47	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	99	0	0	0	0	0	0	19	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	15
assemblage-203-402	0	0	0	0	0	0	0	0	0	0	5	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	19	22	50	0	0	0	0	271	0	0	0	0	0	0	0	17
assemblage-993-720	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	8	4	0	0	0	0	275	0	0	0	0	0	0	0	11
assemblage-714-272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	42	0	0	0	0	0	0	0	0	0	0	189	0	0	9	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	8
assemblage-400-899	0	0	0	0	0	0	0	0	0	0	17	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	14	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0	35	41	0	0	0	0	315	0	0	0	0	0	0	0	4
assemblage-520-365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	9	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	110	0	0	0	0	0	0	52	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	9	0	12
assemblage-244-910	0	81	0	0	0	0	0	0	0	0	12	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	23	0	0	0	0	305	0	0	0	0	0	0	0	12
assemblage-433-120	0	27	0	0	0	0	0	0	0	0	19	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	84	54	0	0	0	0	219	0	0	0	0	0	0	0	5
assemblage-664-667	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0
assemblage-264-747	0	55	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	5	0	0	0	0	247	0	0	0	0	0	0	0	6
assemblage-797-749	0	34	7	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	4
assemblage-716-247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	124	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	81	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	10
assemblage-97-538	0	58	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	3
assemblage-140-383	0	0	0	0	0	0	0	0	0	0	0	44	0	0	22	0	69	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	11	0	0	0	35	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	9
assemblage-684-671	0	19	4	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	2
assemblage-262-911	0	30	0	0	0	0	0	0	0	0	26	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	79	53	0	0	0	0	207	0	0	0	0	0	0	0	1
assemblage-437-101	0	110	0	0	0	0	0	0	0	0	14	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	280	0	0	0	0	0	0	0	6
assemblage-802-123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	372	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	9
assemblage-592-295	0	144	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	2
assemblage-420-685	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	357	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	8
assemblage-950-291	0	0	0	0	12	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	23	0	0	0	0	0	0	35	23	8	0	0	0	0	0	0	0	0	0	0	0	0	0	7	251	0	0	0	0	0	0	0	2
assemblage-867-301	0	91	0	0	0	0	0	0	0	0	20	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	286	0	0	0	0	0	0	0	10
assemblage-243-260	0	14	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	30	12
assemblage-667-580	0	8	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	51	59	0	0	0	0	191	0	0	0	0	0	0	0	30
