Assemblage_Name	5242608-2-346685	2-1-9914705	3-5607433-4	3-6342272-4	6983051-2-346685	2-1-5160409	0-2-2770139	6604848-3165350-1	7269-1718058-1	6604848-6080446-1	3-3-4	2835720-2-346685	0-1-1	2-1-8794662	0-7391099-2770139	5242608-2-6883972	6170694-3-4	3-3-388457	2-1-3500705	2-1-3487443	1-2-6718487	3-7285535-4	4735743-3-4	3-3-3443982	3-3-5003517	9432057-7265421-8182022	1-2-6732340	4370446-3-4	0-1-8182022	6604848-3424657-1	1-2-5617961	3-7176568-4	3-3-7781225	3-2406573-4	1-2-346685	5112112-3-4	0-2-4611568	1-9390403-1	4957285-1718058-1	0-7265421-8182022	6604848-2-1	0-8125618-2770139	1-2-1	5766547-2-346685	6983051-2-6909652	5242608-2-2860019	2-1-1	6783213-1-1	1-8436335-346685	3146702-2-346685	6604848-2-7509566	1813519-3-4	7440407-3-4	3-3-8499276	3463917-3-4	3-3-8360729	1-1718058-1	411622-3-4	4148418-2-1	8767615-1-3333364	6738066-1-1
assemblage-901-168	0	0	0	0	0	0	134	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	28	0	98	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-432-143	0	0	0	0	0	0	74	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	115	0	29	0	0	0	47	0	0	0	0	0	0	0	0	0	6	0	0	0	11
assemblage-677-600	0	0	0	0	0	0	129	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	21	0	94	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-406-405	0	0	0	0	0	0	219	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	36	0	49	0	0	0	42	0	3	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-588-284	171	0	0	0	0	0	0	0	0	0	214	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	13	18	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	11
assemblage-224-414	0	0	0	0	0	0	52	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	51	0	67	0	0	0	122	0	0	0	0	0	0	0	0	0	27	0	0	0	13
assemblage-788-470	69	0	0	0	5	0	28	0	0	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	24	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-431-760	0	0	0	0	0	0	6	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	120	0	0	0	0	0	67	0	153	0	0	0	58	0	0	0	0	0	23	0	0	0	0	0	0	0	8
assemblage-802-759	48	0	0	0	14	0	26	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	43	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-278-731	0	0	0	0	11	0	18	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	19	21	135	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-797-468	50	0	0	0	8	0	30	0	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	30	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-389-888	0	0	0	0	0	0	27	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	93	0	0	0	6	0	0	0	0	0	0	0	0	0	59	0	0	0	7
assemblage-436-686	100	0	0	0	9	0	67	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-515-704	0	0	0	0	20	0	151	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	52	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	10	0	0	0	3
assemblage-909-174	0	0	0	0	0	0	43	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	46	0	89	0	0	0	125	0	0	0	0	0	0	0	0	0	47	0	0	0	17
assemblage-959-327	0	57	0	0	0	0	29	0	0	0	133	0	88	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	91	0	0	7	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	38	3
assemblage-246-243	88	0	0	0	42	11	74	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	44	0	0	0	0	0	0	0	18	0	59	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	12
assemblage-516-349	0	8	0	0	0	0	15	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	113	0	0	0	39	0	0	0	0	0	0	0	0	0	21	0	0	0	7
assemblage-827-761	65	0	0	0	26	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	47	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-963-273	0	0	0	0	11	0	13	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	8	0	15	43	119	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-207-404	0	0	0	0	0	0	30	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	135	0	0	0	7	0	0	0	0	0	0	0	0	0	39	0	0	0	0
assemblage-483-866	0	0	0	0	0	0	12	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	88	0	0	0	6	0	0	0	0	0	0	0	0	0	77	0	0	0	4
assemblage-917-808	28	0	0	0	61	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-106-537	23	0	0	0	90	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	133	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-463-898	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	75	58	0	161	0	0	0	57	0	0	0	0	0	0	0	0	0	1	0	0	0	10
assemblage-390-425	0	0	0	0	9	0	7	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	36	0	22	0	0	0	222	0	0	0	0	0	0	0	0	0	65	0	0	0	6
assemblage-962-300	0	0	0	0	47	0	15	0	0	0	118	8	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	30	0	113	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-536-360	0	0	0	0	0	0	35	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	3	0	0	0	198	0	0	0	0	21	0	0	0	0	19	0	0	0	11
