Assemblage_Name	1701817-2-4809260	1701817-7735444-2195155	0-4382597-3180685	0-4-5895179	0-6967358-5818276	0-4-4702805	1701817-2885540-2195155	9702387-2-0	5081493-4-4	4-6636885-9108746	1701817-2-4895434	0-2994939-4	0-2-8476102	4-3308890-0	6370851-2-2195155	1701817-2-7523512	1701817-1626068-2195155	4-5521560-0	5324859-4209197-3	1701817-2-7466057	3601999-2-2195155	0-6967358-3180685	0-2-4910890	0-2-305323	0-4-4	0-1982331-3	1701817-806390-2195155	4-2-6769588	1701817-2-4224566	0-5427191-4	1004171-4-6052561	4-6636885-0	1701817-2-2195155	1701817-2-1366101	0-3-3	8920719-4-281727	7466984-2-2195155	1701817-6075754-2195155	5324859-2-3	0-4-7319855	9702387-2-7676615	0-2-2195155	4-4874426-0	1701817-2-8162717	9711215-2-2195155	5356669-2-0	0-6967358-7588964	1701817-5615312-2195155	0-4-6865126	0-7429450-4	1701817-5216173-2195155	0-6967358-4	4-7791627-0	2-2-4	5914435-9271780-4	5513090-2-2195155	0-4-6052561	0-7805041-4	0-128911-4	0-2-3	7636494-2-2195155	0-3706503-4	8201549-2-2195155	4-2-0	9702387-1486852-0	0-2-2901942	1701817-2-6415039	0-8413308-4	299058-2-2195155	2311478-4-4	6686113-7892677-4	4817235-6967358-4	4-9515383-0	0-7996445-4	6686113-4-4	370342-2-0	8920719-4-4	0-8089110-3	0-6967358-7182496	0-2-1014975	2767125-2-0	0-4-7162708	8220102-6967358-4	6765267-2-0	9673947-4-4	5528544-2-2195155	0-4101746-4	1701817-2-6590567	9702387-2-6996550	3306253-4-4	0-4-4076184	9742913-2-2195155	0-2944741-2195155	0-4-6881030	0-6967358-5473999
assemblage-207-392	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-729-265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	49	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	12	0	0	0	0	0	0	0	0	0	13	0	0	20	0	25
assemblage-203-402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	170	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-993-720	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	8	67	0	0	0	0	0	0	0	0	0	14	0	11	0	0	0	0	8	40	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-714-272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	18	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	18	0	11
assemblage-400-899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	186	0	0	0	0	0	0	0	44	0	0	0	0	0	11	0	0	11	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	11	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-520-365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	30	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	14	7	0	16	0	0	0	0	0	0	0	0	0	0	7	0	5	0	12
assemblage-244-910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	40	0	0	19	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	3	0	0	0	0	0	0	0	0	0	96	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
assemblage-433-120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	64	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	81	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-664-667	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	34
assemblage-264-747	0	0	0	0	0	0	0	54	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	252	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
assemblage-797-749	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	73	0	0	0	0	46	0	0	0	0	0	0	32	0	0	23	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-716-247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	75	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	9
assemblage-97-538	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	37	0	0	0	0	103	0	0	0	0	0	0	47	17	0	10	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-140-383	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	18	0	0	0	0	0	6	0	0	92	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	18	0	0	0	0	0	0	0	0	0	0	0	0	31	0	8
assemblage-684-671	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	78	0	0	0	0	33	0	0	0	0	0	0	34	0	0	26	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-262-911	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	96	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	72	175	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-437-101	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	41	0	0	30	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	7	0	0	0	0	0	0	0	0	0	123	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
