Assemblage_Name	2456566-5955090-1	0-2199178-8421961	7526818-2-0	8181842-1706024-5824497	4-2-620176	5064280-1498226-3	0-1286165-8421961	4-403061-0	0-0-9919751	1342691-1498226-3	8181842-1706024-2	9038449-0-1	4-2-552761	1359894-2-9933979	4-7253679-0	4-2-5375577	8181842-0-7297976	0-1-0	8181842-0-2	786923-0-2	5578377-0-2	4648033-0-1	1682838-2-9933979	4533354-0-1	8181842-0-1001118	8181842-2670002-2	2175350-2-0	0-0-1	3-1498226-3	4-2-7968712	8181842-9292811-2	110398-0-2	8181842-1634516-2	4483312-2-0	8181842-6606993-2	8181842-66355-2	8815130-2-9933979	0-0-7698699	4652388-0-1	8181842-972582-2	2698608-0-2	3-7829763-3	7034503-2-0	3857638-972582-2	4-2-0	8181842-0-2304639	4-8384817-0	8181842-0-4826992	8181842-6884333-2	5382265-2-0	4-2-9933979	9186909-2-0	6213936-0-2	2456566-5547716-1	8181842-0-2003347	2456566-5286380-1	4-2-6073974	2456566-0-1	2670613-0-2	8181842-0-7950703	0-6235857-1	2771501-2-0
assemblage-858-776	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	14	166	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	137	0	0	0	0	0	0	11	0	0	0	0	0	28	0	0	0	5
assemblage-895-169	0	18	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	158	0	0	0	0	0	0	12	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	145	0	0	17	0	34	0	0	0	0	0	0	0	7	0	0	0	7
assemblage-424-663	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-483-894	0	0	0	0	0	0	0	0	35	0	15	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-601-285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	62	0	0	0	0	0	47	9	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	12	0	0	0	0	0	0	7	0	0	0	7
assemblage-460-382	0	45	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	144	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	7
assemblage-273-900	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-800-398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0	0	0	0	0	72	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	4
assemblage-429-781	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	21	0	0	0	0	0	33	0	0	0	0	0	23	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3
assemblage-410-115	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	13	0	0	7	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
