Assemblage_Name	4-4-3278956	2605653-4-1	4148543-4-1	1-7811814-508717	4082221-4-732433	1-7504845-1174846	1-8019150-4	4-1715230-6102760	7677505-4-9543364	4082221-6799467-1	4082221-7854233-1	7677505-4-6572116	4082221-4-8222645	7677505-8396815-2	3-0-4013421	4-1278599-3278956	1-7504845-2	7677505-4-3451559	4082221-7168563-1	4082221-2456851-1	4082221-4-5154391	4563075-4-2	4-4833706-1	1-1-4	4082221-4-1368582	7677505-4754113-2	3-3293099-0	9569494-4-5570889	4-4-7036398	7368078-4-1	1-4236469-508717	4082221-6835955-1	2128091-4-3278956	6651108-4-8644363	7677505-2463371-2	4082221-4-5041126	1-6359119-508717	8668244-4-3278956	8668244-4509068-3278956	4-4-1195816	3-4364612-0	4-4-3294527	4-4-8748863	9279140-4-1	4082221-4571248-1	878546-1654260-2	4-4-9741863	4-4-1	6651108-4-1	4082221-4154453-8747826	878546-6125323-2	9671556-4-6926359	3315944-4-1	4082221-4124362-1	4-6671539-6102760	4-1278599-4822349	3-0-76065	7677505-4-2	878546-4-2	7677505-4-2768760	3-0-8935121	7677505-4-4429688	5489203-4-1	4563075-4-5799222	4082221-3749490-1	6366785-0-0	4082221-6410980-1	4082221-4-6290207	4082221-670130-1	4082221-4-9992551	9531791-4-1	4082221-4-1930474	2747278-4-1	878546-944504-2	7677505-9594109-2	4082221-4154453-1	1-7504845-508717	6515935-4-1	5894166-4-1	1417312-7854233-1	4082221-4-933747	4082221-3794792-1	6432792-4-1	3-0-2765517	878546-4-6926359	5360350-4-1	1-3-2	4082221-4-3503400	2816084-4-2	4082221-4-3065874	1488765-4-1	1-1-1412722	3-0-0	4082221-4-1	4-4-2	9531791-2766030-1	4082221-836892-1	4082221-2371548-1	6478380-1278599-3278956	635715-4754113-2	8238265-0-0
assemblage-463-898	17	0	0	0	0	6	0	71	0	0	0	0	0	0	21	0	7	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	121	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	97	0	0	0	0	0	0	0	19
assemblage-390-425	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	39	0	0	0	0	0	0	0	0	0	83	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	276	0	0	0	0	0	0	14
assemblage-962-300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	17
assemblage-536-360	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	96	0	23	0	0	0	0	0	21
assemblage-379-824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	8	0	0	0	0	0	0	0	0	0	0	0	24	6	0	0	0	0	12	0	0	0	137	0	0	0	5	0	0	16	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	7
assemblage-865-797	135	0	0	0	0	0	0	6	0	0	0	0	0	0	0	17	31	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	9	0	0	0	0	5	0	0	0	15	0	0	0	0	0	141	0	0	0	0	0	0	0	0	9	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	26
assemblage-451-195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	248	0	0	0	0	0	0	14
assemblage-275-260	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	85	0	64	0	0	0	0	0	12
assemblage-261-263	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	122	0	0	0	0	0	62	0	51	0	0	0	0	0	18
assemblage-837-802	21	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	5	0	0	0	0	0	79	0	0	0	7	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	6	15	0	0	0	0	0	0	0	90	29	8	0	0	0	0	0	22
assemblage-863-789	43	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	7	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	31	0	0	0	0	0	0	0	51	48	27	0	0	0	0	0	11
assemblage-832-957	200	0	0	0	0	0	9	8	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-955-304	18	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	47	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	107	0	0	0	0	0	0	0	14	9	38	0	0	0	0	0	15
assemblage-527-662	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	115	9	23	0	0	0	0	0	20
assemblage-262-886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	37	0	0	0	0	0	0	0	0	0	97	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	253	0	0	0	0	0	0	14
assemblage-430-192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	8
assemblage-825-957	171	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
