Assemblage_Name	3612469-4-0	1-9917792-3	4-7121248-4130772	1-2-1862753	3383144-7121248-3624132	4354244-2-3	1586621-2-3	4-7121248-3624132	1-2-7063353	7125916-7121248-3624132	4-7121248-4634235	4929451-7121248-3624132	7587474-9447352-3	4804733-2-3	3-1-4	9527511-7121248-3624132	1-2-8246538	1-4716228-3	1-6920418-3	4386512-2-3	1-3277181-1862753	1-2184538-1862753	1-1683227-3	4-1-3624132	1-1857450-3	5947481-2-3	1-2754858-1862753	4-7121248-7926316	1-6055490-3	4-7648477-3624132	9880719-8457693-4	1-2-1172892	1-8457693-4	1-2-3	1-2-4	1-9447352-3	4-7121248-8925099	1-4-4	3904273-2-3	4-1411017-3624132	4-9142428-3624132	1-5184650-1862753	4-7121248-2305452	4-7121248-3493997	4-3976132-3624132	3209685-2-3	4820574-1-3624132	4-6904276-3624132
assemblage-684-671	0	0	0	19	6	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-262-911	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	9	0	0	0	34	280	0	30	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-437-101	0	0	0	0	0	0	0	164	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	81	81	0	5	0	51	0	0	0	0	0	0	0	0	0	5
assemblage-802-123	0	0	0	176	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-592-295	0	0	0	86	21	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-420-685	0	0	0	173	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-950-291	63	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	25	0	0	39	0	0	0	0	0	0	0	0	0	12
assemblage-867-301	0	0	0	0	0	0	0	163	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	74	71	0	15	0	46	0	0	0	0	0	0	0	0	0	6
assemblage-243-260	0	0	25	6	13	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0	0	0	0	0	0	7	0	6	0	9
assemblage-667-580	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	238	0	73	0	79	0	0	0	0	0	0	32	0	0	2
